#VERSION 2
#CUTPLANS
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};34;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;11379328;;RST-C-061;1525
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};6;P;2359;MAT-S-782;{6345bbf0-e7d8-4af4-9a3e-2c78775c5d20};293
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};7;K;2;KERF;{6345bbf0-e7d8-4af4-9a3e-2c78775c5d20};293
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};8;P;1014;MAT-S-783;{aa9b8169-f8b7-4065-9a48-bdd7a7efb4e7};294
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};9;K;2;KERF;{aa9b8169-f8b7-4065-9a48-bdd7a7efb4e7};294
{294009cd-50b5-4f44-a07f-e9c9754921f8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{294009cd-50b5-4f44-a07f-e9c9754921f8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{294009cd-50b5-4f44-a07f-e9c9754921f8};2;P;877;MAT-S-786;{9c3a242b-7d56-406d-9a59-79db6eaa5b9e};290
{294009cd-50b5-4f44-a07f-e9c9754921f8};3;K;3.2;KERF;{9c3a242b-7d56-406d-9a59-79db6eaa5b9e};290
{294009cd-50b5-4f44-a07f-e9c9754921f8};4;P;2312;MAT-S-787;{f72113fc-c1c1-4e89-8af0-b90390706b6e};291
{294009cd-50b5-4f44-a07f-e9c9754921f8};5;K;3.2;KERF;{f72113fc-c1c1-4e89-8af0-b90390706b6e};291
{294009cd-50b5-4f44-a07f-e9c9754921f8};6;P;3657;MAT-S-788;{3c7a9891-22cb-4285-b298-18ce9fe57452};298
{294009cd-50b5-4f44-a07f-e9c9754921f8};7;K;3.2;KERF;{3c7a9891-22cb-4285-b298-18ce9fe57452};298
{e54b91b2-021c-4cf3-8599-2166f7fbb748};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e54b91b2-021c-4cf3-8599-2166f7fbb748};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e54b91b2-021c-4cf3-8599-2166f7fbb748};2;P;1925;MAT-S-791;{9dac1641-7d5e-4682-a594-b549965291df};297
{e54b91b2-021c-4cf3-8599-2166f7fbb748};3;K;3.2;KERF;{9dac1641-7d5e-4682-a594-b549965291df};297
{e54b91b2-021c-4cf3-8599-2166f7fbb748};4;P;3775;MAT-S-792;{7691be42-8760-4770-b79f-1d6ce90596e1};298
{e54b91b2-021c-4cf3-8599-2166f7fbb748};5;K;3.2;KERF;{7691be42-8760-4770-b79f-1d6ce90596e1};298
{415d4fb1-b97d-4216-aea0-96798b6cf322};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{415d4fb1-b97d-4216-aea0-96798b6cf322};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{415d4fb1-b97d-4216-aea0-96798b6cf322};2;P;1900;MAT-S-795;{7ae9d0eb-c0dd-4153-aa77-d77317c1f462};297
