#VERSION 2
#CUTPLANS
{4c7aac96-d729-49e8-b481-071105ae2a0b};2;P;2248;MAT-Q-386;{f39d4d8c-dd51-4037-aa25-cf57fdbe269e};237
{4c7aac96-d729-49e8-b481-071105ae2a0b};3;K;3.2;KERF;{f39d4d8c-dd51-4037-aa25-cf57fdbe269e};237
{4c7aac96-d729-49e8-b481-071105ae2a0b};4;P;2508;MAT-Q-387;{40617147-976a-4487-b9cc-d109e033a889};238
{4c7aac96-d729-49e8-b481-071105ae2a0b};5;K;3.2;KERF;{40617147-976a-4487-b9cc-d109e033a889};238
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};2;P;2585;MAT-Q-390;{f6a56c26-bdf4-48f2-9256-5ee90ab7fc09};235
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};3;K;3.2;KERF;{f6a56c26-bdf4-48f2-9256-5ee90ab7fc09};235
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};4;P;2635;MAT-Q-391;{e9eb059c-6011-4b47-b668-17a4d9a00332};237
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};5;K;3.2;KERF;{e9eb059c-6011-4b47-b668-17a4d9a00332};237
{1233bb03-8b00-4cdc-9747-759c32879451};0;P;1887;MAT-Q-393;{8c3ade26-f8bb-41e9-83e7-de37d16c9354};245
{1233bb03-8b00-4cdc-9747-759c32879451};1;K;3.2;KERF;{8c3ade26-f8bb-41e9-83e7-de37d16c9354};245
{2df742b7-026d-44b6-aa3d-66c38b70e08b};0;P;1795;MAT-Q-395;{7cda2170-60f1-4ad2-94cf-61e0dd065b66};244
{2df742b7-026d-44b6-aa3d-66c38b70e08b};1;K;3.2;KERF;{7cda2170-60f1-4ad2-94cf-61e0dd065b66};244
{2df742b7-026d-44b6-aa3d-66c38b70e08b};2;P;1887;MAT-Q-396;{b244bc4e-9bb0-4d0b-a85c-0d5fa4d52640};245
{2df742b7-026d-44b6-aa3d-66c38b70e08b};3;K;3.2;KERF;{b244bc4e-9bb0-4d0b-a85c-0d5fa4d52640};245
{3b33e232-8d0c-403d-b98c-9eeabb11a1fe};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{3b33e232-8d0c-403d-b98c-9eeabb11a1fe};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{3b33e232-8d0c-403d-b98c-9eeabb11a1fe};2;P;1832;MAT-Q-400;{b9c57b45-4763-4357-89c2-7ddb6d7e1dd1};241
{3b33e232-8d0c-403d-b98c-9eeabb11a1fe};3;K;3.2;KERF;{b9c57b45-4763-4357-89c2-7ddb6d7e1dd1};241
{d994f550-2818-4d2a-95cc-ee731d411de3};0;P;1980;MAT-Q-403;{9371fbcb-85c3-4157-93a5-f2112392d067};245
{d994f550-2818-4d2a-95cc-ee731d411de3};1;K;3.2;KERF;{9371fbcb-85c3-4157-93a5-f2112392d067};245
{c4ec2f2e-d764-4047-9b0b-167ca71f6c28};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c4ec2f2e-d764-4047-9b0b-167ca71f6c28};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c4ec2f2e-d764-4047-9b0b-167ca71f6c28};2;P;2470;MAT-Q-406;{98ea634f-5639-4f5e-84e2-7cbc6dff4d56};235
{c4ec2f2e-d764-4047-9b0b-167ca71f6c28};3;K;2;KERF;{98ea634f-5639-4f5e-84e2-7cbc6dff4d56};235
{1e8b8da7-38a0-4437-895b-995059c1dda3};0;P;1743;MAT-Q-408;{1d788ea7-92cc-46e3-8afc-c1387da57370};244
{1e8b8da7-38a0-4437-895b-995059c1dda3};1;K;2;KERF;{1d788ea7-92cc-46e3-8afc-c1387da57370};244
{5d20f014-5295-4ebe-8379-3107f12d23ec};0;P;1832;MAT-Q-410;{3e58ec9d-64e6-4497-bb6b-ef3e5704096c};241
{5d20f014-5295-4ebe-8379-3107f12d23ec};1;K;3.2;KERF;{3e58ec9d-64e6-4497-bb6b-ef3e5704096c};241
{bea3d629-b02b-424c-8e4f-d6820df3d240};0;P;2005;MAT-Q-415;{b45e07e0-8ee4-4ea5-9518-78dfb303ecb2};245
{bea3d629-b02b-424c-8e4f-d6820df3d240};1;K;3.2;KERF;{b45e07e0-8ee4-4ea5-9518-78dfb303ecb2};245
{6a325bbd-c95e-4815-8c87-5c0392536ea0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6a325bbd-c95e-4815-8c87-5c0392536ea0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6a325bbd-c95e-4815-8c87-5c0392536ea0};2;P;1925;MAT-Q-418;{c60733ef-5ff2-457b-9a4d-fbd394718adb};241
{6a325bbd-c95e-4815-8c87-5c0392536ea0};3;K;3.2;KERF;{c60733ef-5ff2-457b-9a4d-fbd394718adb};241
{2daeb007-37cf-48a6-a83a-3fdbba898cfa};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2daeb007-37cf-48a6-a83a-3fdbba898cfa};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2daeb007-37cf-48a6-a83a-3fdbba898cfa};2;P;1795;MAT-Q-421;{dae6c33d-2ba1-4386-b5e2-a3097e99c32b};244
{2daeb007-37cf-48a6-a83a-3fdbba898cfa};3;K;3.2;KERF;{dae6c33d-2ba1-4386-b5e2-a3097e99c32b};244
{8f63cbf7-b40d-46bc-a64a-569863537238};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{8f63cbf7-b40d-46bc-a64a-569863537238};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{8f63cbf7-b40d-46bc-a64a-569863537238};2;P;2541;MAT-Q-424;{66c8ba13-ca8c-4c03-a00e-f9387760a194};235
{8f63cbf7-b40d-46bc-a64a-569863537238};3;K;2;KERF;{66c8ba13-ca8c-4c03-a00e-f9387760a194};235
#PIECES
{e18598bb-6062-424a-9d37-b62aa24dec99};{e3fcfa0c-7adb-4f50-a5f9-73b5be74a186};1730;NP-BAR12-4000;236
{e2dbd4d6-675b-475f-887b-f0e0391a9899};{8a719a7e-2ddf-4d6c-a66b-11b5015d2812};1899;NP-ROLL70-5000;245
{d2bdc0fd-7278-46b2-aef0-89faa0f2f189};{4dceadca-abd6-4aa6-9c43-121e84d37323};1844;NP-ROLL70-5000;241
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};{615c92cc-1a11-42ca-9ad4-8082c19cdd21};2635;NP-T-9010;237
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};{454da328-3ac4-48c6-b806-6412970f08fd};675;NP-T-9010;238
{6645de5e-6df6-4c71-bf3a-442b22c1410a};{22cc29ed-6064-4445-a2e0-2e7563daab49};2225;NP-TF-9010;236
{6645de5e-6df6-4c71-bf3a-442b22c1410a};{06aa0766-8be5-4e18-90ae-4347ba5c6279};1950;NP-TF-9010;241
{37ba944c-fed9-4622-b68d-2dccb361d03b};{c79603ff-a01a-4ce1-9bd7-d84ab69b13c2};1807;NP-ROLL70-5000;244
{94ede5a0-2208-48da-a3ef-39f896bbffa3};{d99d4083-91c8-42e1-b810-b04fdf2f702d};2155;NP-SZ-9010;236
{94ede5a0-2208-48da-a3ef-39f896bbffa3};{3bedbf8b-96f5-4836-81e0-e901b2fcc2b5};2565;NP-SZ-9010;237
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};{1eb46c31-3142-4b28-b2af-bf02f9758f01};355;NP-BAR12-4000;236
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};{b6e79921-54e2-44b2-8def-29dba1d95538};560;NP-BAR12-4000;238
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};{d1714a53-b6de-4230-bc62-629930a524b4};2508;NP-SL2-9010;235
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};{2a719987-ad92-4e9f-8e58-6eaced512342};2508;NP-SL2-9010;236
{91017cdf-00a8-4646-9238-89db089dc9ff};{8884d138-f059-41c4-a162-d9d3bdfb8f79};621;NP-ROLL70-5000;238
{eb0b5b5b-1748-47d4-b820-1715bfebbd82};{a41aff0f-d38a-4531-adfa-edcd49651db2};1835;NP-BAR22-3000;245
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};{5a4ffd84-fee6-4253-930b-26402ca9879a};2585;NP-T-9010;235
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};{588b66ef-11eb-42ec-8ce2-b6457232ad72};2225;NP-T-9010;236
{4b1b74f5-0da4-4165-a18b-af0f76356850};{60ae5b67-d1d6-4c58-ba86-990ab9bd1d63};675;NP-TF-9010;238
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};{a079eb60-850b-4f16-abe6-564f41928d05};2181;NP-ROLL70-5000;236
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};{fcee31c8-865a-4fc4-ba18-9bc5dc2516f3};2591;NP-ROLL70-5000;237
{25d64c1d-ca17-4616-8217-ad4473e452ee};{d0176021-20d4-4c6c-ba1c-cb191f610df5};1888;NP-T-7016;244
{5b6a3895-da25-41b0-a499-7fc6f8eee3c8};{13b93240-b092-414f-a48f-d28342c2eba8};2515;NP-SZ-9010;235
{5b6a3895-da25-41b0-a499-7fc6f8eee3c8};{f4f2a455-3bc6-4b1c-8ee1-ea7aeb733472};605;NP-SZ-9010;238
{79f58d25-247d-47a8-ba83-173cb2007854};{9ea8278c-e9b6-4dd8-b69f-9e84e06e7394};2520;NP-BAR12-4000;237
{58545d67-984a-453e-8c38-d77984020540};{28f660a3-f248-47cb-9fcd-e139f660abb2};1780;NP-BAR22-3000;241
{61766a8b-8e33-473d-8223-1d6a86ac01d9};{ed45ed09-3070-41b6-b7b9-48a06a540cbc};1913;NP-TF-7016;244
{4c7aac96-d729-49e8-b481-071105ae2a0b};{f39d4d8c-dd51-4037-aa25-cf57fdbe269e};2248;NP-SL2-9010;237
{4c7aac96-d729-49e8-b481-071105ae2a0b};{40617147-976a-4487-b9cc-d109e033a889};2508;NP-SL2-9010;238
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};{f6a56c26-bdf4-48f2-9256-5ee90ab7fc09};2585;NP-TF-9010;235
{ccb599f6-497b-4a84-8661-9207a7f5d3f8};{e9eb059c-6011-4b47-b668-17a4d9a00332};2635;NP-TF-9010;237
{1233bb03-8b00-4cdc-9747-759c32879451};{8c3ade26-f8bb-41e9-83e7-de37d16c9354};1887;NP-CZ-7016;245
{2df742b7-026d-44b6-aa3d-66c38b70e08b};{7cda2170-60f1-4ad2-94cf-61e0dd065b66};1795;NP-CL2+CLT2+CLB2-7016;244
{2df742b7-026d-44b6-aa3d-66c38b70e08b};{b244bc4e-9bb0-4d0b-a85c-0d5fa4d52640};1887;NP-CL2+CLT2+CLB2-7016;245
{3b33e232-8d0c-403d-b98c-9eeabb11a1fe};{b9c57b45-4763-4357-89c2-7ddb6d7e1dd1};1832;NP-CL2+CLT2+CLB2-9010;241
{d994f550-2818-4d2a-95cc-ee731d411de3};{9371fbcb-85c3-4157-93a5-f2112392d067};1980;NP-T-7016;245
{c4ec2f2e-d764-4047-9b0b-167ca71f6c28};{98ea634f-5639-4f5e-84e2-7cbc6dff4d56};2470;NP-BAR12-4000;235
{1e8b8da7-38a0-4437-895b-995059c1dda3};{1d788ea7-92cc-46e3-8afc-c1387da57370};1743;NP-BAR22-3000;244
{5d20f014-5295-4ebe-8379-3107f12d23ec};{3e58ec9d-64e6-4497-bb6b-ef3e5704096c};1832;NP-CZ-9010;241
{bea3d629-b02b-424c-8e4f-d6820df3d240};{b45e07e0-8ee4-4ea5-9518-78dfb303ecb2};2005;NP-TF-7016;245
{6a325bbd-c95e-4815-8c87-5c0392536ea0};{c60733ef-5ff2-457b-9a4d-fbd394718adb};1925;NP-T-9010;241
{2daeb007-37cf-48a6-a83a-3fdbba898cfa};{dae6c33d-2ba1-4386-b5e2-a3097e99c32b};1795;NP-CZ-7016;244
{8f63cbf7-b40d-46bc-a64a-569863537238};{66c8ba13-ca8c-4c03-a00e-f9387760a194};2541;NP-ROLL70-5000;235
#LEFTOVERS
{e18598bb-6062-424a-9d37-b62aa24dec99};selejt;0
{e2dbd4d6-675b-475f-887b-f0e0391a9899};selejt;294
{d2bdc0fd-7278-46b2-aef0-89faa0f2f189};selejt;349
{d37fee49-60d3-40a8-9b6e-5a877d7739cb};selejt;183.6
{6645de5e-6df6-4c71-bf3a-442b22c1410a};selejt;368.6
{37ba944c-fed9-4622-b68d-2dccb361d03b};selejt;211
{94ede5a0-2208-48da-a3ef-39f896bbffa3};selejt;223.6
{ff418e8f-bc8e-468d-8c17-c8f5a5a89bdf};selejt;166
{dc803da8-779d-4dfc-b4f2-e7b193ad6eb6};RST-B-993;959.4
{91017cdf-00a8-4646-9238-89db089dc9ff};RST-B-994;1496
{eb0b5b5b-1748-47d4-b820-1715bfebbd82};selejt;88
{2a87dec3-0942-4961-a0f1-d89c2f6aaf7b};RST-B-995;1165.4
