#VERSION 2
#CUTPLANS
{757395d6-b93b-45d1-ab30-f362d42ab0f4};23;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;37287716;;RSM-561;1305
{4b8ec267-f28c-4de7-9389-ac15ec9b637a};1;K;3.2;KERF;{356482fc-464c-434b-a2b0-8239ef8d6fd2};206
{e0e8f80f-d040-41b6-a27d-4e265b2f5b25};0;P;1605;MAT-P-060;{dae56326-4d30-47d9-8cb7-3c26c973a43b};204
{e0e8f80f-d040-41b6-a27d-4e265b2f5b25};1;K;3.2;KERF;{dae56326-4d30-47d9-8cb7-3c26c973a43b};204
{5464ca81-41d0-48c4-9176-56f307c87f32};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5464ca81-41d0-48c4-9176-56f307c87f32};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5464ca81-41d0-48c4-9176-56f307c87f32};2;P;2867;MAT-P-063;{e26c715e-30a8-40d2-aa5e-b563b1f000c5};209
{5464ca81-41d0-48c4-9176-56f307c87f32};3;K;3.2;KERF;{e26c715e-30a8-40d2-aa5e-b563b1f000c5};209
{838ec82d-07e0-40f2-aef1-4ffa4d39f261};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{838ec82d-07e0-40f2-aef1-4ffa4d39f261};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{838ec82d-07e0-40f2-aef1-4ffa4d39f261};2;P;2443;MAT-P-066;{2ecfc744-6671-48a0-8ceb-9e4ba1c3f088};192
{838ec82d-07e0-40f2-aef1-4ffa4d39f261};3;K;2;KERF;{2ecfc744-6671-48a0-8ceb-9e4ba1c3f088};192
{958bea64-4660-449d-b7cf-0ddd81bca5f0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{958bea64-4660-449d-b7cf-0ddd81bca5f0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{958bea64-4660-449d-b7cf-0ddd81bca5f0};2;P;2495;MAT-P-069;{6b3949ad-3294-4e26-882e-0d894b298781};192
{958bea64-4660-449d-b7cf-0ddd81bca5f0};3;K;3.2;KERF;{6b3949ad-3294-4e26-882e-0d894b298781};192
{465ff1af-efb2-425c-a9fd-55b1958ec0d3};0;P;2460;MAT-P-071;{7312eccb-fde5-43aa-a995-6e2697591b66};192
{465ff1af-efb2-425c-a9fd-55b1958ec0d3};1;K;3.2;KERF;{7312eccb-fde5-43aa-a995-6e2697591b66};192
{c0dbdd1d-f324-4947-8be8-525a01686e55};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c0dbdd1d-f324-4947-8be8-525a01686e55};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c0dbdd1d-f324-4947-8be8-525a01686e55};2;P;2867;MAT-P-074;{23d5ead2-fc4e-49af-9e82-7e908c811fe5};209
{c0dbdd1d-f324-4947-8be8-525a01686e55};3;K;3.2;KERF;{23d5ead2-fc4e-49af-9e82-7e908c811fe5};209
{c67fe23e-752c-4c40-b9ed-f3e226ec90aa};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c67fe23e-752c-4c40-b9ed-f3e226ec90aa};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c67fe23e-752c-4c40-b9ed-f3e226ec90aa};2;P;2415;MAT-P-077;{e866d3ce-e7c6-4766-ae32-a5178325786a};192
{c67fe23e-752c-4c40-b9ed-f3e226ec90aa};3;K;2;KERF;{e866d3ce-e7c6-4766-ae32-a5178325786a};192
{37d94171-7f41-42cb-8afd-17c6e8004883};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{37d94171-7f41-42cb-8afd-17c6e8004883};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{37d94171-7f41-42cb-8afd-17c6e8004883};2;P;2867;MAT-P-080;{99e714d4-6d9a-418d-8e83-2080e1ecc11d};209
{37d94171-7f41-42cb-8afd-17c6e8004883};3;K;3.2;KERF;{99e714d4-6d9a-418d-8e83-2080e1ecc11d};209
#PIECES
{757395d6-b93b-45d1-ab30-f362d42ab0f4};{31452603-9339-489c-973e-e2b3d366cdf1};1305;NP-BAR12-4000;206
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};{4fe4cabe-2abe-4ff4-a8a7-be49e235cbe0};1588;NP-ROLL70-7000;204
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};{e2c5a7e7-de98-407d-8f51-407538348f62};1598;NP-ROLL70-7000;205
{37e2b26e-42a7-4e94-81b6-57f07af8f207};{056702a9-f2fe-4da6-a9f9-69c186aa6268};1570;NP-BAR12-4000;205
{37e2b26e-42a7-4e94-81b6-57f07af8f207};{63498a93-afb8-4bc6-8588-92add8834022};100;NP-BAR12-4000;206
{8e054b5a-2e0d-432b-ae89-18132e297f14};{c4e4a219-5189-4d19-9fc0-172be6d7f24d};1640;NP-T;204
