#VERSION 2
#CUTPLANS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;20454660;;RSM-483;1730
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};4;P;1887;MAT-Q-664;{68492efd-8630-4840-86ca-041043c1a7ed};245
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};5;K;3.2;KERF;{68492efd-8630-4840-86ca-041043c1a7ed};245
{b498c95e-f9eb-4e48-85d3-ae118de4a4f1};0;P;1913;MAT-Q-666;{9495e186-fc49-4ef6-951a-a02fd17c323d};244
{b498c95e-f9eb-4e48-85d3-ae118de4a4f1};1;K;3.2;KERF;{9495e186-fc49-4ef6-951a-a02fd17c323d};244
{0809ea9f-482a-4597-a6db-cb37e4c0b933};0;P;1832;MAT-Q-669;{c263eb64-102b-4a06-a764-7d2b9fbbff31};241
{0809ea9f-482a-4597-a6db-cb37e4c0b933};1;K;3.2;KERF;{c263eb64-102b-4a06-a764-7d2b9fbbff31};241
{3264b3a2-15cb-4473-89ba-3c1e5e42f18c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3264b3a2-15cb-4473-89ba-3c1e5e42f18c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3264b3a2-15cb-4473-89ba-3c1e5e42f18c};2;P;2541;MAT-Q-672;{5f8ebe76-33cd-447d-a619-9afd87fbc9ae};235
{3264b3a2-15cb-4473-89ba-3c1e5e42f18c};3;K;2;KERF;{5f8ebe76-33cd-447d-a619-9afd87fbc9ae};235
{311d4fb0-4f00-4b4f-a18e-bf3ce4b9c650};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{311d4fb0-4f00-4b4f-a18e-bf3ce4b9c650};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{311d4fb0-4f00-4b4f-a18e-bf3ce4b9c650};2;P;2470;MAT-Q-675;{19fac168-a70d-48cc-9e6a-66d60c090bcf};235
{311d4fb0-4f00-4b4f-a18e-bf3ce4b9c650};3;K;2;KERF;{19fac168-a70d-48cc-9e6a-66d60c090bcf};235
{5c986ac9-1d37-4be8-bd62-b451ba9162d1};0;P;1980;MAT-Q-678;{9283bded-6713-44ae-863f-31b457e58142};245
{5c986ac9-1d37-4be8-bd62-b451ba9162d1};1;K;3.2;KERF;{9283bded-6713-44ae-863f-31b457e58142};245
{945a55c5-6d35-433e-8abe-89daba2aa150};0;P;1887;MAT-Q-681;{8321365d-07c9-47df-b495-2861f40a082a};245
