#VERSION 2
#CUTPLANS
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};2;P;2675;MAT-U-901;{3f5a0da9-7f93-4699-8e8e-caf79ff4055b};311 1/2
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};3;K;2;KERF;{3f5a0da9-7f93-4699-8e8e-caf79ff4055b};311 1/2
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};4;P;2675;MAT-U-902;{44b18399-46f7-43ec-b62e-85ffcab67120};311 2/2
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};5;K;2;KERF;{44b18399-46f7-43ec-b62e-85ffcab67120};311 2/2
{3c8001b1-f446-4aa7-82df-4a3cdf643cb7};0;P;2727;MAT-U-904;{e40e287d-678f-4f93-958d-6e3ed05599d0};311 1/2
{3c8001b1-f446-4aa7-82df-4a3cdf643cb7};1;K;3.2;KERF;{e40e287d-678f-4f93-958d-6e3ed05599d0};311 1/2
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};2;P;2145;MAT-U-907;{b19536f4-434d-4af5-9cdc-a9946d9bdee4};326
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};3;K;3.2;KERF;{b19536f4-434d-4af5-9cdc-a9946d9bdee4};326
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};4;P;2395;MAT-U-908;{8d7ccafe-db69-4c9f-aa7e-3dc3a12024c1};327
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};5;K;3.2;KERF;{8d7ccafe-db69-4c9f-aa7e-3dc3a12024c1};327
