#VERSION 2
#CUTPLANS
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};5;K;2;KERF;{716e4e39-5ff0-4cb5-a19b-b1f1f10e1b73};305
{b97b82fa-597f-4ec1-a157-dbf9501cd099};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b97b82fa-597f-4ec1-a157-dbf9501cd099};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b97b82fa-597f-4ec1-a157-dbf9501cd099};2;P;2615;MAT-U-561;{1928a32d-7678-41a3-82a2-f02ac91d18c5};304
{b97b82fa-597f-4ec1-a157-dbf9501cd099};3;K;3.2;KERF;{1928a32d-7678-41a3-82a2-f02ac91d18c5};304
{71121214-b247-4d9a-afa2-5525ee7cff42};0;P;2267;MAT-U-563;{f406852c-d6f7-4adb-83f4-93b9398c0cfc};304
{71121214-b247-4d9a-afa2-5525ee7cff42};1;K;3.2;KERF;{f406852c-d6f7-4adb-83f4-93b9398c0cfc};304
#PIECES
{1fa6c24b-53f2-411b-97e9-2df0b9b70e63};{c1fa1df6-7aba-4bc4-8cea-7998e4b4cedc};1125;NP-BAR22-3000;301
{0baca208-04b3-4f4c-b58f-702eafc53c55};{3f813c0d-26b6-498e-b213-10dc3fe570e0};1470;NP-T-9010;301
{0baca208-04b3-4f4c-b58f-702eafc53c55};{4347cb1d-b096-49e3-84d6-144d5f674880};2060;NP-T-9010;302
{0baca208-04b3-4f4c-b58f-702eafc53c55};{33958d9f-9757-4a60-a72f-5eb2ff030f4f};2110;NP-T-9010;303
{18f4ee5b-0624-457f-8b54-075a92c34ebf};{e1c33bf6-e36c-46b4-a7ed-15b2aa345366};2715;NP-TF-9010;305
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};{51d310a5-5ec6-42f0-9ed3-fd4c4b02a82f};1967;NP-CZ-9010;302
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};{27c034d9-254c-4bd2-871d-871cc2d58de1};2017;NP-CZ-9010;303
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};{933b4062-1f97-4dc9-ab0a-c3b77601dbb1};2597;NP-CZ-9010;305
{74eba19a-0f1a-47c6-8cd2-d24ff1cad028};{25a147b4-b4f4-4f91-9b82-13c395bf5060};175;NP-BAR22-3000;301
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};{40b76df8-ce7b-44c5-8c2e-f9aa098ce441};2257;NP-CL2+CLT2+CLB2-9010;301
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};{4b1dd7b7-1c30-4893-a78c-1cec5268d524};2257;NP-CL2+CLT2+CLB2-9010;302
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};{2f6c7499-cf70-411d-89b2-0e4bb77d583d};2267;NP-CL2+CLT2+CLB2-9010;304
{b94298ee-a583-4483-8b86-58a1d46750cd};{d879aeed-f95b-47f0-9061-49fc8df46aca};1389;NP-ROLL70-5000;301
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};{45bbee80-8df0-4c43-b99c-4573d99cf7a2};1495;NP-TF-9010;301
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};{0ff1f896-e13c-4482-96bb-62aba3e5a680};2085;NP-TF-9010;302
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};{7fbebc8b-bae6-4aca-89a1-5e7d0618dacd};2135;NP-TF-9010;303
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};{92524dc0-d11c-4f33-9094-bc4ca8e28a19};2445;NP-BAR22-3000;304
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};{0ca4b9a0-2fda-4a6a-ab1e-01c8703f5a4f};2545;NP-BAR22-3000;305
{e757c083-b815-4e4c-a53a-dd00a106c300};{bd4422ac-ed2b-4a4e-83f0-e64562faf5cd};2029;NP-ROLL70-5000;303
{824c9b23-fba6-42d8-869f-b3a071836497};{08385126-7b8c-45c0-934a-0aeebb92239d};1979;NP-ROLL70-5000;302
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};{48c7a6e4-a1bf-47c8-bd5b-714bd4708232};2590;NP-T-9010;304
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};{ec64d9a0-12ba-4279-9d2d-dff147ba40cf};2690;NP-T-9010;305
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};{20c3e21d-a3fd-4139-bc42-7cd7ab8dcdf6};1377;NP-CZ-9010;301
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};{031dd75c-8f80-41b2-b566-b16ab7454595};2497;NP-CZ-9010;304
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};{3c5cb562-8d32-44db-83ed-8a21c56ce1d2};1915;NP-BAR22-3000;302
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};{6272121c-3f89-458b-a521-a5abbb4de71c};1965;NP-BAR22-3000;303
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};{dc7c8b0a-04da-4fe0-93fb-22b6536a7082};2252;NP-CL2+CLT2+CLB2-9010;303
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};{85c06e0c-f690-4966-bbb8-4a74bc498cd7};2252;NP-CL2+CLT2+CLB2-9010;305
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};{0e5f2d22-85e7-4961-b253-ff7308ae6680};2509;NP-ROLL70-5000;304
