#VERSION 2
#CUTPLANS
{bb52c8b0-62ad-4a95-b61b-91c816fdc336};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{bb52c8b0-62ad-4a95-b61b-91c816fdc336};2;P;3739;MAT-M-970;{ad4ce6fe-a060-41dd-a5bc-da53b6e4fb4e};139
{bb52c8b0-62ad-4a95-b61b-91c816fdc336};3;K;2;KERF;{ad4ce6fe-a060-41dd-a5bc-da53b6e4fb4e};139
{fb966942-a60b-4e65-994d-5ddf7bc8195c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fb966942-a60b-4e65-994d-5ddf7bc8195c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fb966942-a60b-4e65-994d-5ddf7bc8195c};2;P;2445;MAT-M-973;{d5114982-1b48-4ba9-b4f0-2361bda7f71c};133
{fb966942-a60b-4e65-994d-5ddf7bc8195c};3;K;3.2;KERF;{d5114982-1b48-4ba9-b4f0-2361bda7f71c};133
{2870cfb5-bcc5-4aea-b954-ce4985bb9b32};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{2870cfb5-bcc5-4aea-b954-ce4985bb9b32};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2870cfb5-bcc5-4aea-b954-ce4985bb9b32};2;P;2497;MAT-M-976;{631cb90a-4aaa-4807-9600-d52853807d54};139
{2870cfb5-bcc5-4aea-b954-ce4985bb9b32};3;K;3.2;KERF;{631cb90a-4aaa-4807-9600-d52853807d54};139
{84ee44cb-fed1-457f-8a4d-48183851dfc9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{84ee44cb-fed1-457f-8a4d-48183851dfc9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{84ee44cb-fed1-457f-8a4d-48183851dfc9};2;P;3845;MAT-M-979;{e1b459b1-9a42-4c93-afb6-7ba68dbbdf3e};139
{84ee44cb-fed1-457f-8a4d-48183851dfc9};3;K;3.2;KERF;{e1b459b1-9a42-4c93-afb6-7ba68dbbdf3e};139
{3042fff2-8120-4c0b-91b8-b472e88532e7};0;P;180;MAT-M-981;{32eb0f77-a360-47b9-8aac-942163cdaf71};133
{3042fff2-8120-4c0b-91b8-b472e88532e7};1;K;2;KERF;{32eb0f77-a360-47b9-8aac-942163cdaf71};133
{2d3fe983-6b0e-4dad-8abb-f6132807232c};0;P;2448;MAT-M-983;{d5ffa559-b2f0-41d3-8ff3-54f7613f44c8};133
{2d3fe983-6b0e-4dad-8abb-f6132807232c};1;K;3.2;KERF;{d5ffa559-b2f0-41d3-8ff3-54f7613f44c8};133
{273a4f49-3afa-4478-9dad-9e4769d97261};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{273a4f49-3afa-4478-9dad-9e4769d97261};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{273a4f49-3afa-4478-9dad-9e4769d97261};2;P;3820;MAT-M-986;{a2e81214-b7a6-416b-88d4-e0d62a399db8};139
{273a4f49-3afa-4478-9dad-9e4769d97261};3;K;3.2;KERF;{a2e81214-b7a6-416b-88d4-e0d62a399db8};139
#PIECES
{235176a3-cb04-4d4b-8610-d73b398d6495};{1917589b-302c-4938-b9e6-48e969cbb2ec};2195;NP-BAR12-4000;133
{95b37652-add3-4325-ae66-6d2a32535969};{9d0b4a63-bcbb-44f8-af0a-7fce5abf416c};3739;NP-ROLL70-6000;127
{95b37652-add3-4325-ae66-6d2a32535969};{13cbc8c6-bae6-475e-9e4b-c2908f3752e2};2189;NP-ROLL70-6000;148
{9e151fa1-b7a6-404c-9cc4-7a2134a8e2d3};{75589214-8e0d-433b-9010-db348e8370ef};2295;NP-TF-7016;148
{122a2802-0efa-4ba6-958e-d77af180e162};{26d7dc3d-8261-4617-b93b-0de613ea79a4};2515;NP-T-7016;133
{122a2802-0efa-4ba6-958e-d77af180e162};{24adba24-6e02-427c-af0e-bf34f25b1dc6};2270;NP-T-7016;148
{a7c6d7a4-5a41-42a2-9b30-6b9f5f409c62};{610138f7-8b6d-4f11-b325-6702a1ab20d7};2597;NP-CLB;148
{5a92809f-9099-4308-b833-52162dd88fca};{d0b57741-b382-47f1-ab45-f1efb1c9c263};2515;NP-TF-7016;133
{e9fda37c-68a6-469b-9628-b34abb7d3c22};{6ea6b96e-fa8e-468d-aef9-f4a50669a71e};2125;NP-BAR22-4000;148
{dea975fa-8cb6-4b4c-8ffb-330169276bca};{9da7e89c-a478-49a4-8955-3fa890bf7515};2177;NP-CZ-7016;148
{ef07dad1-2a63-400d-912d-7a76e12615cf};{d36aa118-3af6-491d-a805-d64a65870e78};2497;NP-CLT-7016;127
{ef07dad1-2a63-400d-912d-7a76e12615cf};{0b3f7510-7231-48b4-ba7a-3f44f4f9ab7e};2597;NP-CLT-7016;148
{94bde72a-2fee-485a-9fb8-a5bd821afce1};{94096005-bf64-4cc1-9be0-e61ac8ea821b};2497;NP-CLT-7016;139
{d8af2c31-d05d-4fdf-b4cc-5b5b0b9f5078};{1942f685-a01e-40ac-ba86-a4a3d57382fc};2597;NP-CL-7016;148
{c01cd306-b607-46b2-bc36-917abf910fe0};{afb59ec6-61ba-4178-9e97-96df9afb9d71};2497;NP-CL-7016;127
{c01cd306-b607-46b2-bc36-917abf910fe0};{51b86325-0020-4b4b-806c-f5375dd453aa};2497;NP-CL-7016;139
{d3f4b5de-46b1-4e9c-8b6b-4e93ae85b2c6};{1085e91d-6a99-4f0e-823b-fad887b4d6eb};2464;NP-ROLL70-6000;133
{96688c5e-5863-457b-901d-0697fc6159ff};{3611aa5f-624f-4c1a-ae02-8c2b27d3ab0a};2497;NP-CLB;127
{6dcd6f98-b4f4-4798-ac77-3cec27e47d57};{97cf2723-1d9d-4ea5-a922-b04537bc11c4};3845;NP-TF-7016;127
{f0ad6d77-e51e-4f7d-87d4-78515e826ea6};{249022fc-5f91-416b-97a4-5e82ffd2e4e4};3727;NP-CZ-7016;127
{b8ed713e-9a64-42ab-a085-effb304f21fd};{643f51bd-683e-4d9e-9765-dc36f6ce0977};3727;NP-CZ-7016;139
{faadee4c-e140-4761-866b-9daea500f2b1};{f83fe81a-345b-40a0-bca6-8d27dc7ca08a};3820;NP-T-7016;127
{bb52c8b0-62ad-4a95-b61b-91c816fdc336};{ad4ce6fe-a060-41dd-a5bc-da53b6e4fb4e};3739;NP-ROLL70-6000;139
{fb966942-a60b-4e65-994d-5ddf7bc8195c};{d5114982-1b48-4ba9-b4f0-2361bda7f71c};2445;NP-SZ-7016;133
{2870cfb5-bcc5-4aea-b954-ce4985bb9b32};{631cb90a-4aaa-4807-9600-d52853807d54};2497;NP-CLB;139
{84ee44cb-fed1-457f-8a4d-48183851dfc9};{e1b459b1-9a42-4c93-afb6-7ba68dbbdf3e};3845;NP-TF-7016;139
{3042fff2-8120-4c0b-91b8-b472e88532e7};{32eb0f77-a360-47b9-8aac-942163cdaf71};180;NP-BAR12-4000;133
{2d3fe983-6b0e-4dad-8abb-f6132807232c};{d5ffa559-b2f0-41d3-8ff3-54f7613f44c8};2448;NP-SL-7016;133
{273a4f49-3afa-4478-9dad-9e4769d97261};{a2e81214-b7a6-416b-88d4-e0d62a399db8};3820;NP-T-7016;139
#LEFTOVERS
{235176a3-cb04-4d4b-8610-d73b398d6495};selejt;0
{95b37652-add3-4325-ae66-6d2a32535969};selejt;66
{9e151fa1-b7a6-404c-9cc4-7a2134a8e2d3};selejt;101.8
{122a2802-0efa-4ba6-958e-d77af180e162};RST-B-558;1190.4
{a7c6d7a4-5a41-42a2-9b30-6b9f5f409c62};selejt;274.8
{5a92809f-9099-4308-b833-52162dd88fca};selejt;431.8
{e9fda37c-68a6-469b-9628-b34abb7d3c22};RST-B-559;871
{dea975fa-8cb6-4b4c-8ffb-330169276bca};RST-B-560;894.8
{ef07dad1-2a63-400d-912d-7a76e12615cf};RST-B-561;1881.4
{94bde72a-2fee-485a-9fb8-a5bd821afce1};RST-B-562;4481.6
{d8af2c31-d05d-4fdf-b4cc-5b5b0b9f5078};RST-B-563;1549.8
{c01cd306-b607-46b2-bc36-917abf910fe0};RST-B-564;1981.4
{d3f4b5de-46b1-4e9c-8b6b-4e93ae85b2c6};selejt;550
{96688c5e-5863-457b-901d-0697fc6159ff};RST-B-565;879.8
{6dcd6f98-b4f4-4798-ac77-3cec27e47d57};RST-B-566;2133.6
{f0ad6d77-e51e-4f7d-87d4-78515e826ea6};RST-B-567;3251.6
{b8ed713e-9a64-42ab-a085-effb304f21fd};RST-B-568;3251.6
{faadee4c-e140-4761-866b-9daea500f2b1};RST-B-569;2158.6
{bb52c8b0-62ad-4a95-b61b-91c816fdc336};RST-B-570;1257
{fb966942-a60b-4e65-994d-5ddf7bc8195c};RST-B-571;4533.6
{2870cfb5-bcc5-4aea-b954-ce4985bb9b32};RST-B-572;3496.6
{84ee44cb-fed1-457f-8a4d-48183851dfc9};RST-B-573;2133.6
{3042fff2-8120-4c0b-91b8-b472e88532e7};RST-B-574;903
{2d3fe983-6b0e-4dad-8abb-f6132807232c};RST-B-575;773.8
{273a4f49-3afa-4478-9dad-9e4769d97261};RST-B-576;2158.6
