#VERSION 2
#CUTPLANS
{d4ffdd46-4311-4260-b8bc-3a922c472be1};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-877;1;;RSM-877;4524
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};4;P;1274;MAT-CR-159;{d1d1caef-166c-4199-a211-6eef3427b465};635
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};5;K;3.2;KERF;{d1d1caef-166c-4199-a211-6eef3427b465};635
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};6;P;2104;MAT-CR-160;{c9c77778-4b78-4c3d-85d9-a1460e6836e5};637
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};7;K;3.2;KERF;{c9c77778-4b78-4c3d-85d9-a1460e6836e5};637
{8193e80b-7a95-4cfd-9e10-27a99827ad25};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8193e80b-7a95-4cfd-9e10-27a99827ad25};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8193e80b-7a95-4cfd-9e10-27a99827ad25};2;P;1557;MAT-CR-163;{c6eb5ee0-1900-42de-b9cc-aaf077092b97};639
{8193e80b-7a95-4cfd-9e10-27a99827ad25};3;K;3.2;KERF;{c6eb5ee0-1900-42de-b9cc-aaf077092b97};639
{a7b4c0ef-4b63-4dd2-bc6d-3d806a37500a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a7b4c0ef-4b63-4dd2-bc6d-3d806a37500a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a7b4c0ef-4b63-4dd2-bc6d-3d806a37500a};2;P;2090;MAT-CR-166;{1bd3ce08-6374-4c3c-bf9a-6d8f365ceb82};637
{a7b4c0ef-4b63-4dd2-bc6d-3d806a37500a};3;K;3.2;KERF;{1bd3ce08-6374-4c3c-bf9a-6d8f365ceb82};637
#PIECES
{d4ffdd46-4311-4260-b8bc-3a922c472be1};{d16f4559-0c92-4e8a-82e3-4279b1cd91bf};864;SR-T;632
{d4ffdd46-4311-4260-b8bc-3a922c472be1};{a11feb24-5f35-4dfd-a219-0aca507969e4};974;SR-T;636
{d4ffdd46-4311-4260-b8bc-3a922c472be1};{b2d5b692-568a-4b62-9434-293ae165d4c7};974;SR-T;638
{d4ffdd46-4311-4260-b8bc-3a922c472be1};{5fc8c940-af08-428c-aac3-05a1d122620e};1574;SR-T;639
{af18b842-cc20-47c3-a751-82912aa454f3};{a1395d4b-439d-4347-b893-a6c07bdb334a};877;TE-H-32;630 1/2
{af18b842-cc20-47c3-a751-82912aa454f3};{d0a62d1a-75ec-4401-85a7-f9ecd9432b59};957;TE-H-32;636
{af18b842-cc20-47c3-a751-82912aa454f3};{f81a29f8-aed8-4b07-a7f2-b0d5b399c026};1577;TE-H-32;640
{22b3a64d-74d6-4fb9-8411-79a9c1f93fae};{1cdf0f3a-079b-49e8-8c41-c25f79923367};880;SR-Z+P;630 1/2
{22b3a64d-74d6-4fb9-8411-79a9c1f93fae};{f3cfc2af-1335-4097-876a-875b8b1dc588};880;SR-Z+P;630 2/2
{22b3a64d-74d6-4fb9-8411-79a9c1f93fae};{294edc9c-ab7e-4f39-834c-1025dcae128c};850;SR-Z+P;632
{22b3a64d-74d6-4fb9-8411-79a9c1f93fae};{856ea61c-150c-4603-abe1-b6d22eaff5f3};1260;SR-Z+P;635
{22b3a64d-74d6-4fb9-8411-79a9c1f93fae};{49d511f7-d2bd-4bcb-9ded-d10a78e301e9};960;SR-Z+P;636
{22b3a64d-74d6-4fb9-8411-79a9c1f93fae};{f80e07b2-2a57-47d6-9e9d-ae6ec25f4475};960;SR-Z+P;638
{39c867cc-4229-4146-bf1a-0901d051c6b5};{d8009fc0-6250-4f7b-9fa1-4308e1489adf};847;TE-H-32;632
{39c867cc-4229-4146-bf1a-0901d051c6b5};{3d047fe2-21e6-4983-a954-eed993e99994};1257;TE-H-32;635
{acea200f-c60f-4c28-ad7d-e20a9ec64cc4};{8242c854-08f8-4eda-bd1a-bbb3df4f174d};1594;SR-T;640
{0f63b06e-0f9c-42d0-a7a2-54d4980c7dab};{ac907cfa-828c-424a-a3c0-13b5c50f20e8};894;SR-T;630 1/2
{3b59fa7c-c863-479d-ad25-470f5871b45d};{69264517-a906-400f-a9a9-2c9373e02f79};957;TE-H-32;638
{871fb29d-3573-4617-87b8-c553f449edb2};{a47728c5-555f-409b-a4f3-91539e8c23e9};894;SR-T;630 2/2
{0a353646-8b44-4d78-96db-e48f47c0ef56};{d121a89c-1426-47cb-a81f-610559e0a2ea};877;TE-H-32;630 2/2
{0a353646-8b44-4d78-96db-e48f47c0ef56};{3355c5b2-2ab9-45e2-9519-04e418158ce8};2327;TE-H-32;631
{0a353646-8b44-4d78-96db-e48f47c0ef56};{ff858822-9275-4965-9850-8122c6b37a4d};2087;TE-H-32;637
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};{49626048-0b2b-4a01-b2b4-35303fec03bb};2330;SR-Z+P;631
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};{23bcc4a7-cfe9-42b0-a685-0c4465e563bc};1560;SR-Z+P;639
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};{6b11918d-76be-4db2-8032-b21eb08adf1b};1580;SR-Z+P;640
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};{90fc7725-36b6-4a49-8793-ef7010c14adf};2344;SR-T;631
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};{d1d1caef-166c-4199-a211-6eef3427b465};1274;SR-T;635
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};{c9c77778-4b78-4c3d-85d9-a1460e6836e5};2104;SR-T;637
{8193e80b-7a95-4cfd-9e10-27a99827ad25};{c6eb5ee0-1900-42de-b9cc-aaf077092b97};1557;TE-H-32;639
{a7b4c0ef-4b63-4dd2-bc6d-3d806a37500a};{1bd3ce08-6374-4c3c-bf9a-6d8f365ceb82};2090;SR-Z+P;637
#LEFTOVERS
