#VERSION 2
#CUTPLANS
{b0277377-64a7-43a8-ba6d-835449024595};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-877;1;;RSM-877;4524
{d1a54e7a-b9c8-4124-97fe-ca0265060287};2;P;960;MAT-S-062;{d32ba4a1-77ab-4992-932c-d9ea08c9babf};638
{d1a54e7a-b9c8-4124-97fe-ca0265060287};3;K;3.2;KERF;{d32ba4a1-77ab-4992-932c-d9ea08c9babf};638
{d1a54e7a-b9c8-4124-97fe-ca0265060287};4;P;1580;MAT-S-063;{9b93d48d-bce1-4100-98bd-adcf419cf281};640
{d1a54e7a-b9c8-4124-97fe-ca0265060287};5;K;3.2;KERF;{9b93d48d-bce1-4100-98bd-adcf419cf281};640
{7777b4b8-e8dd-4442-8357-f282ff809dec};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7777b4b8-e8dd-4442-8357-f282ff809dec};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7777b4b8-e8dd-4442-8357-f282ff809dec};2;P;850;MAT-S-066;{22fb0348-912e-4ab3-b774-d6b520070991};632
{7777b4b8-e8dd-4442-8357-f282ff809dec};3;K;3.2;KERF;{22fb0348-912e-4ab3-b774-d6b520070991};632
{7777b4b8-e8dd-4442-8357-f282ff809dec};4;P;1260;MAT-S-067;{0b0a2817-4d02-463d-b633-904a631e5a8d};635
{7777b4b8-e8dd-4442-8357-f282ff809dec};5;K;3.2;KERF;{0b0a2817-4d02-463d-b633-904a631e5a8d};635
{7777b4b8-e8dd-4442-8357-f282ff809dec};6;P;2090;MAT-S-068;{b7f76b9c-f40a-4961-92c8-55736277e36e};637
{7777b4b8-e8dd-4442-8357-f282ff809dec};7;K;3.2;KERF;{b7f76b9c-f40a-4961-92c8-55736277e36e};637
{7777b4b8-e8dd-4442-8357-f282ff809dec};8;P;1580;MAT-S-069;{827065b3-574d-4335-b6f6-3fd578b5b64e};640
{7777b4b8-e8dd-4442-8357-f282ff809dec};9;K;3.2;KERF;{827065b3-574d-4335-b6f6-3fd578b5b64e};640
{7bc0eca6-82ad-4d1a-bb34-dc8211b5266c};0;P;894;MAT-S-075;{90394670-ca38-4b1d-bd71-4fe68e4c38b7};630 1/2
{7bc0eca6-82ad-4d1a-bb34-dc8211b5266c};1;K;3.2;KERF;{90394670-ca38-4b1d-bd71-4fe68e4c38b7};630 1/2
{c9341eb9-7ecb-4c1e-9e2e-b00e4a79190c};0;P;957;MAT-S-077;{433a1785-01e8-4998-b57f-d2ffa940e927};638
{c9341eb9-7ecb-4c1e-9e2e-b00e4a79190c};1;K;3.2;KERF;{433a1785-01e8-4998-b57f-d2ffa940e927};638
{f9861833-a2ad-4250-af81-111b7781cc3a};0;P;894;MAT-S-079;{873b1049-969d-4e91-a152-7ff7c06524eb};630 2/2
{f9861833-a2ad-4250-af81-111b7781cc3a};1;K;3.2;KERF;{873b1049-969d-4e91-a152-7ff7c06524eb};630 2/2
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};2;P;877;MAT-S-082;{4082ac6b-cf32-42a6-afca-15165e4f64ab};630 2/2
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};3;K;3.2;KERF;{4082ac6b-cf32-42a6-afca-15165e4f64ab};630 2/2
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};4;P;2327;MAT-S-083;{92d8c6c2-263e-44a7-bdcf-5bb0e38ff209};631
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};5;K;3.2;KERF;{92d8c6c2-263e-44a7-bdcf-5bb0e38ff209};631
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};6;P;2087;MAT-S-084;{5ca2fcac-598e-4b85-97c6-b3c7d3593818};637
{fab856a4-b26c-4dcf-8e54-a09502a29a2c};7;K;3.2;KERF;{5ca2fcac-598e-4b85-97c6-b3c7d3593818};637
{357c0a45-2d33-46c4-b576-dfcdc4f406fe};0;T;20;TECH;{00000000-0000-0000-0000-000000000000};
{357c0a45-2d33-46c4-b576-dfcdc4f406fe};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{357c0a45-2d33-46c4-b576-dfcdc4f406fe};2;P;2344;MAT-S-087;{4dfa6e7f-3361-4c5f-9f28-110b828f920a};631
{357c0a45-2d33-46c4-b576-dfcdc4f406fe};3;K;3.2;KERF;{4dfa6e7f-3361-4c5f-9f28-110b828f920a};631
