#VERSION 2
#CUTPLANS
{e5ecb6aa-f59c-4916-b4fa-cf7cdb38ece3};2;P;2462;MAT-CM-881;{dea06072-76a7-4dbb-b08c-3390b852c353};232
{e5ecb6aa-f59c-4916-b4fa-cf7cdb38ece3};3;K;3.2;KERF;{dea06072-76a7-4dbb-b08c-3390b852c353};232
{a9978507-fb9a-4dfb-bfad-bb7dd52b1efe};0;P;2462;MAT-CM-883;{3b438080-235e-42b8-9f12-336bc5c23f18};230
{a9978507-fb9a-4dfb-bfad-bb7dd52b1efe};1;K;3.2;KERF;{3b438080-235e-42b8-9f12-336bc5c23f18};230
{761efbfa-b49c-4f15-97c7-052e0231fd8e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{761efbfa-b49c-4f15-97c7-052e0231fd8e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{761efbfa-b49c-4f15-97c7-052e0231fd8e};2;P;3097;MAT-CM-886;{b20a7286-e3ba-454c-baf5-ffc7fc7d08b4};223
{761efbfa-b49c-4f15-97c7-052e0231fd8e};3;K;3.2;KERF;{b20a7286-e3ba-454c-baf5-ffc7fc7d08b4};223
{761efbfa-b49c-4f15-97c7-052e0231fd8e};4;P;1182;MAT-CM-887;{87c6ef7a-8fe2-4a06-a055-a191bfacb65f};231
{761efbfa-b49c-4f15-97c7-052e0231fd8e};5;K;3.2;KERF;{87c6ef7a-8fe2-4a06-a055-a191bfacb65f};231
{fa513286-89ea-4162-8336-dba0f7def7b3};0;P;1194;MAT-CM-889;{c25be657-ba3c-4479-b973-e4517deee7c7};231
{fa513286-89ea-4162-8336-dba0f7def7b3};1;K;2;KERF;{c25be657-ba3c-4479-b973-e4517deee7c7};231
{8cd9b964-c68c-4e14-8259-a99404567405};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{8cd9b964-c68c-4e14-8259-a99404567405};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8cd9b964-c68c-4e14-8259-a99404567405};2;P;2462;MAT-CM-892;{0416a370-d33c-4149-972a-4a61bf387066};231
{8cd9b964-c68c-4e14-8259-a99404567405};3;K;3.2;KERF;{0416a370-d33c-4149-972a-4a61bf387066};231
{8cd9b964-c68c-4e14-8259-a99404567405};4;P;2462;MAT-CM-893;{a467f032-b0f7-4129-a2b1-d507e700a369};232
{8cd9b964-c68c-4e14-8259-a99404567405};5;K;3.2;KERF;{a467f032-b0f7-4129-a2b1-d507e700a369};232
{33f85d73-3c46-4c1b-8e57-1dea8846264e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{33f85d73-3c46-4c1b-8e57-1dea8846264e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{33f85d73-3c46-4c1b-8e57-1dea8846264e};2;P;1650;MAT-CM-896;{da816631-904e-467e-800f-4c329bd928e3};232
{33f85d73-3c46-4c1b-8e57-1dea8846264e};3;K;3.2;KERF;{da816631-904e-467e-800f-4c329bd928e3};232
{a000730a-54c0-4594-83d1-faa9a932a6e0};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{a000730a-54c0-4594-83d1-faa9a932a6e0};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{a000730a-54c0-4594-83d1-faa9a932a6e0};2;P;3109;MAT-CM-899;{c6375d23-5501-49b2-9fa0-470e43341fa4};223
{a000730a-54c0-4594-83d1-faa9a932a6e0};3;K;2;KERF;{c6375d23-5501-49b2-9fa0-470e43341fa4};223
