#VERSION 2
#CUTPLANS
{f429ecbd-2a81-4865-8910-133fe2b71480};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f429ecbd-2a81-4865-8910-133fe2b71480};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f429ecbd-2a81-4865-8910-133fe2b71480};2;P;2445;MAT-M-839;{b50a9a52-2453-4d01-95d3-2237d6274bdd};133
{f429ecbd-2a81-4865-8910-133fe2b71480};3;K;3.2;KERF;{b50a9a52-2453-4d01-95d3-2237d6274bdd};133
{8dc91b0f-164a-4216-9f89-14fc0172a779};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8dc91b0f-164a-4216-9f89-14fc0172a779};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8dc91b0f-164a-4216-9f89-14fc0172a779};2;P;3820;MAT-M-842;{ae406820-9ae7-4d95-9357-79aaf7d402dc};139
{8dc91b0f-164a-4216-9f89-14fc0172a779};3;K;3.2;KERF;{ae406820-9ae7-4d95-9357-79aaf7d402dc};139
{5643df16-4954-4b38-8ab2-11c3efb45a33};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5643df16-4954-4b38-8ab2-11c3efb45a33};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5643df16-4954-4b38-8ab2-11c3efb45a33};2;P;3845;MAT-M-845;{544ed808-4fdb-41ef-9e7a-5d79be1344d3};139
{5643df16-4954-4b38-8ab2-11c3efb45a33};3;K;3.2;KERF;{544ed808-4fdb-41ef-9e7a-5d79be1344d3};139
{d436f83f-18fc-4ffa-acc0-31e79c771434};0;P;180;MAT-M-847;{3ebcc859-db8d-4315-a210-f623d8334db5};133
{d436f83f-18fc-4ffa-acc0-31e79c771434};1;K;2;KERF;{3ebcc859-db8d-4315-a210-f623d8334db5};133
{da6fedfe-3139-445d-8997-54745b25cea4};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{da6fedfe-3139-445d-8997-54745b25cea4};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{da6fedfe-3139-445d-8997-54745b25cea4};2;P;2125;MAT-M-850;{28069150-517f-4974-9169-e1553226a327};148
{da6fedfe-3139-445d-8997-54745b25cea4};3;K;2;KERF;{28069150-517f-4974-9169-e1553226a327};148
{6a14fa6b-323a-4d8d-8a0b-95c23ab4424a};0;P;2448;MAT-M-852;{19b83b45-c240-48a4-bd3a-975bfac41982};133
{6a14fa6b-323a-4d8d-8a0b-95c23ab4424a};1;K;3.2;KERF;{19b83b45-c240-48a4-bd3a-975bfac41982};133
#PIECES
{67368562-0b20-4091-bfc1-60994ceb5454};{c540893d-1807-4dee-8a94-35fcac7925a3};2195;NP-BAR12-4000;133
{f649d8b5-8677-4a1f-b65a-23d336a7542a};{5139fddd-4c97-459d-b5d6-831d546e87f3};3000;NP-BAR22-3000;127
{4471cedf-ce33-44fc-985f-6b0222fe218d};{8a94af57-80f7-4f06-bfac-89558ab4e7f5};3000;NP-BAR22-3000;139
{3a21e3fc-8c2a-4470-b841-451153a2348b};{af5e69ba-f5ae-4518-9511-7abe05021f83};3739;NP-ROLL70-6000;127
{3a21e3fc-8c2a-4470-b841-451153a2348b};{e10cb21b-f39b-4b2e-b86d-86d151a21e2d};2189;NP-ROLL70-6000;148
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};{eb647512-bce2-442a-924f-cbbff18a66ee};2515;NP-T-7016;133
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};{4160fede-ce9e-4e4b-8a5c-50e4166d8085};2270;NP-T-7016;148
{2b0b31f7-0535-47f6-a169-acf194a49771};{759a6aa5-cee0-4826-8917-51866e0161b7};2295;NP-TF-7016;148
{7a82f9db-7752-4587-b835-3ffda5459a83};{a64e60c5-58f8-423d-9743-62e66882537b};2597;NP-CLB;148
{d373453a-83d4-4558-9bbd-48c95817377f};{d6e73a7b-ed85-4336-a8fe-165d4b8dfe4d};2177;NP-CZ-7016;148
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};{0baa31be-efe9-476a-b101-57175352627d};2497;NP-CLT-7016;127
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};{10629b55-814e-4d07-ad4e-c2a9e85cb2c3};2597;NP-CLT-7016;148
{46d7f140-fd36-453a-9dbf-8dc7646bd086};{b56be258-9b0f-4ded-80d0-fd3d9bfa3f9b};2497;NP-CLT-7016;139
{c12c4892-7843-43cf-9a27-dc399a6e885d};{d09ba442-d77e-4515-bb4b-2bc5d0b693cd};2515;NP-TF-7016;133
{2b213e3a-1a7c-4d43-927a-99210e84c549};{5354a987-628d-4b03-b77c-875f23318a6c};675;NP-BAR22-3000;127
{11ff4bde-445c-47bd-a76b-032d5f35afae};{4abd15c4-f50e-424b-a5f3-3680a4dad7f9};2597;NP-CL-7016;148
{1fa32f08-98be-4c28-b495-e02b7cd25c04};{8eb0e8e7-3cdd-4e20-9e31-53b90317f49e};2497;NP-CL-7016;127
{1fa32f08-98be-4c28-b495-e02b7cd25c04};{bb334fdf-d3f0-41d8-afc4-92141712c36e};2497;NP-CL-7016;139
{d090e5e8-8de8-4cbb-9b89-668ed1faa227};{9b89a6bd-87fb-40dc-8f53-35e89b774589};2464;NP-ROLL70-6000;133
{f84af646-608b-4c28-a173-8bde4c9b1743};{f3b85a46-175a-4135-8dee-1f54b92220c0};2497;NP-CLB;127
{48b49ebf-5494-4b74-87aa-5a0a07fe6b78};{b00c1ebd-1867-4750-8daa-d0aa57025f96};3727;NP-CZ-7016;127
{ce8fe2a5-e87d-40e6-84db-cb6a95e6c764};{b0373592-f36f-42a5-9263-6f2462027ff0};3727;NP-CZ-7016;139
{786378c7-b7c8-4486-9719-a70ed49e85cd};{7f5e2077-de76-4f65-b003-fe26f850d488};3820;NP-T-7016;127
{667693ca-52be-48f0-89f9-88ac5cd90732};{73251b7f-da91-4756-ab63-905f6447406b};3845;NP-TF-7016;127
{6c7ac836-46af-45dd-ba6f-608393d3ae60};{2e33bce9-f7c1-4ffd-bb0b-eb2cf7ed4258};675;NP-BAR22-3000;139
{56ab11aa-f256-4556-a127-cfeab3feabde};{43cac039-9a67-470f-afb1-0f55537b2f70};3739;NP-ROLL70-6000;139
{c052cb20-c129-481a-9c60-cf7389ff93e0};{eb1d1308-8af8-477f-a610-c732eb7ecdc8};2497;NP-CLB;139
{f429ecbd-2a81-4865-8910-133fe2b71480};{b50a9a52-2453-4d01-95d3-2237d6274bdd};2445;NP-SZ-7016;133
{8dc91b0f-164a-4216-9f89-14fc0172a779};{ae406820-9ae7-4d95-9357-79aaf7d402dc};3820;NP-T-7016;139
{5643df16-4954-4b38-8ab2-11c3efb45a33};{544ed808-4fdb-41ef-9e7a-5d79be1344d3};3845;NP-TF-7016;139
{d436f83f-18fc-4ffa-acc0-31e79c771434};{3ebcc859-db8d-4315-a210-f623d8334db5};180;NP-BAR12-4000;133
