#VERSION 2
#CUTPLANS
{dcd96333-5965-48bd-9510-be9aa7f70003};0;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;4;;RSM-792;2130
{b1095939-2f59-432b-8181-f63f360bdf0c};5;K;3.2;KERF;{6e226c62-b7bc-4c65-97d0-93ae2d25b8ad};331
{b1095939-2f59-432b-8181-f63f360bdf0c};6;P;2157;MAT-V-114;{9a4dd677-fabe-445a-8be7-204961f7c737};332 2/2
{b1095939-2f59-432b-8181-f63f360bdf0c};7;K;3.2;KERF;{9a4dd677-fabe-445a-8be7-204961f7c737};332 2/2
{9000bb0b-22e2-4f4e-a631-3d8e43d0c017};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{9000bb0b-22e2-4f4e-a631-3d8e43d0c017};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{9000bb0b-22e2-4f4e-a631-3d8e43d0c017};2;P;2170;MAT-V-117;{9c1f2a4c-5925-4b35-9282-d0482094a345};332 1/2
{9000bb0b-22e2-4f4e-a631-3d8e43d0c017};3;K;2;KERF;{9c1f2a4c-5925-4b35-9282-d0482094a345};332 1/2
{9000bb0b-22e2-4f4e-a631-3d8e43d0c017};4;P;2170;MAT-V-118;{c4b575b4-9ab5-4b0e-8d3b-62b17cb87344};332 2/2
{9000bb0b-22e2-4f4e-a631-3d8e43d0c017};5;K;2;KERF;{c4b575b4-9ab5-4b0e-8d3b-62b17cb87344};332 2/2
{cfdd3039-20ff-43e7-a57d-705c105f023d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{cfdd3039-20ff-43e7-a57d-705c105f023d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{cfdd3039-20ff-43e7-a57d-705c105f023d};2;P;2275;MAT-V-121;{0a7b1148-45d9-4ba9-8c05-e81b9c4543c8};332 1/2
{cfdd3039-20ff-43e7-a57d-705c105f023d};3;K;3.2;KERF;{0a7b1148-45d9-4ba9-8c05-e81b9c4543c8};332 1/2
{cfdd3039-20ff-43e7-a57d-705c105f023d};4;P;2275;MAT-V-122;{42cd76fc-88bf-4809-a4ec-f8cddeeec72a};332 2/2
{cfdd3039-20ff-43e7-a57d-705c105f023d};5;K;3.2;KERF;{42cd76fc-88bf-4809-a4ec-f8cddeeec72a};332 2/2
{5036486f-6db6-4fad-8030-cb0ecd2675d0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5036486f-6db6-4fad-8030-cb0ecd2675d0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5036486f-6db6-4fad-8030-cb0ecd2675d0};2;P;2250;MAT-V-125;{638b21f5-1b15-45f9-9cf1-92d1b5850cad};332 1/2
{5036486f-6db6-4fad-8030-cb0ecd2675d0};3;K;3.2;KERF;{638b21f5-1b15-45f9-9cf1-92d1b5850cad};332 1/2
{5036486f-6db6-4fad-8030-cb0ecd2675d0};4;P;2250;MAT-V-126;{67ce26a5-72ea-488e-b2c5-74bb3be5851c};332 2/2
{5036486f-6db6-4fad-8030-cb0ecd2675d0};5;K;3.2;KERF;{67ce26a5-72ea-488e-b2c5-74bb3be5851c};332 2/2
{eae55d52-039d-4c72-850b-f586aa340b6c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{eae55d52-039d-4c72-850b-f586aa340b6c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{eae55d52-039d-4c72-850b-f586aa340b6c};2;P;2105;MAT-V-129;{bf743444-99db-4da8-b79b-9c778b9de2d8};332 2/2
{eae55d52-039d-4c72-850b-f586aa340b6c};3;K;2;KERF;{bf743444-99db-4da8-b79b-9c778b9de2d8};332 2/2
{eae55d52-039d-4c72-850b-f586aa340b6c};4;P;2955;MAT-V-130;{4758d0aa-1813-42c4-a13e-f7c9fb473987};333
{eae55d52-039d-4c72-850b-f586aa340b6c};5;K;2;KERF;{4758d0aa-1813-42c4-a13e-f7c9fb473987};333
{b393ed9a-9038-4341-bf10-9f0dc2184de0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b393ed9a-9038-4341-bf10-9f0dc2184de0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b393ed9a-9038-4341-bf10-9f0dc2184de0};2;P;2077;MAT-V-133;{e553832c-44ce-4258-b472-0e7641096eab};332 2/2
{b393ed9a-9038-4341-bf10-9f0dc2184de0};3;K;3.2;KERF;{e553832c-44ce-4258-b472-0e7641096eab};332 2/2
