#VERSION 2
#CUTPLANS
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};2;P;1780;MAT-Q-745;{66d4b5af-f717-4bc9-bf30-7e11d8304b1d};241
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};3;K;2;KERF;{66d4b5af-f717-4bc9-bf30-7e11d8304b1d};241
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};4;P;1743;MAT-Q-746;{eb081bc8-ed7b-4347-bbe2-8d09cfff1528};244
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};5;K;2;KERF;{eb081bc8-ed7b-4347-bbe2-8d09cfff1528};244
{e369a717-9640-4aa5-a808-58c34cf49fc8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e369a717-9640-4aa5-a808-58c34cf49fc8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e369a717-9640-4aa5-a808-58c34cf49fc8};2;P;1795;MAT-Q-749;{00f445c2-0c24-47ff-84d8-956b889fe38e};244
{e369a717-9640-4aa5-a808-58c34cf49fc8};3;K;3.2;KERF;{00f445c2-0c24-47ff-84d8-956b889fe38e};244
{e369a717-9640-4aa5-a808-58c34cf49fc8};4;P;1887;MAT-Q-750;{5c66734d-255e-4ce3-afdb-0334268b28d9};245
{e369a717-9640-4aa5-a808-58c34cf49fc8};5;K;3.2;KERF;{5c66734d-255e-4ce3-afdb-0334268b28d9};245
{fee72947-c3d5-43e0-9df8-28970de701af};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fee72947-c3d5-43e0-9df8-28970de701af};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fee72947-c3d5-43e0-9df8-28970de701af};2;P;2248;MAT-Q-753;{86b15518-d660-402f-9162-703eecaec32b};237
{fee72947-c3d5-43e0-9df8-28970de701af};3;K;3.2;KERF;{86b15518-d660-402f-9162-703eecaec32b};237
{fee72947-c3d5-43e0-9df8-28970de701af};4;P;2508;MAT-Q-754;{1649774d-0536-44b7-886c-001494a6a2b4};238
{fee72947-c3d5-43e0-9df8-28970de701af};5;K;3.2;KERF;{1649774d-0536-44b7-886c-001494a6a2b4};238
{7690552b-40f0-4481-9353-91f30541c775};0;P;2515;MAT-Q-756;{65d4d286-0792-4b02-a75b-ce9667c224cc};235
{7690552b-40f0-4481-9353-91f30541c775};1;K;3.2;KERF;{65d4d286-0792-4b02-a75b-ce9667c224cc};235
{7690552b-40f0-4481-9353-91f30541c775};2;P;605;MAT-Q-757;{c5489d86-caf7-43eb-a75d-3f9782115acf};238
{7690552b-40f0-4481-9353-91f30541c775};3;K;3.2;KERF;{c5489d86-caf7-43eb-a75d-3f9782115acf};238
{fd7b6aab-5506-4baf-8061-eee2156bb5ec};0;P;2005;MAT-Q-760;{d5e824d5-f503-485f-a9fe-c1e671690d40};245
{fd7b6aab-5506-4baf-8061-eee2156bb5ec};1;K;3.2;KERF;{d5e824d5-f503-485f-a9fe-c1e671690d40};245
{9ab41f01-56d5-474c-9207-f688d21e9870};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{9ab41f01-56d5-474c-9207-f688d21e9870};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{9ab41f01-56d5-474c-9207-f688d21e9870};2;P;2470;MAT-Q-763;{ce9a32c5-54b9-4799-9e86-f7952f4e1c18};235
{9ab41f01-56d5-474c-9207-f688d21e9870};3;K;2;KERF;{ce9a32c5-54b9-4799-9e86-f7952f4e1c18};235
{0b5313ea-e21b-4425-b70c-3fefbc92cf6e};0;P;1980;MAT-Q-765;{aa27f0d3-f42f-435a-8902-2cbcdc5950c1};245
{0b5313ea-e21b-4425-b70c-3fefbc92cf6e};1;K;3.2;KERF;{aa27f0d3-f42f-435a-8902-2cbcdc5950c1};245
{fa6c632c-fcb0-4b32-bb98-08c3a2692aa7};0;P;1832;MAT-Q-767;{71ffa92f-d436-42e6-b5e3-752e294461d2};241
{fa6c632c-fcb0-4b32-bb98-08c3a2692aa7};1;K;3.2;KERF;{71ffa92f-d436-42e6-b5e3-752e294461d2};241
{6548ab6d-a727-4d36-bd63-be6fe7dad4a1};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6548ab6d-a727-4d36-bd63-be6fe7dad4a1};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{6548ab6d-a727-4d36-bd63-be6fe7dad4a1};2;P;2541;MAT-Q-770;{dd80f3f5-9f16-4d97-a01f-fe2606efc2aa};235
{6548ab6d-a727-4d36-bd63-be6fe7dad4a1};3;K;2;KERF;{dd80f3f5-9f16-4d97-a01f-fe2606efc2aa};235
{8d501be1-9410-4eee-9db4-622c6333f29a};0;P;1887;MAT-Q-773;{eb59dc56-975a-40df-89ef-533dff5a1a9e};245
{8d501be1-9410-4eee-9db4-622c6333f29a};1;K;3.2;KERF;{eb59dc56-975a-40df-89ef-533dff5a1a9e};245
{c78415d9-246c-4030-a4a3-75aa8250a69e};0;P;1832;MAT-Q-775;{3ef3dcbd-96ea-4703-9bb2-ae67d0754899};241
{c78415d9-246c-4030-a4a3-75aa8250a69e};1;K;3.2;KERF;{3ef3dcbd-96ea-4703-9bb2-ae67d0754899};241
#PIECES
{69ed4ea5-1082-4899-886e-507e5dedb95c};{b0cc85da-a9e3-485a-88ce-1c5ff15f057b};1730;NP-BAR12-4000;236
{843c476b-0609-42ce-86c2-db4e74559c27};{152a73f5-983d-43b1-9696-b10631a84ce4};1899;NP-ROLL70-5000;245
{a0d9b38b-f13e-487e-bcc5-8763a17bf24c};{c09a53b7-1504-4f7c-affd-2ee564bb4ed9};1844;NP-ROLL70-5000;241
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};{b1a3f669-1fa0-433d-9127-a911c476d9e6};2585;NP-T-9010;235
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};{6594876b-6517-494c-a1c9-81ee31014e5d};2635;NP-T-9010;237
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};{dc9ed456-14e9-4d25-b037-4a30c7fba0ef};675;NP-T-9010;238
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};{1ed59f60-f29a-4e9f-8518-46578e8ecfaf};2585;NP-TF-9010;235
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};{4d8cd3f6-8a62-4d66-81b9-79cb43672321};2635;NP-TF-9010;237
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};{a8dbfbd8-ab78-4c02-9643-564838bc0dc4};675;NP-TF-9010;238
{dd6979fb-ec05-43b3-a4d6-c53f3ac32de5};{b10a3ec8-1b06-4fbb-8905-3e8466717836};1807;NP-ROLL70-5000;244
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};{15b10da3-8229-4eb0-8c62-e7579312066e};355;NP-BAR12-4000;236
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};{49db44a7-f1bf-433d-b897-2f0774b0267e};560;NP-BAR12-4000;238
{684981b1-9dae-410d-bf4f-54833a30428a};{5cba0692-89c6-4ab9-9646-24b2985ca628};621;NP-ROLL70-5000;238
{8b33127d-498e-4f63-8e34-64e1d4af0127};{e75305f9-b7f2-4ee1-a5fc-9ad1ef2e361f};2508;NP-SL2-9010;235
{8b33127d-498e-4f63-8e34-64e1d4af0127};{1a1313a0-b25a-49eb-a76c-d5bce6bcfcdd};2508;NP-SL2-9010;236
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};{b0132aaa-1b87-461b-b4b6-24f6f005451e};2155;NP-SZ-9010;236
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};{c7a40c3a-ee4a-4f48-8ac7-50530fd503f2};2565;NP-SZ-9010;237
{820f54ea-612f-4964-97de-af6b4ea6401a};{5ce37a14-4867-4d72-b7f3-c62f532ccbad};2181;NP-ROLL70-5000;236
{820f54ea-612f-4964-97de-af6b4ea6401a};{1cf3f85f-85f2-4292-93b6-110b74d054ef};2591;NP-ROLL70-5000;237
{951ad68d-70dc-4c1a-8a12-1937ef3f0d7c};{393a2848-4b12-4235-b8a3-821ee267b913};1835;NP-BAR22-3000;245
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};{803ec0ec-fb98-47cd-aabc-2320e7610d86};2225;NP-T-9010;236
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};{95deb811-7db3-46a2-8c2c-4c8c233cb20c};1925;NP-T-9010;241
{8e83f1dc-e49b-4c2d-8901-d3fb72e1ff47};{6411094e-4b75-4e1b-9442-10246fbd4a7c};1913;NP-TF-7016;244
{4df5ec69-313c-4e83-823d-01c92f73b0da};{ca4a881a-0b29-4566-b47a-0d5ce2d8385f};2520;NP-BAR12-4000;237
{360318d6-dde2-45a9-92ec-5f268547808c};{7d3939eb-5ffe-4b29-a333-e448ac66db41};1888;NP-T-7016;244
{5e259ffe-7004-430f-a745-455e1cea325f};{f7b49b37-de66-4cfb-ac85-15b4514348c4};2225;NP-TF-9010;236
{5e259ffe-7004-430f-a745-455e1cea325f};{fb07709a-2bc6-4755-a7b2-eb2e3a5daff8};1950;NP-TF-9010;241
{97a33dd6-5a90-40b1-8fb1-9d79577a136d};{1d29d0fb-8cd0-47fc-a4de-0c05e8981531};1795;NP-CL2+CLT2+CLB2-7016;244
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};{66d4b5af-f717-4bc9-bf30-7e11d8304b1d};1780;NP-BAR22-3000;241
{fc1052d7-b45f-4b15-b3d5-ca8784f3e8b5};{eb081bc8-ed7b-4347-bbe2-8d09cfff1528};1743;NP-BAR22-3000;244
{e369a717-9640-4aa5-a808-58c34cf49fc8};{00f445c2-0c24-47ff-84d8-956b889fe38e};1795;NP-CZ-7016;244
{e369a717-9640-4aa5-a808-58c34cf49fc8};{5c66734d-255e-4ce3-afdb-0334268b28d9};1887;NP-CZ-7016;245
{fee72947-c3d5-43e0-9df8-28970de701af};{86b15518-d660-402f-9162-703eecaec32b};2248;NP-SL2-9010;237
{fee72947-c3d5-43e0-9df8-28970de701af};{1649774d-0536-44b7-886c-001494a6a2b4};2508;NP-SL2-9010;238
{7690552b-40f0-4481-9353-91f30541c775};{65d4d286-0792-4b02-a75b-ce9667c224cc};2515;NP-SZ-9010;235
{7690552b-40f0-4481-9353-91f30541c775};{c5489d86-caf7-43eb-a75d-3f9782115acf};605;NP-SZ-9010;238
{fd7b6aab-5506-4baf-8061-eee2156bb5ec};{d5e824d5-f503-485f-a9fe-c1e671690d40};2005;NP-TF-7016;245
{9ab41f01-56d5-474c-9207-f688d21e9870};{ce9a32c5-54b9-4799-9e86-f7952f4e1c18};2470;NP-BAR12-4000;235
{0b5313ea-e21b-4425-b70c-3fefbc92cf6e};{aa27f0d3-f42f-435a-8902-2cbcdc5950c1};1980;NP-T-7016;245
{fa6c632c-fcb0-4b32-bb98-08c3a2692aa7};{71ffa92f-d436-42e6-b5e3-752e294461d2};1832;NP-CZ-9010;241
{6548ab6d-a727-4d36-bd63-be6fe7dad4a1};{dd80f3f5-9f16-4d97-a01f-fe2606efc2aa};2541;NP-ROLL70-5000;235
{8d501be1-9410-4eee-9db4-622c6333f29a};{eb59dc56-975a-40df-89ef-533dff5a1a9e};1887;NP-CL2+CLT2+CLB2-7016;245
{c78415d9-246c-4030-a4a3-75aa8250a69e};{3ef3dcbd-96ea-4703-9bb2-ae67d0754899};1832;NP-CL2+CLT2+CLB2-9010;241
#LEFTOVERS
{69ed4ea5-1082-4899-886e-507e5dedb95c};selejt;0
{843c476b-0609-42ce-86c2-db4e74559c27};selejt;294
{a0d9b38b-f13e-487e-bcc5-8763a17bf24c};selejt;174
{13c11cbe-7e30-421f-8cb1-b37861db4c1a};selejt;77.2
{45a582b5-32c0-4b17-99f9-b82bde50f0c9};selejt;77.2
{dd6979fb-ec05-43b3-a4d6-c53f3ac32de5};selejt;310
{4f823f4e-4c63-4b3c-ba9a-cc233d2d2620};selejt;166
{684981b1-9dae-410d-bf4f-54833a30428a};RST-C-044;1507
{8b33127d-498e-4f63-8e34-64e1d4af0127};RST-C-045;959.4
{6a57e60b-b7e0-40f8-9ebd-f2f407017883};selejt;223.6
{820f54ea-612f-4964-97de-af6b4ea6401a};selejt;222
{951ad68d-70dc-4c1a-8a12-1937ef3f0d7c};RST-C-046;1538
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};RST-C-047;1825.4
{8e83f1dc-e49b-4c2d-8901-d3fb72e1ff47};selejt;103.8
{4df5ec69-313c-4e83-823d-01c92f73b0da};RST-C-048;1476
{360318d6-dde2-45a9-92ec-5f268547808c};selejt;108.8
{5e259ffe-7004-430f-a745-455e1cea325f};RST-C-049;1800.4
{97a33dd6-5a90-40b1-8fb1-9d79577a136d};selejt;126.8
