#VERSION 2
#CUTPLANS
{9791c531-fc12-414e-88c7-ab64521e2085};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-871;1;;RSM-871;1875
{b3ed2b99-2b3c-44df-8398-e6ac87c257fd};1;NOT_STARTED;Rod-B;SR-Z+P;CM2;3.2;STOCK;MAT-CR-579;1;;MAT-CR-579;6000
{d6e3d9bd-23d3-427c-be00-abe219a68a51};2;NOT_STARTED;Rod-C;TE-H-32;CM2;3.2;STOCK;MAT-CR-587;1;;MAT-CR-587;6000
{5560534c-28eb-4fd9-9c2e-f7ae3cd5e253};3;NOT_STARTED;Rod-F;SR-T;CM2;3.2;REUSABLE;RSM-866;1;;RSM-866;1000
{a5b634d8-726d-4c38-b009-3ae4ddfb3394};4;NOT_STARTED;Rod-H;SR-T;CM2;3.2;REUSABLE;RSM-872;1;;RSM-872;1150
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};5;NOT_STARTED;Rod-J;SR-T;CM2;3.2;STOCK;MAT-CR-602;1;;MAT-CR-602;6000
{c90724ae-355a-4f21-b5da-8148c4eec60b};6;NOT_STARTED;Rod-K;SR-Z+P;CM2;3.2;STOCK;MAT-CR-609;1;;MAT-CR-609;6000
{90549c8a-e707-4dcf-8e3f-26fe3936d801};7;NOT_STARTED;Rod-M;TE-H-32;CM2;3.2;STOCK;MAT-CR-614;1;;MAT-CR-614;6000
{222bba0f-7256-4c72-9da1-ed36550322b9};8;NOT_STARTED;Rod-N;SR-T;CM2;3.2;STOCK;MAT-CR-619;1;;MAT-CR-619;6000
{33a0a916-5ebe-45be-ac8e-66536e68551d};9;NOT_STARTED;Rod-P;SR-Z+P;CM2;3.2;STOCK;MAT-CR-623;1;;MAT-CR-623;6000
{484fafc2-6c34-4686-af10-7fa26f7f4336};10;NOT_STARTED;Rod-Q;TE-H-32;CM2;3.2;STOCK;MAT-CR-626;1;;MAT-CR-626;6000
#SEGMENTS
{c90724ae-355a-4f21-b5da-8148c4eec60b};6;P;1580;MAT-CR-612;{c1d3e285-c391-4c00-bc3b-27c6d06a7588};640
{c90724ae-355a-4f21-b5da-8148c4eec60b};7;K;3.2;KERF;{c1d3e285-c391-4c00-bc3b-27c6d06a7588};640
{90549c8a-e707-4dcf-8e3f-26fe3936d801};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{90549c8a-e707-4dcf-8e3f-26fe3936d801};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{90549c8a-e707-4dcf-8e3f-26fe3936d801};2;P;2327;MAT-CR-615;{3684b732-e1d4-46e8-9991-590d289d69d7};631
{90549c8a-e707-4dcf-8e3f-26fe3936d801};3;K;3.2;KERF;{3684b732-e1d4-46e8-9991-590d289d69d7};631
{90549c8a-e707-4dcf-8e3f-26fe3936d801};4;P;1557;MAT-CR-616;{56e33dc4-fe33-4978-a03a-5e61b576e88f};639
{90549c8a-e707-4dcf-8e3f-26fe3936d801};5;K;3.2;KERF;{56e33dc4-fe33-4978-a03a-5e61b576e88f};639
{90549c8a-e707-4dcf-8e3f-26fe3936d801};6;P;1577;MAT-CR-617;{c6c49b69-1f3c-4c8d-a15f-13eeac8af9dd};640
{90549c8a-e707-4dcf-8e3f-26fe3936d801};7;K;3.2;KERF;{c6c49b69-1f3c-4c8d-a15f-13eeac8af9dd};640
{222bba0f-7256-4c72-9da1-ed36550322b9};0;T;20;TECH;{00000000-0000-0000-0000-000000000000};
{222bba0f-7256-4c72-9da1-ed36550322b9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{222bba0f-7256-4c72-9da1-ed36550322b9};2;P;2344;MAT-CR-620;{7580a3ef-0577-46d6-b228-4aac929e0d8b};631
{222bba0f-7256-4c72-9da1-ed36550322b9};3;K;3.2;KERF;{7580a3ef-0577-46d6-b228-4aac929e0d8b};631
