#VERSION 2
#CUTPLANS
{89ad1d31-0160-4899-b5a9-314132062024};{ccb23bb1-d484-430f-8f8c-3b6e0b767de8};1350;NP-TF;230
{89ad1d31-0160-4899-b5a9-314132062024};{d821ef13-c17c-44f2-9e0d-7c0a99afdb7b};1300;NP-TF;231
{7a37ae2d-8079-4b32-a1f0-b4d442d497b6};{c4a6c456-5297-4292-b934-c6314b7de880};3190;NP-T;223
{7a37ae2d-8079-4b32-a1f0-b4d442d497b6};{9aa82bf9-0051-409c-871d-62d292218974};1325;NP-T;230
{7a37ae2d-8079-4b32-a1f0-b4d442d497b6};{7373900e-581d-4a12-8931-57c713cffcda};1275;NP-T;231
{e569b81b-d940-43c6-967d-8ae4524871db};{308e2765-f9fb-4e3b-938b-e73b33bad6fa};1232;NP-CZ;230
{e569b81b-d940-43c6-967d-8ae4524871db};{964c3100-80ae-4f1f-9169-55e16458574a};1557;NP-CZ;232
{6cadca91-b541-481f-85b0-e9c79404cd3d};{38a58e81-f7c9-4160-a07f-8eee5327c62d};1244;NP-ROLL70-5000;230
{6cadca91-b541-481f-85b0-e9c79404cd3d};{7735a704-593e-46f9-a4be-f53a661e2e1e};1569;NP-ROLL70-5000;232
{230638e9-cee3-4599-90fd-b5c83e78269f};{e31d0eb9-20d5-4b59-878d-cc183edcaf21};2462;NP-CL2+CLT2+CLB2;230
{230638e9-cee3-4599-90fd-b5c83e78269f};{e676608c-b103-4e40-9d3e-090b668d6541};2462;NP-CL2+CLT2+CLB2;231
{dad10c5a-d8f2-4d58-9b17-0e1c728a8899};{a4fa1387-61df-48ee-9a89-6cb85f7ce1fd};2462;NP-CL2+CLT2+CLB2;232
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};{520280fd-8085-445b-ac00-b7ba28186cef};3097;NP-CZ;223
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};{172759e2-c1e2-44f8-927d-555de331b42c};1182;NP-CZ;231
{bdd5aa38-e513-4245-a2da-825d8ba8fed8};{baf46cf2-8aa9-4382-bbfb-02c1db8864b8};1194;NP-ROLL70-5000;231
{a9139c20-2b8e-4f09-aabe-8846ece146f2};{954b6f7e-038c-4e22-b568-c4f161655d65};1180;NP-BAR22-3000;230
{ca2c0470-8466-49a0-96e5-67ccec426ce8};{c0074976-4ac6-4ece-98a8-59ef0e24ba0b};1675;NP-TF;232
{f7a1a60e-d05c-4c80-8de6-52ffebf417b0};{4751aede-c79a-4760-aa03-777ea275eec7};1650;NP-T;232
{ce1f9ec6-4028-401a-89d8-ba39cb99ed52};{d371cb9a-48b7-4c3e-8da7-6b24c3e103d1};3109;NP-ROLL70-5000;223
#LEFTOVERS
{f3d9e70a-fb13-48d6-b872-5e510154147c};selejt;0
{8b551b71-c329-4a04-9699-0dbc406d019e};selejt;0
{c80b775e-5e33-4b8f-88c3-664b2e7aeead};selejt;0
{91b1f248-db79-44c3-930a-85d97c6837cb};selejt;149.8
{4bc94806-ded8-475e-9793-4c5d7738dccd};RST-J-595;754
{89ad1d31-0160-4899-b5a9-314132062024};selejt;107.2
{7a37ae2d-8079-4b32-a1f0-b4d442d497b6};selejt;182.2
{e569b81b-d940-43c6-967d-8ae4524871db};RST-J-596;1104.6
{6cadca91-b541-481f-85b0-e9c79404cd3d};RST-J-597;833
{230638e9-cee3-4599-90fd-b5c83e78269f};RST-J-598;2051.4
{dad10c5a-d8f2-4d58-9b17-0e1c728a8899};RST-J-599;4516.6
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};RST-J-600;2696.4
{bdd5aa38-e513-4245-a2da-825d8ba8fed8};RST-J-601;824
{a9139c20-2b8e-4f09-aabe-8846ece146f2};selejt;3
{ca2c0470-8466-49a0-96e5-67ccec426ce8};RST-J-602;4303.6
{f7a1a60e-d05c-4c80-8de6-52ffebf417b0};RST-J-603;4328.6
{ce1f9ec6-4028-401a-89d8-ba39cb99ed52};RST-J-604;1887
