#VERSION 2
#CUTPLANS
{e290cae4-1fb2-440e-885e-1e508411f4aa};{a8be290c-9d02-453f-a3e0-f41256a4e7d2};100;NP-BAR12-4000;206
{fe149947-fc17-4e07-bf35-2e1f6ac2c8b7};{32193e19-d8fd-48d1-8e2d-050cf9b377f5};1650;NP-T;205
{2f489bdb-c020-4f97-a386-d453c7159751};{e7196a73-7d87-4ef9-b8e9-b997f8eb0e75};1475;NP-SZ;206
{70815426-6c60-43d0-939b-7384c350b08f};{b144208a-8948-4527-85bc-2d1b67af65cf};1458;NP-ROLL70-7000;206
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};{3f3766a6-bcbd-4363-85b4-abeb1510290d};1640;NP-TF;204
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};{294d0839-ee21-4cfe-aab0-dd82520b6672};1650;NP-TF;205
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};{ebe43f47-2ccd-489d-9023-65a0ffceeafe};1510;NP-TF;206
{9fe54aca-d72c-49aa-888e-24157b4f7af8};{f65a33db-48de-4fd8-88fb-197350cd7aa9};1640;NP-T;204
{9fe54aca-d72c-49aa-888e-24157b4f7af8};{f2a08e63-6e49-49ac-9be5-96974849eb34};1510;NP-T;206
{4d07e314-665f-4668-a356-24b40be4e664};{3f1e1631-6ce6-4063-9b42-dd868d310a75};1615;NP-SZ;205
{162da5fa-e96f-474e-a8c7-4fa489d043b8};{eeabc09a-b281-4e23-814b-130f86244d8e};2834;NP-ROLL70-7000;209
{233a4762-d9de-4be5-a743-0aec5b7c069d};{036da9d8-aea3-4ca1-a1fe-03282ea86442};2940;NP-TF-9010;209
{bc85a9a7-595d-4662-bfb3-14ab15c7d63e};{1c3c26bb-27c1-4765-842c-6ad93d93b3fb};1560;NP-BAR12-4000;204
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};{90fb6487-4baa-4d5c-9901-fcd96dbfa2bb};2495;NP-T-9010;192
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};{e23082ad-e1fe-4eda-9c2f-037d7674ece4};2915;NP-T-9010;209
{08cb46d0-17e5-413d-af02-8d48d51ac59f};{4c93a4df-c961-438e-b8cd-f0dcb947c8a2};2822;NP-CZ-9010;209
{a303ad86-78e4-48b8-821f-3000329798d9};{8250f93c-f788-4690-813c-4fcf37cfdb5d};2770;NP-BAR20-6000;209
{d137a3d2-dcd2-4dea-8198-cd9a77efcfda};{79321bc5-473b-4b2a-b67f-6b7949e8b50b};1605;NP-SZ;204
{9da87a32-5f24-4634-9ed6-adb16c007eed};{7b67d92b-ad53-45e6-aad2-424d612e3a71};2867;NP-CLT-9010;209
{d531f997-4a88-4069-a1f9-74e9ec14f88d};{9c32c8c0-55cb-4966-b8c6-7e8619de8d27};2443;NP-ROLL70-7000;192
{f1679a76-509d-46bc-9d05-ab4f6f91a62a};{38945cef-b060-4d96-9951-9cfc5b8ffeaf};2495;NP-TF-9010;192
{4d52364c-6ae9-48c7-b67b-bc2c08fc2714};{1bf6b28e-694f-424c-a01c-600013833d6a};2460;NP-SZ-9010;192
{7104239d-965b-4262-bcc3-e2465e4fcb57};{a4a85609-3ffa-4c46-b794-af2f73e9300a};2867;NP-CL-9010;209
{80a49b34-e14f-4f5a-be09-db61f0fb27fc};{70294bcb-edba-480b-be64-9b07a84d39ab};2415;NP-BAR12-4000;192
{9d58a895-aafe-4278-ac9d-f899562fbf1c};{1da71d5f-d4b6-45a9-a088-4f0aee7270ac};2867;NP-CLB;209
#LEFTOVERS
{facf46fc-aa28-4a71-bd8d-19fcdf57db4f};selejt;0
{89785965-5793-4017-9ccc-cb074dcde04b};selejt;460
{e290cae4-1fb2-440e-885e-1e508411f4aa};selejt;6
{fe149947-fc17-4e07-bf35-2e1f6ac2c8b7};selejt;346.8
{2f489bdb-c020-4f97-a386-d453c7159751};selejt;96.8
{70815426-6c60-43d0-939b-7384c350b08f};selejt;560
{e2c33085-8fab-40d4-a6f3-123b3fa3d1de};RST-B-774;1172.2
{9fe54aca-d72c-49aa-888e-24157b4f7af8};RST-B-775;2825.4
{4d07e314-665f-4668-a356-24b40be4e664};selejt;361.8
{162da5fa-e96f-474e-a8c7-4fa489d043b8};RST-B-776;2162
{233a4762-d9de-4be5-a743-0aec5b7c069d};selejt;606.8
{bc85a9a7-595d-4662-bfb3-14ab15c7d63e};selejt;78
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};selejt;565.4
{08cb46d0-17e5-413d-af02-8d48d51ac59f};RST-B-777;1999.8
{a303ad86-78e4-48b8-821f-3000329798d9};RST-B-778;3376
{d137a3d2-dcd2-4dea-8198-cd9a77efcfda};selejt;416.8
{9da87a32-5f24-4634-9ed6-adb16c007eed};RST-B-779;4111.6
{d531f997-4a88-4069-a1f9-74e9ec14f88d};RST-B-780;2553
{f1679a76-509d-46bc-9d05-ab4f6f91a62a};RST-B-781;3483.6
{4d52364c-6ae9-48c7-b67b-bc2c08fc2714};selejt;211.8
{7104239d-965b-4262-bcc3-e2465e4fcb57};RST-B-782;4111.6
{80a49b34-e14f-4f5a-be09-db61f0fb27fc};RST-B-783;1581
{9d58a895-aafe-4278-ac9d-f899562fbf1c};RST-B-784;3126.6
