#VERSION 2
#CUTPLANS
{326e3fc5-66d7-4c72-af5f-dcf39ffd01d5};2;P;2125;MAT-M-780;{84a643e9-4b6d-4f88-86f0-9d24a00be0c9};148
{326e3fc5-66d7-4c72-af5f-dcf39ffd01d5};3;K;2;KERF;{84a643e9-4b6d-4f88-86f0-9d24a00be0c9};148
{310c91de-8976-480a-980f-ff8aad141b1a};0;P;2448;MAT-M-782;{1c8d6bd7-38eb-42bd-bdb1-721223897f86};133
{310c91de-8976-480a-980f-ff8aad141b1a};1;K;3.2;KERF;{1c8d6bd7-38eb-42bd-bdb1-721223897f86};133
#PIECES
{2119fb2c-f84b-4470-b995-c507dcfeda72};{3968a447-4dc7-487b-b171-e6678966b574};2195;NP-BAR12-4000;133
{e5ef1d05-94e0-4625-b526-05fecaec8dbd};{b266adb0-cd14-47d0-8b77-19d36735e208};3000;NP-BAR22-3000;127
{2e1f6ebb-81dc-4701-888c-d64237e9860b};{f6554935-c965-4c7a-9814-efb7363490b9};3000;NP-BAR22-3000;139
{f12af142-2d95-4f41-8d18-67a68786e25b};{879910d9-146b-4701-981b-69a3c11a56ac};3739;NP-ROLL70-6000;127
{f12af142-2d95-4f41-8d18-67a68786e25b};{20ccf92c-8e82-4deb-a485-abae5dc87351};2189;NP-ROLL70-6000;148
{24417955-64a1-4c69-981e-e08c5d749996};{d67e8795-297a-4b47-aba9-0613b97e29a8};2515;NP-T-7016;133
{24417955-64a1-4c69-981e-e08c5d749996};{ad0f6c4c-91b6-49a3-82d1-68e7b34617d8};2270;NP-T-7016;148
{7d930f2f-7371-480d-a51a-cb8be6a93dba};{b5b18b49-8939-4570-825a-7d0abd27ef0f};2295;NP-TF-7016;148
{0e6626fd-495c-41a3-8121-2b9742109b2c};{3b1970f0-b247-4e32-93bf-82d486d922ad};2597;NP-CLB;148
{b1e4d6a5-e93a-44e9-a3d2-030af4247bb4};{6c3198b9-ce69-4bd3-884f-06ec2870094c};2177;NP-CZ-7016;148
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};{d778b93e-59b8-4fc2-bd98-445ca390ca3a};2497;NP-CLT-7016;127
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};{f9d33cd9-a268-4157-ac48-1445fc6077ee};2597;NP-CLT-7016;148
{13ee490f-bc75-4ca2-a4ff-497d8e9bec01};{014d3451-16cf-4f96-adfd-551c0a1c1b6f};2497;NP-CLT-7016;139
{552446f5-8f75-4a90-8f60-a632d9c6c662};{169ac8dd-7976-47f9-ae46-9160503423cd};2515;NP-TF-7016;133
{2966d3cf-8d23-4a6c-8fef-725ddef92ebf};{7721dead-71ea-43d2-897c-9178235c0104};675;NP-BAR22-3000;127
{9dc19689-d987-4319-accd-6c67fb87e501};{0fccdc31-c2ba-4a9c-b510-b1d84d29cef9};2597;NP-CL-7016;148
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};{c72fc505-7fd8-4e8e-b5db-aeb6ad33c6ae};2497;NP-CL-7016;127
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};{e39cf12f-e85b-4634-a290-24980d0d4061};2497;NP-CL-7016;139
{1a80f129-97b5-44d2-88ce-a9614a42e01d};{ad64f784-4047-415d-86e1-2be0e0fdb9c3};2464;NP-ROLL70-6000;133
{0f2ce7ab-8876-4d92-9cda-d242a24378ac};{cca5138d-a369-4ad3-afdd-68b783d06e31};2497;NP-CLB;127
{4665f971-4d9c-4261-b887-54903f85fa3b};{47c5ae9a-279c-4933-ad13-f4fec911b5a3};3727;NP-CZ-7016;127
{4c4ccc84-c238-4dfb-bdba-2d2a6a06c480};{506c707d-0f3d-4885-a2cc-a038b4aef2dc};3727;NP-CZ-7016;139
{59c25a7f-d3a5-44b4-a71a-be0fe84f3fc1};{6db55b2c-beaa-4635-95aa-750e321d5e0e};3820;NP-T-7016;127
{bfabce8c-10a0-4412-9517-69b41c38c33a};{4e651714-8e32-47ba-ae25-5554a553fc5f};3845;NP-TF-7016;127
{09c8d8aa-e2d7-4a52-9937-2462bbeb8ca2};{bfe24766-049a-4cb7-9307-b2db3b09413b};675;NP-BAR22-3000;139
{cce8d9f8-5e32-4f6f-80e7-75badaa926a5};{0505a56c-a429-47aa-a904-542545ef4e15};3739;NP-ROLL70-6000;139
