#VERSION 2
#CUTPLANS
{c0b2bd3f-ab04-43be-ab52-b4a192f8b86e};3;K;2;KERF;{8f7b6a7b-886b-47b4-a132-1ead5bfd2091};223
{5bcea148-eda7-4456-957c-18c79563e15b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5bcea148-eda7-4456-957c-18c79563e15b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5bcea148-eda7-4456-957c-18c79563e15b};2;P;1650;MAT-CN-480;{071af3d9-86d6-4e89-822e-43c95ee92d0b};232
{5bcea148-eda7-4456-957c-18c79563e15b};3;K;3.2;KERF;{071af3d9-86d6-4e89-822e-43c95ee92d0b};232
#PIECES
{440083ac-1209-4657-b76d-231c3405dec4};{61dedd3d-3b82-4ac9-b7ab-5e9d45b89ac5};3000;NP-BAR22-3000;223
{da888fa2-e9bd-4f66-904f-a4d65aabcc25};{0863767b-ebd1-4be0-83e2-7368f1d0f4f5};1000;NP-BAR22-3000;231
{f8af80dc-c9c2-4d93-bf0a-8996299a9282};{99bd4b9e-7cbf-4ca9-a89e-9a860bdd1f3a};1330;NP-BAR22-3000;232
{7df57be4-9f3b-4f25-8170-62598ca5131d};{822f571a-481d-4d1b-84bf-a6025d80be88};3215;NP-TF;223
{7df57be4-9f3b-4f25-8170-62598ca5131d};{956d50df-2771-4d30-968d-45028eb04be7};1350;NP-TF;230
{7df57be4-9f3b-4f25-8170-62598ca5131d};{99d76538-202d-4170-adbc-4f38743c6f81};1300;NP-TF;231
{74722fe9-ba36-4bab-956b-1d9a5598c26c};{8310e42f-118e-4250-9459-92e66d6740e4};45;NP-BAR22-3000;223
{74722fe9-ba36-4bab-956b-1d9a5598c26c};{274b08e1-00f3-4892-9961-1cc4289010ba};100;NP-BAR22-3000;231
{74722fe9-ba36-4bab-956b-1d9a5598c26c};{e9fce475-c81c-48c6-bbba-de309513ef01};145;NP-BAR22-3000;232
{64551c9f-bdf6-4c2f-8472-9732aa37ef76};{de78d1a9-cc04-4cc1-ac8e-23d11f5a02fa};1232;NP-CZ;230
{64551c9f-bdf6-4c2f-8472-9732aa37ef76};{44cd131c-3f1e-4c59-af4f-f9b6dfbed499};1557;NP-CZ;232
