#VERSION 2
#CUTPLANS
{c4b90b49-33de-485a-8792-56fcb9a87c93};3;K;3.2;KERF;{2ac9149a-a23f-4ba1-885d-c7b5b6c978b5};230
{c4b90b49-33de-485a-8792-56fcb9a87c93};4;P;2462;MAT-CN-957;{3bc820f4-07bb-492b-b32c-231fb1fc006e};231
{c4b90b49-33de-485a-8792-56fcb9a87c93};5;K;3.2;KERF;{3bc820f4-07bb-492b-b32c-231fb1fc006e};231
{b4f78889-0449-4e5c-9a17-4dee557a067b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b4f78889-0449-4e5c-9a17-4dee557a067b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b4f78889-0449-4e5c-9a17-4dee557a067b};2;P;2462;MAT-CN-959;{d7b74ec6-4726-41e2-829f-5c0d2811e7a7};232
{b4f78889-0449-4e5c-9a17-4dee557a067b};3;K;3.2;KERF;{d7b74ec6-4726-41e2-829f-5c0d2811e7a7};232
{40ad26b6-554d-4824-a65d-f7d2bdf13d35};0;P;1194;MAT-CN-961;{3aa01421-1f45-44d6-bff3-0f0a3d995fad};231
{40ad26b6-554d-4824-a65d-f7d2bdf13d35};1;K;2;KERF;{3aa01421-1f45-44d6-bff3-0f0a3d995fad};231
{1557136b-e3c8-46bd-b5ef-878f83516a27};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1557136b-e3c8-46bd-b5ef-878f83516a27};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1557136b-e3c8-46bd-b5ef-878f83516a27};2;P;3097;MAT-CN-964;{24921d72-85d0-4838-93e2-6b99200d710d};223
{1557136b-e3c8-46bd-b5ef-878f83516a27};3;K;3.2;KERF;{24921d72-85d0-4838-93e2-6b99200d710d};223
{1557136b-e3c8-46bd-b5ef-878f83516a27};4;P;1182;MAT-CN-965;{d2b2fb41-8a4a-42c9-b5ff-b5447ccdb40d};231
{1557136b-e3c8-46bd-b5ef-878f83516a27};5;K;3.2;KERF;{d2b2fb41-8a4a-42c9-b5ff-b5447ccdb40d};231
{b6aa6647-a531-4c67-a4d4-ae34dc108ede};0;P;1180;MAT-CN-967;{ce0606fa-ec13-48c1-8a5d-589baf1e22d7};230
{b6aa6647-a531-4c67-a4d4-ae34dc108ede};1;K;2;KERF;{ce0606fa-ec13-48c1-8a5d-589baf1e22d7};230
{b6b4fe62-01a7-498e-a5ea-cdd30e63385d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b6b4fe62-01a7-498e-a5ea-cdd30e63385d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b6b4fe62-01a7-498e-a5ea-cdd30e63385d};2;P;1650;MAT-CN-970;{e0ccf2e2-bb53-47fd-ab2f-18ace23cc81f};232
{b6b4fe62-01a7-498e-a5ea-cdd30e63385d};3;K;3.2;KERF;{e0ccf2e2-bb53-47fd-ab2f-18ace23cc81f};232
{c0116d85-ac44-424d-aaad-35fc5e521adb};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c0116d85-ac44-424d-aaad-35fc5e521adb};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c0116d85-ac44-424d-aaad-35fc5e521adb};2;P;3109;MAT-CN-973;{6152ecbd-c636-4b1a-9132-afaec46c7b6e};223
{c0116d85-ac44-424d-aaad-35fc5e521adb};3;K;2;KERF;{6152ecbd-c636-4b1a-9132-afaec46c7b6e};223
{330943ed-b35c-42ec-8254-109d7ed7a87a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{330943ed-b35c-42ec-8254-109d7ed7a87a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{330943ed-b35c-42ec-8254-109d7ed7a87a};2;P;1675;MAT-CN-976;{db202c89-4a64-4008-bdc3-e7aef35c5327};232
{330943ed-b35c-42ec-8254-109d7ed7a87a};3;K;3.2;KERF;{db202c89-4a64-4008-bdc3-e7aef35c5327};232
#PIECES
{beb0e49c-6657-4a59-8c73-16f2e367b59d};{6eb96b8b-5c8e-4386-9600-8377e44f298a};3000;NP-BAR22-3000;223
{fe035646-9492-4ba2-8edd-b30916dbbbb3};{5cf51365-47b4-462c-b82c-3ab5a37ad826};1000;NP-BAR22-3000;231
{dd3a4878-f9e3-45e7-bdd9-78414edfc675};{326f2aca-0834-4b51-a102-52662d13d63a};1330;NP-BAR22-3000;232
{78ca1343-8812-4017-a7dc-05fc6507834a};{e4d153d0-0065-424f-a068-b70b5d02b5d1};1647;NP-CL2+CLT2+CLB2;223
{efb28ec9-3678-45ca-baf9-746134d4da61};{74bd06fa-68d6-4316-9f99-394e99500b52};45;NP-BAR22-3000;223
{efb28ec9-3678-45ca-baf9-746134d4da61};{8600fc86-84b3-475d-b773-2609a3272638};100;NP-BAR22-3000;231
{efb28ec9-3678-45ca-baf9-746134d4da61};{7e7e48b8-d918-4d84-b0e0-60749d1e4543};145;NP-BAR22-3000;232
{06d0b772-c5f4-4790-9da4-bdb92f701c0e};{6200be54-19ea-41e8-95be-4387de4a5f86};3190;NP-T;223
{06d0b772-c5f4-4790-9da4-bdb92f701c0e};{708784df-ba36-4521-b477-df0b451fdf85};1325;NP-T;230
{06d0b772-c5f4-4790-9da4-bdb92f701c0e};{f61a0589-2a00-4be6-bc15-e7ec04d2a62e};1275;NP-T;231
{ef5fc231-f23b-481b-9d97-e622373b0c3e};{1a8691b9-8cce-4f2f-a947-b9025ac8d09d};1244;NP-ROLL70-5000;230
{ef5fc231-f23b-481b-9d97-e622373b0c3e};{5a32bd74-167c-462b-a51e-a38d3cab6a71};1569;NP-ROLL70-5000;232
{0b9b599a-08c1-4f66-85fb-1407c203842e};{26e486a4-1b8a-4cee-b1b6-9df3f278594b};3215;NP-TF;223
