#VERSION 2
#CUTPLANS
{befdc7dc-0231-40a6-a5cf-f576152fa395};3;K;3.2;KERF;{06c01d22-2924-4b50-8390-ac1f2108938f};230
{befdc7dc-0231-40a6-a5cf-f576152fa395};4;P;2462;MAT-CN-809;{c62e54fd-3735-4947-92b4-72ee1fa4139d};231
{befdc7dc-0231-40a6-a5cf-f576152fa395};5;K;3.2;KERF;{c62e54fd-3735-4947-92b4-72ee1fa4139d};231
{b9a1212f-1f1b-4ab4-b7e4-a36d875053fb};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b9a1212f-1f1b-4ab4-b7e4-a36d875053fb};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b9a1212f-1f1b-4ab4-b7e4-a36d875053fb};2;P;2462;MAT-CN-811;{d417b1dc-04af-4b80-884f-5d9b1ede4755};232
{b9a1212f-1f1b-4ab4-b7e4-a36d875053fb};3;K;3.2;KERF;{d417b1dc-04af-4b80-884f-5d9b1ede4755};232
{632ce6e3-b851-40c4-98a9-1e5b32050cd0};0;P;1194;MAT-CN-813;{dc82d57f-c8bd-4927-bac4-c617934019e2};231
{632ce6e3-b851-40c4-98a9-1e5b32050cd0};1;K;2;KERF;{dc82d57f-c8bd-4927-bac4-c617934019e2};231
{faa78fcf-f876-4761-8075-798994830a1a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{faa78fcf-f876-4761-8075-798994830a1a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{faa78fcf-f876-4761-8075-798994830a1a};2;P;3097;MAT-CN-816;{da301114-90f1-4c3c-968b-dfe4e20084a6};223
{faa78fcf-f876-4761-8075-798994830a1a};3;K;3.2;KERF;{da301114-90f1-4c3c-968b-dfe4e20084a6};223
{faa78fcf-f876-4761-8075-798994830a1a};4;P;1182;MAT-CN-817;{03e22b0b-92ae-4720-aa83-3d7880718385};231
{faa78fcf-f876-4761-8075-798994830a1a};5;K;3.2;KERF;{03e22b0b-92ae-4720-aa83-3d7880718385};231
{60a11e55-c60c-4aad-a79f-146547cb0424};0;P;1180;MAT-CN-819;{89c131cd-4d46-4b2a-9ca7-2ca9b7658481};230
{60a11e55-c60c-4aad-a79f-146547cb0424};1;K;2;KERF;{89c131cd-4d46-4b2a-9ca7-2ca9b7658481};230
{7f2d66f9-44bd-4da0-a3f9-ec3db6a1282e};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{7f2d66f9-44bd-4da0-a3f9-ec3db6a1282e};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{7f2d66f9-44bd-4da0-a3f9-ec3db6a1282e};2;P;3109;MAT-CN-822;{bbe5dd89-405a-4ba5-b2a0-12ecb83fd2f9};223
{7f2d66f9-44bd-4da0-a3f9-ec3db6a1282e};3;K;2;KERF;{bbe5dd89-405a-4ba5-b2a0-12ecb83fd2f9};223
{13cd96a9-2485-4bac-a70c-90823c4a3d83};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{13cd96a9-2485-4bac-a70c-90823c4a3d83};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{13cd96a9-2485-4bac-a70c-90823c4a3d83};2;P;1650;MAT-CN-825;{d528664a-a37b-4eb2-b85e-270c395e6616};232
{13cd96a9-2485-4bac-a70c-90823c4a3d83};3;K;3.2;KERF;{d528664a-a37b-4eb2-b85e-270c395e6616};232
{c8a4eb66-f7a3-4d5a-b1a4-881215394c8e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c8a4eb66-f7a3-4d5a-b1a4-881215394c8e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c8a4eb66-f7a3-4d5a-b1a4-881215394c8e};2;P;1675;MAT-CN-828;{d5d4c075-050f-414d-8aab-fa53e3ca72fa};232
{c8a4eb66-f7a3-4d5a-b1a4-881215394c8e};3;K;3.2;KERF;{d5d4c075-050f-414d-8aab-fa53e3ca72fa};232
#PIECES
{1450c3de-b93b-493c-a006-339c2e942641};{91caf3fe-97ab-4f07-9c6b-b30e292eddc7};3000;NP-BAR22-3000;223
{4594cb83-86aa-4458-a6c4-ab5c8ab1b265};{4b8380e1-cf00-4a66-830d-bc55c3d197f4};1000;NP-BAR22-3000;231
{c3717a79-3a81-49eb-af9f-7d08761b2ae2};{878e5aae-430c-4303-900f-6aadfadb8282};1330;NP-BAR22-3000;232
{c8e1c540-5246-43fe-a039-50d0928320c4};{00ca6f17-d1a7-44a2-815c-8be0e0311a0d};45;NP-BAR22-3000;223
{c8e1c540-5246-43fe-a039-50d0928320c4};{60fc1930-362b-46b2-a30b-4b3b6e02361b};100;NP-BAR22-3000;231
{c8e1c540-5246-43fe-a039-50d0928320c4};{82bb2426-0672-42f3-a6a6-c58e3a9367bf};145;NP-BAR22-3000;232
{7c50081a-27b7-4ba5-9382-81a51714cdb5};{3204ccf5-1e8c-4012-9965-de86564ace08};1244;NP-ROLL70-5000;230
{7c50081a-27b7-4ba5-9382-81a51714cdb5};{c7d671df-9dbd-4bb9-92bc-15dd3247a1fb};1569;NP-ROLL70-5000;232
{3e0b3fb0-59ef-4d2e-a21e-b82522c0b227};{004ef0bc-bcbd-44d5-8868-45998a646ccc};1232;NP-CZ;230
{3e0b3fb0-59ef-4d2e-a21e-b82522c0b227};{752291d4-5bb8-4050-83ee-0e54f5fa0612};1557;NP-CZ;232
{f02336c2-677b-4c8c-a967-92606195c506};{0495d60e-9ff2-4605-bef7-968db6a2bd7c};1647;NP-CL2+CLT2+CLB2;223
{5b3dbf87-e091-4f2c-ae29-b382bc20af62};{22b25be1-69fe-45e6-998f-b5fcc551b022};3190;NP-T;223
{5b3dbf87-e091-4f2c-ae29-b382bc20af62};{879deecb-2fd5-4507-93c4-89396898ae48};1325;NP-T;230
{5b3dbf87-e091-4f2c-ae29-b382bc20af62};{dfa8f106-dded-433c-9e9e-beb887e8f00d};1275;NP-T;231
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};{0675fc5d-1cbc-4d94-888c-820f6908b37a};3215;NP-TF;223
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};{287edff2-19c0-48ae-87ab-d9ffa2a36ad4};1350;NP-TF;230
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};{95990325-4591-4728-9d4c-00d9970523fa};1300;NP-TF;231
{befdc7dc-0231-40a6-a5cf-f576152fa395};{06c01d22-2924-4b50-8390-ac1f2108938f};2462;NP-CL2+CLT2+CLB2;230
{befdc7dc-0231-40a6-a5cf-f576152fa395};{c62e54fd-3735-4947-92b4-72ee1fa4139d};2462;NP-CL2+CLT2+CLB2;231
{b9a1212f-1f1b-4ab4-b7e4-a36d875053fb};{d417b1dc-04af-4b80-884f-5d9b1ede4755};2462;NP-CL2+CLT2+CLB2;232
{632ce6e3-b851-40c4-98a9-1e5b32050cd0};{dc82d57f-c8bd-4927-bac4-c617934019e2};1194;NP-ROLL70-5000;231
{faa78fcf-f876-4761-8075-798994830a1a};{da301114-90f1-4c3c-968b-dfe4e20084a6};3097;NP-CZ;223
{faa78fcf-f876-4761-8075-798994830a1a};{03e22b0b-92ae-4720-aa83-3d7880718385};1182;NP-CZ;231
{60a11e55-c60c-4aad-a79f-146547cb0424};{89c131cd-4d46-4b2a-9ca7-2ca9b7658481};1180;NP-BAR22-3000;230
{7f2d66f9-44bd-4da0-a3f9-ec3db6a1282e};{bbe5dd89-405a-4ba5-b2a0-12ecb83fd2f9};3109;NP-ROLL70-5000;223
{13cd96a9-2485-4bac-a70c-90823c4a3d83};{d528664a-a37b-4eb2-b85e-270c395e6616};1650;NP-T;232
{c8a4eb66-f7a3-4d5a-b1a4-881215394c8e};{d5d4c075-050f-414d-8aab-fa53e3ca72fa};1675;NP-TF;232
#LEFTOVERS
{1450c3de-b93b-493c-a006-339c2e942641};selejt;0
{4594cb83-86aa-4458-a6c4-ab5c8ab1b265};selejt;0
{c3717a79-3a81-49eb-af9f-7d08761b2ae2};selejt;0
{c8e1c540-5246-43fe-a039-50d0928320c4};RST-J-515;754
{7c50081a-27b7-4ba5-9382-81a51714cdb5};RST-J-516;833
{3e0b3fb0-59ef-4d2e-a21e-b82522c0b227};RST-J-517;1104.6
{f02336c2-677b-4c8c-a967-92606195c506};selejt;149.8
{5b3dbf87-e091-4f2c-ae29-b382bc20af62};selejt;182.2
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};selejt;107.2
{befdc7dc-0231-40a6-a5cf-f576152fa395};RST-J-518;2051.4
{b9a1212f-1f1b-4ab4-b7e4-a36d875053fb};RST-J-519;4516.6
{632ce6e3-b851-40c4-98a9-1e5b32050cd0};RST-J-520;824
{faa78fcf-f876-4761-8075-798994830a1a};RST-J-521;2696.4
{60a11e55-c60c-4aad-a79f-146547cb0424};selejt;3
{7f2d66f9-44bd-4da0-a3f9-ec3db6a1282e};RST-J-522;1887
{13cd96a9-2485-4bac-a70c-90823c4a3d83};RST-J-523;4328.6
{c8a4eb66-f7a3-4d5a-b1a4-881215394c8e};RST-J-524;4303.6
