#VERSION 2
#CUTPLANS
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};5;K;3.2;KERF;{108d4a57-b0cf-4791-9671-c8406acf391a};305
{4943f130-7197-46ea-b609-a5b6b3b78d8b};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{4943f130-7197-46ea-b609-a5b6b3b78d8b};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{4943f130-7197-46ea-b609-a5b6b3b78d8b};2;P;2509;MAT-U-434;{e89af58d-3e8e-44de-96d7-d7b5f54890ab};304
{4943f130-7197-46ea-b609-a5b6b3b78d8b};3;K;2;KERF;{e89af58d-3e8e-44de-96d7-d7b5f54890ab};304
{4943f130-7197-46ea-b609-a5b6b3b78d8b};4;P;2609;MAT-U-435;{492f34cc-90b5-423a-bdfa-a38324073b2f};305
{4943f130-7197-46ea-b609-a5b6b3b78d8b};5;K;2;KERF;{492f34cc-90b5-423a-bdfa-a38324073b2f};305
{0fe91290-7b40-4bd0-8392-2ba361d79f39};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0fe91290-7b40-4bd0-8392-2ba361d79f39};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0fe91290-7b40-4bd0-8392-2ba361d79f39};2;P;1470;MAT-U-438;{1bb5fdfa-132f-4578-b816-d3b264e4bc12};301
{0fe91290-7b40-4bd0-8392-2ba361d79f39};3;K;3.2;KERF;{1bb5fdfa-132f-4578-b816-d3b264e4bc12};301
{78cbabd6-2cb9-41ce-995d-a50969db2eab};0;P;1967;MAT-U-440;{d0295389-05cd-4910-8fa3-575da8b68125};302
{78cbabd6-2cb9-41ce-995d-a50969db2eab};1;K;3.2;KERF;{d0295389-05cd-4910-8fa3-575da8b68125};302
{8a4fa4a8-d413-47db-a50b-6dc386011ea2};0;P;2267;MAT-U-442;{ce79c60b-dfd6-417c-b9f6-a53b64cfe504};304
{8a4fa4a8-d413-47db-a50b-6dc386011ea2};1;K;3.2;KERF;{ce79c60b-dfd6-417c-b9f6-a53b64cfe504};304
#PIECES
{69b24ca5-e86a-49b0-a869-7e9f884122fc};{50e543fb-a50e-4bc4-87e6-1fee55145dd3};1125;NP-BAR22-3000;301
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};{63b087dd-d111-44d0-b036-a480f635acf2};2060;NP-T-9010;302
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};{54064b99-ce98-4de3-83f0-f5dab87bcef0};2590;NP-T-9010;304
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};{d1dff97d-0c9d-4309-b3ff-dc597266d07c};2085;NP-TF-9010;302
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};{0113329e-4dfc-4230-b33d-be1274fa8b9c};2135;NP-TF-9010;303
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};{42ae6531-2263-47f7-b8d1-046703980200};2017;NP-CZ-9010;303
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};{ec13a2d4-a5e6-4f75-8934-1d8250d164a9};2597;NP-CZ-9010;305
{53aa666f-a6fa-4c2f-8f3b-1ddf01f97802};{7ae02bfe-1ada-4bc1-86bf-826d3f0b5c00};175;NP-BAR22-3000;301
{aa96e795-03cc-4b94-b44a-84d6126a403f};{c319656b-f88f-4c89-a362-28ef910a6748};2257;NP-CL2+CLT2+CLB2-9010;301
{aa96e795-03cc-4b94-b44a-84d6126a403f};{79e1d315-e544-42c6-b5e5-1e4ef272a27a};2257;NP-CL2+CLT2+CLB2-9010;302
{aa96e795-03cc-4b94-b44a-84d6126a403f};{81c5cd8f-07e6-49b9-bbd9-6c564b12e90f};2267;NP-CL2+CLT2+CLB2-9010;304
{02d8cd0e-f110-4c45-88f4-96eda4a70ad6};{ce60cbbb-76c5-4682-a627-0431eb40ea4e};1389;NP-ROLL70-5000;301
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};{1870e9eb-2542-4e78-ac3e-07337bd22196};2445;NP-BAR22-3000;304
