#VERSION 2
#CUTPLANS
{85179f60-6f56-4cf0-b27e-96a889407c47};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;38004896;;RSM-481;1720
{6d5289cd-ace2-4f36-9ce9-d971905a9564};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-785;2;;MAT-U-785;5000
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};2;NOT_STARTED;Rod-E;NP-TF;CM2;3.2;STOCK;MAT-U-788;2;;MAT-U-788;6000
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};3;NOT_STARTED;Rod-F;NP-T;CM2;3.2;STOCK;MAT-U-792;2;;MAT-U-792;6000
{1376c3c9-85a8-4c80-923a-6ea3df669345};4;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;2;;L=2990;2990
{afd9757e-8dec-413a-9442-10b3f5ee8962};5;NOT_STARTED;Rod-H;NP-SZ;CM2;3.2;STOCK;MAT-U-798;2;;MAT-U-798;6000
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};6;NOT_STARTED;Rod-J;NP-SL2;CM2;3.2;STOCK;MAT-U-802;2;;MAT-U-802;6000
{393cd10a-f15c-4d0f-9274-44fe2030201f};7;NOT_STARTED;Rod-K;NP-SL2;CM2;3.2;STOCK;MAT-U-805;2;;MAT-U-805;6000
{77768494-f636-48ce-9dc7-e38c11467f41};0;P;2997;MAT-U-822;{a9e81373-43dc-408f-9c9f-61c37ccfe8a6};311 1/2
{77768494-f636-48ce-9dc7-e38c11467f41};1;K;3.2;KERF;{a9e81373-43dc-408f-9c9f-61c37ccfe8a6};311 1/2
{4d5fa1af-f7d6-4a37-8ec2-e768411e69f9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4d5fa1af-f7d6-4a37-8ec2-e768411e69f9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4d5fa1af-f7d6-4a37-8ec2-e768411e69f9};2;P;2997;MAT-U-824;{47388759-ba21-4dd5-aa8e-cbe458f21147};311 2/2
{4d5fa1af-f7d6-4a37-8ec2-e768411e69f9};3;K;3.2;KERF;{47388759-ba21-4dd5-aa8e-cbe458f21147};311 2/2
{65270111-bbb3-4334-be11-ebbc337783fd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{65270111-bbb3-4334-be11-ebbc337783fd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{65270111-bbb3-4334-be11-ebbc337783fd};2;P;2145;MAT-U-827;{addba432-65eb-4566-8fb5-33fe9151e47c};326
{65270111-bbb3-4334-be11-ebbc337783fd};3;K;3.2;KERF;{addba432-65eb-4566-8fb5-33fe9151e47c};326
{65270111-bbb3-4334-be11-ebbc337783fd};4;P;2395;MAT-U-828;{86b775cf-5f0f-4133-b89b-7a481cbdc29a};327
{65270111-bbb3-4334-be11-ebbc337783fd};5;K;3.2;KERF;{86b775cf-5f0f-4133-b89b-7a481cbdc29a};327
{5cbce515-c81e-4542-b0e6-feff3721b806};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5cbce515-c81e-4542-b0e6-feff3721b806};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5cbce515-c81e-4542-b0e6-feff3721b806};2;P;2075;MAT-U-831;{a420bb75-7810-44df-95ee-6e7667d2af9c};326
{5cbce515-c81e-4542-b0e6-feff3721b806};3;K;3.2;KERF;{a420bb75-7810-44df-95ee-6e7667d2af9c};326
{5cbce515-c81e-4542-b0e6-feff3721b806};4;P;2325;MAT-U-832;{d64e3fe2-de50-4bbc-bbd6-89be62a078a1};327
{5cbce515-c81e-4542-b0e6-feff3721b806};5;K;3.2;KERF;{d64e3fe2-de50-4bbc-bbd6-89be62a078a1};327
{8ea10fc7-000e-49d3-b505-4b6e8f2c5813};0;P;2845;MAT-U-834;{9205c45b-5d2f-40f8-9be4-a3cdb9faec82};311 1/2
{8ea10fc7-000e-49d3-b505-4b6e8f2c5813};1;K;3.2;KERF;{9205c45b-5d2f-40f8-9be4-a3cdb9faec82};311 1/2
{2563cbd4-6496-4fb2-962c-b6fc421f3783};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{2563cbd4-6496-4fb2-962c-b6fc421f3783};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{2563cbd4-6496-4fb2-962c-b6fc421f3783};2;P;2675;MAT-U-837;{4c92fbed-427c-4854-9434-e44d2eaf9e82};311 1/2
{2563cbd4-6496-4fb2-962c-b6fc421f3783};3;K;2;KERF;{4c92fbed-427c-4854-9434-e44d2eaf9e82};311 1/2
{2563cbd4-6496-4fb2-962c-b6fc421f3783};4;P;2675;MAT-U-838;{f44fd9b0-92ba-47f7-889d-eaa06581d8e2};311 2/2
{2563cbd4-6496-4fb2-962c-b6fc421f3783};5;K;2;KERF;{f44fd9b0-92ba-47f7-889d-eaa06581d8e2};311 2/2
{22008e87-7a1e-4072-aac9-4b71dffb5ac7};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{22008e87-7a1e-4072-aac9-4b71dffb5ac7};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{22008e87-7a1e-4072-aac9-4b71dffb5ac7};2;P;2780;MAT-U-841;{dbd6f0b6-dfdc-490e-93ca-ce329e15a22a};325 2/2
{22008e87-7a1e-4072-aac9-4b71dffb5ac7};3;K;2;KERF;{dbd6f0b6-dfdc-490e-93ca-ce329e15a22a};325 2/2
{c933c5fe-2265-42b3-bee3-0b27c083297d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c933c5fe-2265-42b3-bee3-0b27c083297d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c933c5fe-2265-42b3-bee3-0b27c083297d};2;P;2820;MAT-U-844;{43e7e0f0-c100-423e-9c4d-1c628adbf22c};311 1/2
{c933c5fe-2265-42b3-bee3-0b27c083297d};3;K;3.2;KERF;{43e7e0f0-c100-423e-9c4d-1c628adbf22c};311 1/2
{c933c5fe-2265-42b3-bee3-0b27c083297d};4;P;2820;MAT-U-845;{710a9718-7502-4bbc-bba8-efa1e2c0976d};311 2/2
{c933c5fe-2265-42b3-bee3-0b27c083297d};5;K;3.2;KERF;{710a9718-7502-4bbc-bba8-efa1e2c0976d};311 2/2
{fe770c9f-0a5d-436f-a6dd-80239eea2963};0;P;2727;MAT-U-847;{d237146f-f8a7-4673-a790-1cb8ae0bf910};311 1/2
{fe770c9f-0a5d-436f-a6dd-80239eea2963};1;K;3.2;KERF;{d237146f-f8a7-4673-a790-1cb8ae0bf910};311 1/2
{38b5e7dd-5c1b-4e70-b1cc-7c14e5b009c3};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{38b5e7dd-5c1b-4e70-b1cc-7c14e5b009c3};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{38b5e7dd-5c1b-4e70-b1cc-7c14e5b009c3};2;P;2356;MAT-U-850;{f6278a2c-7c64-4684-820c-8703f8372c18};327
{38b5e7dd-5c1b-4e70-b1cc-7c14e5b009c3};3;K;2;KERF;{f6278a2c-7c64-4684-820c-8703f8372c18};327
{97d44543-40e2-47fd-a5a7-f537e86347b8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{97d44543-40e2-47fd-a5a7-f537e86347b8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{97d44543-40e2-47fd-a5a7-f537e86347b8};2;P;2845;MAT-U-853;{4da679eb-1081-495a-a606-b42d708ba2fc};311 2/2
{97d44543-40e2-47fd-a5a7-f537e86347b8};3;K;3.2;KERF;{4da679eb-1081-495a-a606-b42d708ba2fc};311 2/2
