#VERSION 2
#CUTPLANS
{f8876efc-41a4-4012-a867-7fbaebbf0aa7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f8876efc-41a4-4012-a867-7fbaebbf0aa7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f8876efc-41a4-4012-a867-7fbaebbf0aa7};2;P;3845;MAT-N-167;{ebcdbcef-3607-476b-855c-18a588ac2953};127
{f8876efc-41a4-4012-a867-7fbaebbf0aa7};3;K;3.2;KERF;{ebcdbcef-3607-476b-855c-18a588ac2953};127
{7012afec-3bf4-4ddd-be58-ddde01ca3a80};0;P;2497;MAT-N-169;{bd98d1cb-c770-4e1b-94da-e7f840ce206f};127
{7012afec-3bf4-4ddd-be58-ddde01ca3a80};1;K;3.2;KERF;{bd98d1cb-c770-4e1b-94da-e7f840ce206f};127
{c558f981-f606-45ef-9b33-d6a45637e536};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c558f981-f606-45ef-9b33-d6a45637e536};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c558f981-f606-45ef-9b33-d6a45637e536};2;P;3820;MAT-N-172;{12701461-e0d0-4a06-a429-0a4ee455bb90};127
{c558f981-f606-45ef-9b33-d6a45637e536};3;K;3.2;KERF;{12701461-e0d0-4a06-a429-0a4ee455bb90};127
{96e343bf-0d25-4f39-804d-a2a9301589f3};0;P;2448;MAT-N-174;{6871ebe6-bfa8-4dfe-b961-e5f9af11a19b};133
{96e343bf-0d25-4f39-804d-a2a9301589f3};1;K;3.2;KERF;{6871ebe6-bfa8-4dfe-b961-e5f9af11a19b};133
{67d219a5-fa92-4922-a997-12ec455d12e9};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{67d219a5-fa92-4922-a997-12ec455d12e9};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{67d219a5-fa92-4922-a997-12ec455d12e9};2;P;3739;MAT-N-177;{b8c7370a-52b2-4643-87c6-74a83eb507a0};139
{67d219a5-fa92-4922-a997-12ec455d12e9};3;K;2;KERF;{b8c7370a-52b2-4643-87c6-74a83eb507a0};139
{4d7438e7-226e-497d-b5e9-6d74f47b335f};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{4d7438e7-226e-497d-b5e9-6d74f47b335f};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{4d7438e7-226e-497d-b5e9-6d74f47b335f};2;P;3675;MAT-N-180;{c84eb836-5887-4f6d-ad0d-7c7acee19ead};139
{4d7438e7-226e-497d-b5e9-6d74f47b335f};3;K;2;KERF;{c84eb836-5887-4f6d-ad0d-7c7acee19ead};139
