#VERSION 2
#CUTPLANS
{92afa54c-12af-4a9b-879a-9941c0b69739};3;K;3.2;KERF;{b6379d4f-979b-401a-a765-ad96f463c8e2};232
{76173041-e88e-4df3-93a5-7733e80432c4};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{76173041-e88e-4df3-93a5-7733e80432c4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{76173041-e88e-4df3-93a5-7733e80432c4};2;P;2462;MAT-CM-616;{e0e4cfb0-182c-4874-a6f4-27880263d174};230
{76173041-e88e-4df3-93a5-7733e80432c4};3;K;3.2;KERF;{e0e4cfb0-182c-4874-a6f4-27880263d174};230
{76173041-e88e-4df3-93a5-7733e80432c4};4;P;2462;MAT-CM-617;{6a78ac3e-890e-448e-a4c0-c960d613c871};231
{76173041-e88e-4df3-93a5-7733e80432c4};5;K;3.2;KERF;{6a78ac3e-890e-448e-a4c0-c960d613c871};231
{b212db96-0a2d-4048-a7d5-8df7421178b9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b212db96-0a2d-4048-a7d5-8df7421178b9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b212db96-0a2d-4048-a7d5-8df7421178b9};2;P;2462;MAT-CM-620;{e6e633c9-6b0e-43b4-a86d-5bf1c5486a5e};230
{b212db96-0a2d-4048-a7d5-8df7421178b9};3;K;3.2;KERF;{e6e633c9-6b0e-43b4-a86d-5bf1c5486a5e};230
{b212db96-0a2d-4048-a7d5-8df7421178b9};4;P;2462;MAT-CM-621;{027f8268-9890-4cf5-a401-eb00b7e33ff5};231
{b212db96-0a2d-4048-a7d5-8df7421178b9};5;K;3.2;KERF;{027f8268-9890-4cf5-a401-eb00b7e33ff5};231
{01a8ca7c-9c27-4a86-8e49-ca85639a667d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{01a8ca7c-9c27-4a86-8e49-ca85639a667d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{01a8ca7c-9c27-4a86-8e49-ca85639a667d};2;P;2462;MAT-CM-623;{b194037b-b7e7-423f-a27f-565a9ab9a92d};232
