#VERSION 2
#CUTPLANS
{922ed33a-3d8d-42eb-a911-d5b075f94cd8};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;73159184;;RSM-481;1720
{0531e03b-de82-40e4-93ad-7eab2a58feab};{a7dd55a8-066e-49aa-bf00-1c883364ca93};2825;NP-SZ;325 2/2
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};{c0f608bd-1166-4e9d-b632-ed7c72854031};2895;NP-T;325 1/2
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};{75391abe-8c50-4fe5-bfce-68d32f308000};2895;NP-T;325 2/2
{f2869bd7-57ed-45db-901e-1e971e51222a};{78ae784f-f99d-469c-94b9-757bda955db4};2780;NP-BAR12-4000;325 1/2
{a8d3514d-6ea8-4c78-807a-68f60ec32d48};{6e6cd9ae-3a2f-4ecb-b498-d57fe2734c63};2735;NP-ROLL70-5000;311 1/2
{8af634f7-5754-40b5-8733-063db35434cd};{07629f97-36f6-42a4-9051-592a808b6920};2780;NP-BAR12-4000;325 2/2
{ab8b1293-01af-4d1c-bda7-43264c1b2829};{fd7f0139-d692-4b13-be54-240e6027f537};2735;NP-ROLL70-5000;311 2/2
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};{b78f9d02-88e3-412e-8a54-f942c7bbaed2};2675;NP-BAR22-3000;311 1/2
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};{b74fd926-2f15-4fee-8cd8-fcc7012d0204};2675;NP-BAR22-3000;311 2/2
{94a1663f-7118-4375-84ff-92af81a504ed};{c70a43e9-46b7-46f6-a696-7e0f52dcacc3};2727;NP-CZ-9010;311 1/2
{d1dd7a07-8c48-4333-973e-189c862c3a9c};{114f5c4e-a8d2-4e67-98f3-58b9bdc9c650};2145;NP-TF;326
{d1dd7a07-8c48-4333-973e-189c862c3a9c};{4dc34bd7-c90d-4ce2-99ce-f5105d8de534};2395;NP-TF;327
{6c8aed13-1f21-4366-ac35-188d2b135c71};{37954be6-9c76-4f65-99d1-f5d395710271};2845;NP-TF-9010;311 1/2
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};{17d64b76-70b2-4327-84ee-1c0a85295752};2075;NP-SZ;326
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};{08e5561f-c67b-4f85-b6f9-4ac9f0fd9b7b};2325;NP-SZ;327
{d0e391ea-f559-4920-b209-193e1ed045f9};{b864b9f2-4be1-4c69-94a3-2d83848b9955};2820;NP-T-9010;311 1/2
{d0e391ea-f559-4920-b209-193e1ed045f9};{19430437-9ba2-4668-85f0-3882194a6a74};2820;NP-T-9010;311 2/2
{e2c99945-0c1e-4435-bb03-3af545ccf141};{83b6a59e-f14d-4110-8c2d-9c378e3cdb97};2145;NP-T;326
{e2c99945-0c1e-4435-bb03-3af545ccf141};{9aac2fe3-73ac-4e0d-883b-cb480ee5097f};2395;NP-T;327
{27534e74-8b85-4d4e-8ce6-20aad1d6be2a};{ee4161b7-49cd-4730-b289-2f4af5e55347};2997;NP-CL2+CLT2+CLB2-9010;311 1/2
{1f7195ae-a093-4303-86c5-9595300acbe5};{a40c1104-5912-41e7-a49a-7891000a06ce};2997;NP-CL2+CLT2+CLB2-9010;311 2/2
{fdebec46-3d5c-4222-a30d-a72b1951f88e};{3c8f9bbb-67ea-4fde-8f67-ea03d6402331};2280;NP-BAR12-4000;327
{b30ef705-4941-44bd-b805-226f01d2b340};{70c32b0f-dfb1-4562-8662-687595160e2d};2356;NP-ROLL70-5000;327
{0e79cf81-fbc8-4f7f-99c0-91b516d04949};{ae719c3d-620c-453b-b419-03ce35c07924};2727;NP-CZ-9010;311 2/2
{2857541f-63cf-439f-8dee-6c771ef67c3c};{96ff5c10-a149-458e-bb56-25631e07e463};2845;NP-TF-9010;311 2/2
#LEFTOVERS
{922ed33a-3d8d-42eb-a911-d5b075f94cd8};selejt;0
{e2208caa-5b67-446c-801a-f5c5fc925b84};selejt;32
{bd3c8743-6cb4-4fae-9b87-923d0735ea37};RST-C-632;803
{4ff4ddc2-a7c3-4c96-8bd0-218113029a35};selejt;132
{54fd5947-5f03-4f84-bc48-f16097177996};RST-C-633;1879.4
{675229d4-8cac-4bad-a215-1643de18fdff};RST-C-634;1879.4
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};selejt;185.4
{0531e03b-de82-40e4-93ad-7eab2a58feab};selejt;325.4
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};selejt;185.4
{f2869bd7-57ed-45db-901e-1e971e51222a};RST-C-635;1216
{a8d3514d-6ea8-4c78-807a-68f60ec32d48};RST-C-636;2261
{8af634f7-5754-40b5-8733-063db35434cd};RST-C-637;1216
{ab8b1293-01af-4d1c-bda7-43264c1b2829};RST-C-638;2261
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};RST-C-639;794
{94a1663f-7118-4375-84ff-92af81a504ed};RST-C-640;1744.8
{d1dd7a07-8c48-4333-973e-189c862c3a9c};RST-C-641;1435.4
{6c8aed13-1f21-4366-ac35-188d2b135c71};selejt;401.8
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};RST-C-642;1575.4
{d0e391ea-f559-4920-b209-193e1ed045f9};selejt;335.4
{e2c99945-0c1e-4435-bb03-3af545ccf141};RST-C-643;1435.4
{27534e74-8b85-4d4e-8ce6-20aad1d6be2a};RST-C-644;1599.8
{1f7195ae-a093-4303-86c5-9595300acbe5};RST-C-645;3981.6
{fdebec46-3d5c-4222-a30d-a72b1951f88e};RST-C-646;1716
{b30ef705-4941-44bd-b805-226f01d2b340};RST-C-647;2640
{0e79cf81-fbc8-4f7f-99c0-91b516d04949};RST-C-648;4251.6
{2857541f-63cf-439f-8dee-6c771ef67c3c};selejt;501.8
