#VERSION 2
#CUTPLANS
{b47d219f-6f21-449d-9905-7479eb457da5};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;47387712;;RSM-481;1720
{f62f3f25-f837-43c3-b929-fe875de79996};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-709;1;;MAT-U-709;5000
{70d0da7c-fd4d-4e34-9568-2803d04075b8};2;NOT_STARTED;Rod-E;NP-TF;CM2;3.2;STOCK;MAT-U-712;1;;MAT-U-712;6000
{d719a828-da6d-4080-a44b-4d303bb8b1af};3;NOT_STARTED;Rod-F;NP-T;CM2;3.2;STOCK;MAT-U-716;1;;MAT-U-716;6000
{5eee5ff7-3af5-4ce1-bef8-47bd1b7c4af1};4;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;1;;L=2990;2990
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};5;NOT_STARTED;Rod-H;NP-SZ;CM2;3.2;STOCK;MAT-U-722;1;;MAT-U-722;6000
{ef947eea-67f4-4f6d-891d-40de9a430efa};3;K;2;KERF;{3f947972-511f-4cd5-aea1-8d84c32eb957};311 1/2
{ef947eea-67f4-4f6d-891d-40de9a430efa};4;P;2735;MAT-U-737;{e2f3956d-779d-48b3-8217-8c07526d6bd4};311 2/2
{ef947eea-67f4-4f6d-891d-40de9a430efa};5;K;2;KERF;{e2f3956d-779d-48b3-8217-8c07526d6bd4};311 2/2
{863efc35-100c-40d5-b427-ebf784aca5dd};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{863efc35-100c-40d5-b427-ebf784aca5dd};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{863efc35-100c-40d5-b427-ebf784aca5dd};2;P;2780;MAT-U-740;{c26ec1b3-1d76-48ad-98cb-eaa4c88c7d8a};325 1/2
{863efc35-100c-40d5-b427-ebf784aca5dd};3;K;2;KERF;{c26ec1b3-1d76-48ad-98cb-eaa4c88c7d8a};325 1/2
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};2;P;2145;MAT-U-743;{4ec1bba6-2850-460b-959d-178beb76c134};326
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};3;K;3.2;KERF;{4ec1bba6-2850-460b-959d-178beb76c134};326
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};4;P;2395;MAT-U-744;{98506c37-1a61-4677-bbc1-d51cd450e679};327
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};5;K;3.2;KERF;{98506c37-1a61-4677-bbc1-d51cd450e679};327
{6a9ecae5-076f-4c5a-82b7-f125c64de587};0;P;2997;MAT-U-746;{c8b93803-61b8-4c42-98c8-0ad0f8f483ef};311 1/2
