#VERSION 2
#CUTPLANS
{d0c5947f-752f-4967-8aba-2841c7ffcee9};1;K;3.2;KERF;{00873b14-a86d-4908-ab7c-7b41c4310544};304
#PIECES
{ec5e16fd-d7a4-46ae-97eb-1dfd1289ad2e};{8c36a6a7-0164-469d-af70-84bfe3734248};1125;NP-BAR22-3000;301
{50e39999-83e7-4093-974f-409c8ad4701e};{ca086487-fbc7-4231-988e-083c68add03a};1470;NP-T-9010;301
{50e39999-83e7-4093-974f-409c8ad4701e};{58469723-9b37-488a-a246-98ced2d24cbb};2060;NP-T-9010;302
{50e39999-83e7-4093-974f-409c8ad4701e};{6a392269-80ad-4120-bfdf-3b1ae9bcc2fc};2110;NP-T-9010;303
{96328dfa-7274-43c2-8800-7199036d7fce};{7a81f402-d07a-414a-a644-9752e6c7a25f};2715;NP-TF-9010;305
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};{850251ee-5bb0-436d-83a2-5d6c5c13604e};1967;NP-CZ-9010;302
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};{f830183e-45cb-45c4-85c8-53652bd9361d};2017;NP-CZ-9010;303
{6f8be961-7a36-4aba-85de-07344fa5749d};{fd4f9d05-0f1c-44a6-afab-df9548f0bc17};175;NP-BAR22-3000;301
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};{4057d5e6-aa0e-4a7d-8e8d-14b5129cfd5a};2257;NP-CL2+CLT2+CLB2-9010;301
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};{ad77a038-3e42-4a71-a9bb-512f635bf317};2257;NP-CL2+CLT2+CLB2-9010;302
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};{eb90eb82-1cf5-4062-aa91-5f7f946ec216};2267;NP-CL2+CLT2+CLB2-9010;304
{5ec0dad8-2db3-4b69-9b93-aa911c51399b};{309225a9-e4b2-47ad-b9e1-36f9b96e2673};1389;NP-ROLL70-5000;301
{d8a533fa-02d1-4406-9e9d-1f0799d10265};{99c031b9-7b44-41ea-9316-bc24738c503f};1495;NP-TF-9010;301
{d8a533fa-02d1-4406-9e9d-1f0799d10265};{3d154cb9-9f6b-466d-961f-4ad8c8c0c596};2085;NP-TF-9010;302
{d8a533fa-02d1-4406-9e9d-1f0799d10265};{0b658063-df32-4d7a-a829-d5a2752edb7c};2135;NP-TF-9010;303
{893c2403-08d8-48ec-8aeb-ec2d024ef788};{d7c7aafb-c8ed-4d72-b45f-8ee0ea63d5b9};2445;NP-BAR22-3000;304
{893c2403-08d8-48ec-8aeb-ec2d024ef788};{62e1737c-82d0-47dc-91f0-6684b819fdb3};2545;NP-BAR22-3000;305
{0d2bd0af-097d-4032-836f-4d64fab54e36};{a1c4d0fe-0e20-4b5c-a5bd-4f30436b17b1};2029;NP-ROLL70-5000;303
{15803bdf-15e6-4efd-b919-6ed5428c6f60};{f337cc7e-3c3a-4a75-a7a2-10874cef5295};2597;NP-CZ-9010;305
{ddc6de7a-adbc-4331-aa7d-858e2eb95ece};{2903bc14-3c9d-4df9-8342-c953774e7ebf};1979;NP-ROLL70-5000;302
{f32cb381-91c4-48c8-af2a-afc9959ba37b};{5851dfc1-9daa-410e-9ee6-6ee1a5cfff67};2590;NP-T-9010;304
{f32cb381-91c4-48c8-af2a-afc9959ba37b};{95bc8134-b42e-4ae5-8fcc-f3b17f66e636};2690;NP-T-9010;305
{8ff4dce0-b385-4056-a60d-e87aad79197c};{483c0f60-b2b7-41bf-ad0b-e3110cd4dd6c};1377;NP-CZ-9010;301
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};{c4cb92cf-f73a-48e4-aa10-d72cb101f910};1915;NP-BAR22-3000;302
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};{cfc7c879-c7fb-48ca-b216-6b102eb3e512};1965;NP-BAR22-3000;303
