#VERSION 2
#CUTPLANS
{da0aab4d-1ff6-47e5-9f7f-e7055df6b9e7};5;K;3.2;KERF;{29fcc289-90fc-46b8-bed6-2a5b8b929c4c};231
{0c97cfdf-f9fa-4ccc-a2a9-a79057b4b694};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0c97cfdf-f9fa-4ccc-a2a9-a79057b4b694};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0c97cfdf-f9fa-4ccc-a2a9-a79057b4b694};2;P;1675;MAT-CN-868;{7552068e-9b4d-480c-8a7d-e40284382dae};232
{0c97cfdf-f9fa-4ccc-a2a9-a79057b4b694};3;K;3.2;KERF;{7552068e-9b4d-480c-8a7d-e40284382dae};232
{08478dd2-d096-48fc-960c-ab97d51b3d32};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{08478dd2-d096-48fc-960c-ab97d51b3d32};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{08478dd2-d096-48fc-960c-ab97d51b3d32};2;P;3109;MAT-CN-871;{4ba47c63-457e-4537-8ce6-f4fa15baf6e7};223
{08478dd2-d096-48fc-960c-ab97d51b3d32};3;K;2;KERF;{4ba47c63-457e-4537-8ce6-f4fa15baf6e7};223
{e009beb2-74a8-494c-bb03-fd36b4c6f3c9};0;P;1180;MAT-CN-873;{6e59f980-d113-4d3b-adbb-d986ed39fd3c};230
{e009beb2-74a8-494c-bb03-fd36b4c6f3c9};1;K;2;KERF;{6e59f980-d113-4d3b-adbb-d986ed39fd3c};230
{70343482-a032-48d5-bb00-0a2485abb578};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{70343482-a032-48d5-bb00-0a2485abb578};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{70343482-a032-48d5-bb00-0a2485abb578};2;P;1650;MAT-CN-876;{2d7c26a7-b097-4fcc-8e45-6b3c42afc01f};232
{70343482-a032-48d5-bb00-0a2485abb578};3;K;3.2;KERF;{2d7c26a7-b097-4fcc-8e45-6b3c42afc01f};232
#PIECES
{ca7ad8d3-3192-4e5d-beeb-03fec84ce967};{f3c0c9fa-7d36-4045-9d51-986efdca719e};3000;NP-BAR22-3000;223
{badab945-3d36-4b7a-a001-d886e1f8d8dd};{9b4b0795-c484-460b-9f05-64ecb127b366};1000;NP-BAR22-3000;231
{242d8ae2-2ecb-48df-9454-bede86975369};{3a509230-d9ad-4e6d-9fbf-4d9b425ed10b};1330;NP-BAR22-3000;232
{c7c32d98-abf5-47e6-b713-5b566bf21a8a};{e9308858-9a7d-4b84-9a74-627496540f0e};1647;NP-CL2+CLT2+CLB2;223
{b7ea6857-708f-4dbc-9785-3fb46c482e22};{c156db0a-5737-4b75-9353-b206c1f378b9};3215;NP-TF;223
{b7ea6857-708f-4dbc-9785-3fb46c482e22};{70b19d1e-2d4a-4fda-9068-30f2274fc3b4};1350;NP-TF;230
{b7ea6857-708f-4dbc-9785-3fb46c482e22};{db1d7bd3-b2aa-49a2-aa30-e6e3e59854c2};1300;NP-TF;231
{b5176c20-4ce7-4a27-b47b-a2d11cf8e95f};{73f92a86-20d4-4708-adca-e316b5380ffe};1244;NP-ROLL70-5000;230
{b5176c20-4ce7-4a27-b47b-a2d11cf8e95f};{037dd744-583e-4e39-a3af-86ae289b95e8};1569;NP-ROLL70-5000;232
{0a00cc78-c1bc-4e90-8091-ad12301352c4};{dc136639-6972-4ec0-b003-653b3b56fe46};45;NP-BAR22-3000;223
{0a00cc78-c1bc-4e90-8091-ad12301352c4};{7d3866c4-93c7-43d4-b327-79b38039bd49};100;NP-BAR22-3000;231
{0a00cc78-c1bc-4e90-8091-ad12301352c4};{3740069c-2e72-4ae4-b990-2efa78e06774};145;NP-BAR22-3000;232
{f36282a8-c687-4c0e-8b1f-be6d2d98d1ad};{e79cb3be-4b2a-4a72-9ad5-0ebdd27f4724};1232;NP-CZ;230
