#VERSION 2
#CUTPLANS
{99358698-533f-44ec-96b7-63d6a78a401b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{99358698-533f-44ec-96b7-63d6a78a401b};2;P;2462;MAT-CP-159;{0a0611f4-9249-43a7-ae85-7d42c6d6be88};232
{99358698-533f-44ec-96b7-63d6a78a401b};3;K;3.2;KERF;{0a0611f4-9249-43a7-ae85-7d42c6d6be88};232
{70bfd640-c662-4ddd-b917-d1c02f3021f4};0;P;1194;MAT-CP-161;{b4543bd1-9500-4a3f-a3c9-10a22d11be11};231
{70bfd640-c662-4ddd-b917-d1c02f3021f4};1;K;2;KERF;{b4543bd1-9500-4a3f-a3c9-10a22d11be11};231
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};2;P;3097;MAT-CP-164;{03a4ca72-44fc-4387-9155-fabe172ed401};223
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};3;K;3.2;KERF;{03a4ca72-44fc-4387-9155-fabe172ed401};223
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};4;P;1182;MAT-CP-165;{3fc77c21-15b3-4de6-a91a-fbf03717d6fe};231
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};5;K;3.2;KERF;{3fc77c21-15b3-4de6-a91a-fbf03717d6fe};231
{5f3f9e05-33c7-4ae6-abe6-ec27136e717d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{5f3f9e05-33c7-4ae6-abe6-ec27136e717d};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{5f3f9e05-33c7-4ae6-abe6-ec27136e717d};2;P;3109;MAT-CP-168;{27fd1095-ab55-4665-b745-16526470a0f7};223
{5f3f9e05-33c7-4ae6-abe6-ec27136e717d};3;K;2;KERF;{27fd1095-ab55-4665-b745-16526470a0f7};223
{5f540373-263c-4064-a7d1-0f579d6d7a00};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5f540373-263c-4064-a7d1-0f579d6d7a00};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5f540373-263c-4064-a7d1-0f579d6d7a00};2;P;1675;MAT-CP-171;{18dc2928-07ad-44ce-9584-1da584f4d836};232
{5f540373-263c-4064-a7d1-0f579d6d7a00};3;K;3.2;KERF;{18dc2928-07ad-44ce-9584-1da584f4d836};232
{30e590af-527d-471f-9346-9b7284868fd7};0;P;1180;MAT-CP-173;{4420d799-fc6e-4f6f-8017-c02fc8edabb9};230
{30e590af-527d-471f-9346-9b7284868fd7};1;K;2;KERF;{4420d799-fc6e-4f6f-8017-c02fc8edabb9};230
{60b5164a-8406-421f-8b1c-fcf1ae3cc351};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{60b5164a-8406-421f-8b1c-fcf1ae3cc351};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{60b5164a-8406-421f-8b1c-fcf1ae3cc351};2;P;1650;MAT-CP-176;{192bdf6b-92b4-4a65-99cc-161ffa49f542};232
{60b5164a-8406-421f-8b1c-fcf1ae3cc351};3;K;3.2;KERF;{192bdf6b-92b4-4a65-99cc-161ffa49f542};232
#PIECES
{7164760c-bd27-4c3d-9a5b-1a20dd317c5d};{4caf1358-f181-43e4-abc7-a0252edfa07a};3000;NP-BAR22-3000;223
{9d62dd88-fa6e-49b0-a664-e36c25fe8884};{f76745c5-a53d-4e1a-8bd1-7b44d7883f8f};1000;NP-BAR22-3000;231
{b72fbf88-1ba6-485f-8216-afcdd30794ed};{3067ff53-a4a3-43b9-aaf7-4292aabf089e};1330;NP-BAR22-3000;232
{de09bc5f-61d8-4040-996a-8f63616a005a};{9c8caccf-ee01-4f17-9a89-ca0a3af031f7};1244;NP-ROLL70-5000;230
{de09bc5f-61d8-4040-996a-8f63616a005a};{21fd1686-1b1a-403b-b454-8104b7aa309a};1569;NP-ROLL70-5000;232
{32e7f864-9728-4ef3-9801-408b46241aa8};{41e6e7fb-b681-4479-9c46-43cf2db1c73a};3215;NP-TF;223
{32e7f864-9728-4ef3-9801-408b46241aa8};{965a0507-a3f8-48ff-bafb-1327d22fb84a};1350;NP-TF;230
{32e7f864-9728-4ef3-9801-408b46241aa8};{e541564e-149e-452e-8ce7-c40c43a2991f};1300;NP-TF;231
{333c6f46-2fdd-44df-9721-ce33928b8679};{b7c03784-7e46-4cb9-bb4a-c50e8013c1c5};45;NP-BAR22-3000;223
{333c6f46-2fdd-44df-9721-ce33928b8679};{f49499d7-01cd-4cdb-9433-e0ff454048c6};100;NP-BAR22-3000;231
{333c6f46-2fdd-44df-9721-ce33928b8679};{e0678ba8-87ef-49e3-b779-339650c8a76f};145;NP-BAR22-3000;232
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};{952227b8-d8fc-474d-bb75-54cd81eec870};3190;NP-T;223
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};{38a78bf4-42c4-4347-afc9-2bf123886cb4};1325;NP-T;230
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};{932794b7-ffe0-44ea-af7e-9aea332436a5};1275;NP-T;231
{56b67d9e-88ba-4978-89aa-2b099c97ac9e};{b1059085-4400-40e1-a10c-f1de2491ac56};1232;NP-CZ;230
{56b67d9e-88ba-4978-89aa-2b099c97ac9e};{25ce9f35-c162-4f9c-9c67-a169fb301c06};1557;NP-CZ;232
{da601da0-8b12-416a-8447-3b0617fd92e5};{07576a04-bd3f-48af-8292-09443bf5557c};1647;NP-CL2+CLT2+CLB2;223
{7a600289-f767-43c5-8610-a89f14d90181};{eb337404-69b2-4635-a307-a64d40b46d2f};2462;NP-CL2+CLT2+CLB2;230
{7a600289-f767-43c5-8610-a89f14d90181};{3e707cc6-299b-4c43-afe2-0d2a11f6a813};2462;NP-CL2+CLT2+CLB2;231
{99358698-533f-44ec-96b7-63d6a78a401b};{0a0611f4-9249-43a7-ae85-7d42c6d6be88};2462;NP-CL2+CLT2+CLB2;232
{70bfd640-c662-4ddd-b917-d1c02f3021f4};{b4543bd1-9500-4a3f-a3c9-10a22d11be11};1194;NP-ROLL70-5000;231
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};{03a4ca72-44fc-4387-9155-fabe172ed401};3097;NP-CZ;223
{13217d78-ac36-49dc-9e9a-b4ac9bfd0018};{3fc77c21-15b3-4de6-a91a-fbf03717d6fe};1182;NP-CZ;231
