#VERSION 2
#CUTPLANS
{2eccabdf-64ff-4ba9-866c-612804ab5b21};4;P;2462;MAT-CP-257;{8a300a00-8b73-4f22-8d7c-c2c761b985e0};231
{2eccabdf-64ff-4ba9-866c-612804ab5b21};5;K;3.2;KERF;{8a300a00-8b73-4f22-8d7c-c2c761b985e0};231
{4bda1c4f-f32b-450f-b7db-661de1514b3e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4bda1c4f-f32b-450f-b7db-661de1514b3e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4bda1c4f-f32b-450f-b7db-661de1514b3e};2;P;2462;MAT-CP-259;{ad604599-0a8f-44f8-9e3e-ab9a2de2f46a};232
{4bda1c4f-f32b-450f-b7db-661de1514b3e};3;K;3.2;KERF;{ad604599-0a8f-44f8-9e3e-ab9a2de2f46a};232
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};2;P;3097;MAT-CP-262;{d0431f68-f6a1-456e-a2c8-6f8345824e7f};223
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};3;K;3.2;KERF;{d0431f68-f6a1-456e-a2c8-6f8345824e7f};223
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};4;P;1182;MAT-CP-263;{a18f8d02-c9f8-4ac3-8b6c-5bd5ff2c4387};231
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};5;K;3.2;KERF;{a18f8d02-c9f8-4ac3-8b6c-5bd5ff2c4387};231
{7efbd952-1fbb-48fe-809d-9548db3e16de};0;P;1194;MAT-CP-265;{9fab4be0-d6df-4dbb-8e6c-3d100296b01f};231
{7efbd952-1fbb-48fe-809d-9548db3e16de};1;K;2;KERF;{9fab4be0-d6df-4dbb-8e6c-3d100296b01f};231
{2e11d7cd-7665-4294-b7b8-00c956d7a452};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2e11d7cd-7665-4294-b7b8-00c956d7a452};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2e11d7cd-7665-4294-b7b8-00c956d7a452};2;P;1650;MAT-CP-268;{4744865f-e332-4db2-8602-c7fa61bee758};232
{2e11d7cd-7665-4294-b7b8-00c956d7a452};3;K;3.2;KERF;{4744865f-e332-4db2-8602-c7fa61bee758};232
{b0e29540-32fc-47f5-b332-22a5025d93b3};0;P;1180;MAT-CP-270;{195b5455-2893-4a7b-9d5e-e9eb6077c8f4};230
{b0e29540-32fc-47f5-b332-22a5025d93b3};1;K;2;KERF;{195b5455-2893-4a7b-9d5e-e9eb6077c8f4};230
{97d49ece-6fc0-45ad-bfcd-b8fb5ce44294};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{97d49ece-6fc0-45ad-bfcd-b8fb5ce44294};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{97d49ece-6fc0-45ad-bfcd-b8fb5ce44294};2;P;3109;MAT-CP-273;{2af2faec-a589-4a1b-a2da-abe50c9e59a9};223
{97d49ece-6fc0-45ad-bfcd-b8fb5ce44294};3;K;2;KERF;{2af2faec-a589-4a1b-a2da-abe50c9e59a9};223
{21b2475a-5e4c-45b3-9297-4f4282f7f664};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{21b2475a-5e4c-45b3-9297-4f4282f7f664};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{21b2475a-5e4c-45b3-9297-4f4282f7f664};2;P;1675;MAT-CP-276;{a72ee959-3f0c-4782-8168-af565cbec306};232
{21b2475a-5e4c-45b3-9297-4f4282f7f664};3;K;3.2;KERF;{a72ee959-3f0c-4782-8168-af565cbec306};232
#PIECES
{7b69fe30-b521-410f-9e97-6fb37358b948};{d719d74f-3929-4a9f-85ef-0aebd509ce29};3000;NP-BAR22-3000;223
{d8acf554-75c8-4659-9e71-ccdddf802e47};{4345f88d-102a-45f8-9679-bd38a5fb3a1e};1000;NP-BAR22-3000;231
{b9309691-c67d-41ca-9eed-2af2f35dff05};{c3e35f88-4453-491d-a020-1cf90538adf2};1330;NP-BAR22-3000;232
{8a9dfb69-cae4-4d35-9c88-6b9eda22663c};{7892a634-75f2-4d6b-ad7c-bcce6ce989be};3190;NP-T;223
{8a9dfb69-cae4-4d35-9c88-6b9eda22663c};{1ed6d86c-f05e-45f1-83b6-6527492f8072};1325;NP-T;230
{8a9dfb69-cae4-4d35-9c88-6b9eda22663c};{9990cc8b-0872-440e-bae3-f7637c74021a};1275;NP-T;231
{43574aff-8cb4-4048-b7fc-1fc12898763b};{fb61d03f-654c-4f88-a5a2-394b2b281be6};1232;NP-CZ;230
{43574aff-8cb4-4048-b7fc-1fc12898763b};{870cc45f-fcba-4507-8de2-cae025ff177b};1557;NP-CZ;232
{d34db7bc-2521-4479-a97c-82f2db04a881};{4bbad2e9-487d-4aef-83f5-367af4e63c83};1647;NP-CL2+CLT2+CLB2;223
{ec247b84-a639-487e-b811-fd9cbd9901ea};{e14f8058-ff6c-4ecd-b138-e998d5c174bc};45;NP-BAR22-3000;223
{ec247b84-a639-487e-b811-fd9cbd9901ea};{0a1a589c-8a33-41bc-9d2d-6bf1b1702eea};100;NP-BAR22-3000;231
{ec247b84-a639-487e-b811-fd9cbd9901ea};{14f04b26-e6b8-4619-b67e-2a52522fc736};145;NP-BAR22-3000;232
{579dfe61-6fbe-480a-a4d1-6eb1b4af2f97};{28128f09-a66e-4f33-b462-a6d22a17847f};1244;NP-ROLL70-5000;230
{579dfe61-6fbe-480a-a4d1-6eb1b4af2f97};{9d9672eb-ed4b-4ff8-a96e-7805dbfa1be4};1569;NP-ROLL70-5000;232
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};{173fd725-c8c4-4c46-865c-21c46aa72b2f};3215;NP-TF;223
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};{1562b5bc-cb9e-4af4-97c6-ae905beca18e};1350;NP-TF;230
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};{deb51c16-41a2-4719-b9fa-ad4924575537};1300;NP-TF;231
{2eccabdf-64ff-4ba9-866c-612804ab5b21};{a3c1ac35-f160-498c-bafe-67342d6da80b};2462;NP-CL2+CLT2+CLB2;230
{2eccabdf-64ff-4ba9-866c-612804ab5b21};{8a300a00-8b73-4f22-8d7c-c2c761b985e0};2462;NP-CL2+CLT2+CLB2;231
{4bda1c4f-f32b-450f-b7db-661de1514b3e};{ad604599-0a8f-44f8-9e3e-ab9a2de2f46a};2462;NP-CL2+CLT2+CLB2;232
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};{d0431f68-f6a1-456e-a2c8-6f8345824e7f};3097;NP-CZ;223
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};{a18f8d02-c9f8-4ac3-8b6c-5bd5ff2c4387};1182;NP-CZ;231
{7efbd952-1fbb-48fe-809d-9548db3e16de};{9fab4be0-d6df-4dbb-8e6c-3d100296b01f};1194;NP-ROLL70-5000;231
{2e11d7cd-7665-4294-b7b8-00c956d7a452};{4744865f-e332-4db2-8602-c7fa61bee758};1650;NP-T;232
{b0e29540-32fc-47f5-b332-22a5025d93b3};{195b5455-2893-4a7b-9d5e-e9eb6077c8f4};1180;NP-BAR22-3000;230
{97d49ece-6fc0-45ad-bfcd-b8fb5ce44294};{2af2faec-a589-4a1b-a2da-abe50c9e59a9};3109;NP-ROLL70-5000;223
{21b2475a-5e4c-45b3-9297-4f4282f7f664};{a72ee959-3f0c-4782-8168-af565cbec306};1675;NP-TF;232
#LEFTOVERS
{7b69fe30-b521-410f-9e97-6fb37358b948};selejt;0
{d8acf554-75c8-4659-9e71-ccdddf802e47};selejt;0
{b9309691-c67d-41ca-9eed-2af2f35dff05};selejt;0
{8a9dfb69-cae4-4d35-9c88-6b9eda22663c};selejt;182.2
{43574aff-8cb4-4048-b7fc-1fc12898763b};RST-J-605;1104.6
{d34db7bc-2521-4479-a97c-82f2db04a881};selejt;149.8
{ec247b84-a639-487e-b811-fd9cbd9901ea};RST-J-606;754
{579dfe61-6fbe-480a-a4d1-6eb1b4af2f97};RST-J-607;833
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};selejt;107.2
{2eccabdf-64ff-4ba9-866c-612804ab5b21};RST-J-608;2051.4
{4bda1c4f-f32b-450f-b7db-661de1514b3e};RST-J-609;4516.6
{4514b9fd-84d5-4f2c-8e63-f5ef5cb4966d};RST-J-610;2696.4
{7efbd952-1fbb-48fe-809d-9548db3e16de};RST-J-611;824
{2e11d7cd-7665-4294-b7b8-00c956d7a452};RST-J-612;4328.6
{b0e29540-32fc-47f5-b332-22a5025d93b3};selejt;3
{97d49ece-6fc0-45ad-bfcd-b8fb5ce44294};RST-J-613;1887
{21b2475a-5e4c-45b3-9297-4f4282f7f664};RST-J-614;4303.6
