#VERSION 2
#CUTPLANS
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};2;P;2327;MAT-S-494;{f9775418-70d8-42eb-abd7-f047c9a3a260};289
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};3;K;3.2;KERF;{f9775418-70d8-42eb-abd7-f047c9a3a260};289
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};4;P;877;MAT-S-495;{edf89cb1-99e1-45b3-8be5-4ecd7eaf66b1};290
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};5;K;3.2;KERF;{edf89cb1-99e1-45b3-8be5-4ecd7eaf66b1};290
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};6;P;3657;MAT-S-496;{9dbfbfc8-00db-4d3a-a5c5-b619fcd0f30c};298
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};7;K;3.2;KERF;{9dbfbfc8-00db-4d3a-a5c5-b619fcd0f30c};298
{2a125fa2-f053-4430-a893-2b4f4046f303};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2a125fa2-f053-4430-a893-2b4f4046f303};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2a125fa2-f053-4430-a893-2b4f4046f303};2;P;2405;MAT-S-499;{f8ee7570-5399-4621-8e82-6e793665b987};291
{2a125fa2-f053-4430-a893-2b4f4046f303};3;K;3.2;KERF;{f8ee7570-5399-4621-8e82-6e793665b987};291
{2a125fa2-f053-4430-a893-2b4f4046f303};4;P;1095;MAT-S-500;{29938f5b-320d-4dc5-b869-06396bd210da};294
{2a125fa2-f053-4430-a893-2b4f4046f303};5;K;3.2;KERF;{29938f5b-320d-4dc5-b869-06396bd210da};294
{2a125fa2-f053-4430-a893-2b4f4046f303};6;P;1900;MAT-S-501;{3be9db41-ea0f-4a2b-ab6c-021e2819d453};297
{2a125fa2-f053-4430-a893-2b4f4046f303};7;K;3.2;KERF;{3be9db41-ea0f-4a2b-ab6c-021e2819d453};297
{f9ce34c2-e6f5-4fab-9b6d-d216e714fa31};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{f9ce34c2-e6f5-4fab-9b6d-d216e714fa31};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{f9ce34c2-e6f5-4fab-9b6d-d216e714fa31};2;P;2339;MAT-S-504;{6229ef7f-94f0-4c42-aefd-f14ae56f3bc4};289
{f9ce34c2-e6f5-4fab-9b6d-d216e714fa31};3;K;2;KERF;{6229ef7f-94f0-4c42-aefd-f14ae56f3bc4};289
{f9ce34c2-e6f5-4fab-9b6d-d216e714fa31};4;P;2359;MAT-S-505;{11c3f003-0dc8-4117-8e7e-5435415297a9};293
{f9ce34c2-e6f5-4fab-9b6d-d216e714fa31};5;K;2;KERF;{11c3f003-0dc8-4117-8e7e-5435415297a9};293
{22579e9b-da97-4183-bfc1-238b159f0a0a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{22579e9b-da97-4183-bfc1-238b159f0a0a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{22579e9b-da97-4183-bfc1-238b159f0a0a};2;P;2275;MAT-S-508;{77811750-e363-4965-82ef-e475326e82f1};289
{22579e9b-da97-4183-bfc1-238b159f0a0a};3;K;2;KERF;{77811750-e363-4965-82ef-e475326e82f1};289
{22579e9b-da97-4183-bfc1-238b159f0a0a};4;P;2295;MAT-S-509;{2d5090d8-bd6e-477e-af14-ee0051a5c2e1};293
{22579e9b-da97-4183-bfc1-238b159f0a0a};5;K;2;KERF;{2d5090d8-bd6e-477e-af14-ee0051a5c2e1};293
{184b8c16-5732-42e9-ab90-eb1afd14f301};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{184b8c16-5732-42e9-ab90-eb1afd14f301};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{184b8c16-5732-42e9-ab90-eb1afd14f301};2;P;1120;MAT-S-512;{f5791c8b-5cc3-47be-80e5-199530a8d23f};294
{184b8c16-5732-42e9-ab90-eb1afd14f301};3;K;3.2;KERF;{f5791c8b-5cc3-47be-80e5-199530a8d23f};294
{184b8c16-5732-42e9-ab90-eb1afd14f301};4;P;3775;MAT-S-513;{60af8f44-57e4-4dc1-8911-dfafd308ea08};298
{184b8c16-5732-42e9-ab90-eb1afd14f301};5;K;3.2;KERF;{60af8f44-57e4-4dc1-8911-dfafd308ea08};298
{5826d72a-5392-4755-bdb7-bdfb284073e3};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
