#VERSION 2
#CUTPLANS
{2318b7ce-af5f-4179-9835-5c2aa004f891};{8182128b-fe07-4700-8148-0c689aeebb47};2635;NP-TF-9010;237
{2318b7ce-af5f-4179-9835-5c2aa004f891};{745274c6-6991-4ac7-909b-d7acfee97386};675;NP-TF-9010;238
{15c739a1-1be4-4be8-8c9f-bc7ec3e5c3c9};{f5e62f58-3b94-49ff-a121-2309893466b6};2181;NP-ROLL70-5000;236
{1604f80e-4de9-4d5e-b504-32e0d956792a};{1fcffe1b-3e13-4524-a235-9e2a3e37df5e};355;NP-BAR12-4000;236
{1604f80e-4de9-4d5e-b504-32e0d956792a};{9bc2bfa3-5b3e-49da-b805-d98a66c75b39};560;NP-BAR12-4000;238
{eafec4a0-648e-4310-a546-f0b86c0f7d82};{bc0c8b3c-301d-4f89-994d-a966c3175cd6};2508;NP-SL2-9010;235
{eafec4a0-648e-4310-a546-f0b86c0f7d82};{cd0eb72a-3b4a-41f3-a1d5-30d8647bdc4b};2508;NP-SL2-9010;236
{4db29fd8-52e4-4a25-9578-811c74b27ce5};{05b6e333-9ab3-42e8-8e73-f65298e5c5f6};2155;NP-SZ-9010;236
{4db29fd8-52e4-4a25-9578-811c74b27ce5};{18254af2-6e10-4133-ba32-6ca33673156f};2565;NP-SZ-9010;237
{09dec995-e494-4c41-8fd2-97bb396ec304};{ae66cd27-3270-4898-89fd-251a6e9aba42};2541;NP-ROLL70-5000;235
{425c3362-02ef-477d-b066-224fbd9833ca};{09468caf-9548-4bb3-b040-e87c978c6730};1835;NP-BAR22-3000;245
{cb33827b-86cc-4617-a00a-99827a415b31};{b1339c1b-36d6-4950-9bd9-3600e7b3f413};1844;NP-ROLL70-5000;241
{b3efac22-fbcb-461d-8f21-2a878c58c858};{c6d09ec2-873a-4468-ab58-9d0d3cc9c116};2225;NP-T-9010;236
{b3efac22-fbcb-461d-8f21-2a878c58c858};{1bca0c70-3142-4332-ad68-f6d863670887};1925;NP-T-9010;241
{c8e69cc7-56d4-4165-9e82-a6d47909f558};{41dda132-f14b-485a-8877-64e8bd6bb257};1980;NP-T-7016;245
{63bbf3d5-6a1c-4661-8a24-29a42579f39f};{935db1bb-08dd-497e-b0b6-2fa5aad9e52d};2520;NP-BAR12-4000;237
{35d4e3bb-3831-44a6-b0b1-f98719f281b3};{e1f84d54-0350-419a-a5de-ef17ee62d58e};1795;NP-CL2+CLT2+CLB2-7016;244
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};{d87024d2-c538-4a44-a737-a11e48003cbb};1795;NP-CZ-7016;244
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};{32b57e9b-499e-45be-959d-467928ed3759};1887;NP-CZ-7016;245
{e79a66c2-ae5d-4ec4-b70a-3e99b2bcc820};{544bba71-14dd-4ca4-a4a7-73123ac9528b};1913;NP-TF-7016;244
{8f040266-e0de-4700-98cf-9abcc3ef125c};{a0abe42b-b415-4948-9a01-018b22998bb5};1780;NP-BAR22-3000;241
{8f040266-e0de-4700-98cf-9abcc3ef125c};{a0b83856-c67e-40cd-b682-0d34c706149c};1743;NP-BAR22-3000;244
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};{1a11c054-bc77-4657-a12c-c440b5d9e469};2248;NP-SL2-9010;237
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};{0cb92d23-fb5c-42c6-b2ae-80d78e847f51};2508;NP-SL2-9010;238
{4a2020cb-5301-41ab-bac5-510f562e1d1e};{b17ce74e-f901-4c85-8cec-551cf1148940};605;NP-SZ-9010;238
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};{fbacc1f3-ed54-4a1d-8f68-4b1b5b300c8b};2225;NP-TF-9010;236
