#VERSION 2
#CUTPLANS
{ed43fdcd-feb7-4702-9045-3c5bb39e6334};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ed43fdcd-feb7-4702-9045-3c5bb39e6334};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ed43fdcd-feb7-4702-9045-3c5bb39e6334};2;P;1650;MAT-CN-384;{448fdff7-b55b-48ee-afec-8525a2e90f83};232
{ed43fdcd-feb7-4702-9045-3c5bb39e6334};3;K;3.2;KERF;{448fdff7-b55b-48ee-afec-8525a2e90f83};232
#PIECES
{f1702bbc-15c6-499a-a1e8-e1461b0bd380};{b2a265e3-ec14-49e2-81ab-27a9a4d3377e};3000;NP-BAR22-3000;223
{06d78cbe-4e01-498d-9378-1ca5e845ae75};{7f304d0c-16f0-46ae-ae42-e90ae74c8b06};1000;NP-BAR22-3000;231
{dcf3a215-8056-4e5a-92bf-e0e3e9d1387b};{aa9946e8-bd60-4f66-97a9-f3d1d2b7c8b2};1330;NP-BAR22-3000;232
{d47a054a-557b-4bb4-8e18-37a9d4d927be};{fc613093-368a-41b4-a16c-9241309dceed};1647;NP-CL2+CLT2+CLB2;223
{03760431-1d4a-4f6d-95a5-332391dbc7c9};{c8bfaf79-3dc1-4ce7-9317-3b8c45411c85};45;NP-BAR22-3000;223
{03760431-1d4a-4f6d-95a5-332391dbc7c9};{a6ec781c-0fd2-412c-b87c-76c364aa65b6};100;NP-BAR22-3000;231
{03760431-1d4a-4f6d-95a5-332391dbc7c9};{226f7786-bd94-4d82-92bc-cbc76b0498ac};145;NP-BAR22-3000;232
{ac693fbd-750e-4e9c-840e-db3244ba13ed};{2abe532c-4411-4418-adb7-48f150f3dec5};1244;NP-ROLL70-5000;230
{ac693fbd-750e-4e9c-840e-db3244ba13ed};{ca50fb4f-b96a-44f2-98bf-cd1db5bef11d};1569;NP-ROLL70-5000;232
{d3b3fca1-69b6-42c7-912f-aeb0a5299a93};{f9ace2bb-34a1-4ba5-98fb-95082cfa9fd4};3215;NP-TF;223
{d3b3fca1-69b6-42c7-912f-aeb0a5299a93};{8ee29ac0-f8ec-4c1a-a5c5-e6927d7d92f3};1350;NP-TF;230
{d3b3fca1-69b6-42c7-912f-aeb0a5299a93};{10672964-e033-4e51-bb08-584825aed635};1300;NP-TF;231
{321cebe0-8e44-4c40-9c2f-39b8f776f21d};{1448da23-3dd4-4892-9620-f58cd4127483};1232;NP-CZ;230
{321cebe0-8e44-4c40-9c2f-39b8f776f21d};{5a38b8af-33cd-46c5-a449-9b4c7182ae44};1557;NP-CZ;232
{3daf20be-0960-4b90-a9de-2de04fe0b867};{fd4a4c3e-5f7c-433f-aabd-e964251c58de};3190;NP-T;223
{3daf20be-0960-4b90-a9de-2de04fe0b867};{7ab08669-d1cc-42c4-80cb-a7a0d832be76};1325;NP-T;230
{3daf20be-0960-4b90-a9de-2de04fe0b867};{7a8d13c7-f696-49bf-b905-6e15eeb369d6};1275;NP-T;231
{8553e823-bfbb-4512-b7a9-61a618d3e295};{5604dfdc-d2fd-4c1f-b416-7af8c326c7d8};2462;NP-CL2+CLT2+CLB2;230
{8553e823-bfbb-4512-b7a9-61a618d3e295};{b0ae2d41-5db1-41da-ad18-8e367f380f88};2462;NP-CL2+CLT2+CLB2;231
{0cf21541-f577-422a-924f-1a123c9f5252};{7ed38b39-6cde-4f6f-8863-fc1ead8a2690};2462;NP-CL2+CLT2+CLB2;232
{59e3cbe4-3d4b-4af4-a585-734918080bbf};{0c1789d1-bd97-4f50-8f39-7e2b8777d970};1194;NP-ROLL70-5000;231
{455c3f56-374a-4b8b-8154-014fa63c71e9};{cc056574-2f93-4c0f-a0be-35306aab2ce0};3097;NP-CZ;223
{455c3f56-374a-4b8b-8154-014fa63c71e9};{c81c6c7e-60a4-40ef-b0c7-6edfea047f79};1182;NP-CZ;231
{85931d0f-7d0d-4cdb-9253-ef7c681fc02a};{9ac1b7f6-0313-45e9-9499-948cd9310845};1180;NP-BAR22-3000;230
{2988fc3f-c208-49ef-81cb-c69017f066f0};{1e6d268a-1283-4b36-a1e1-1b3df3bc0a27};3109;NP-ROLL70-5000;223
{184de2a8-ef21-4455-a4b4-cda383dda299};{595b8b22-1ead-4678-9334-2bd8e1c1aaf2};1675;NP-TF;232
{ed43fdcd-feb7-4702-9045-3c5bb39e6334};{448fdff7-b55b-48ee-afec-8525a2e90f83};1650;NP-T;232
#LEFTOVERS
