#VERSION 2
#CUTPLANS
{88e1a2b7-6599-4453-9b6a-9a1cc0be280b};3;K;3.2;KERF;{b82b9580-53a1-4e07-ad85-ae9b8de6224b};232
{b7f323c1-6f5e-4e5c-a97c-00d17e0f5ca3};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{b7f323c1-6f5e-4e5c-a97c-00d17e0f5ca3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b7f323c1-6f5e-4e5c-a97c-00d17e0f5ca3};2;P;2462;MAT-CM-226;{fb9de50a-d060-4b75-a03d-ea091118610b};230
{b7f323c1-6f5e-4e5c-a97c-00d17e0f5ca3};3;K;3.2;KERF;{fb9de50a-d060-4b75-a03d-ea091118610b};230
{b7f323c1-6f5e-4e5c-a97c-00d17e0f5ca3};4;P;2462;MAT-CM-227;{b17d3f9c-ba8f-45fd-b01a-7d7302953839};231
{b7f323c1-6f5e-4e5c-a97c-00d17e0f5ca3};5;K;3.2;KERF;{b17d3f9c-ba8f-45fd-b01a-7d7302953839};231
{19f95f7e-e5c1-4cec-bb22-672ae8b61658};0;P;1194;MAT-CM-229;{daaf8b40-32f1-418e-b711-584b476e89ca};231
{19f95f7e-e5c1-4cec-bb22-672ae8b61658};1;K;2;KERF;{daaf8b40-32f1-418e-b711-584b476e89ca};231
{0e5e2662-585c-43e9-ae4d-b8576dc0fd32};0;P;1182;MAT-CM-231;{0b521aa3-a990-46e7-a563-e939fd42ced4};231
{0e5e2662-585c-43e9-ae4d-b8576dc0fd32};1;K;3.2;KERF;{0b521aa3-a990-46e7-a563-e939fd42ced4};231
{009fa892-eedb-4569-9b67-174637987090};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{009fa892-eedb-4569-9b67-174637987090};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{009fa892-eedb-4569-9b67-174637987090};2;P;1675;MAT-CM-234;{df38dbe6-85b9-416d-af5f-972639df7f0a};232
{009fa892-eedb-4569-9b67-174637987090};3;K;3.2;KERF;{df38dbe6-85b9-416d-af5f-972639df7f0a};232
{7bc377da-9309-4c93-948c-10f363696e42};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{7bc377da-9309-4c93-948c-10f363696e42};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
