#VERSION 2
#CUTPLANS
{83c06448-e17b-46c8-8747-18374a4d96ab};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{83c06448-e17b-46c8-8747-18374a4d96ab};2;P;1675;MAT-CM-835;{dde1a887-21f8-470f-a86e-f7d34ee40390};232
{83c06448-e17b-46c8-8747-18374a4d96ab};3;K;3.2;KERF;{dde1a887-21f8-470f-a86e-f7d34ee40390};232
{45ca1739-90c7-47df-a2d1-e1f203f2d349};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{45ca1739-90c7-47df-a2d1-e1f203f2d349};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{45ca1739-90c7-47df-a2d1-e1f203f2d349};2;P;3109;MAT-CM-838;{87e29dfd-65ba-48c7-8848-4ca3de14beba};223
{45ca1739-90c7-47df-a2d1-e1f203f2d349};3;K;2;KERF;{87e29dfd-65ba-48c7-8848-4ca3de14beba};223
{4f9dc357-9886-4d8e-b45d-b7e54e83510c};0;P;1180;MAT-CM-840;{d7ef39eb-468f-4666-bffd-0ff567cec588};230
{4f9dc357-9886-4d8e-b45d-b7e54e83510c};1;K;2;KERF;{d7ef39eb-468f-4666-bffd-0ff567cec588};230
#PIECES
{c81f449a-8496-4f4d-986f-8640e587c8e8};{d565b75f-fd91-449f-bf9e-1fb1248152d4};3000;NP-BAR22-3000;223
{a385f3ee-8c1a-4e84-a522-3f3379911e20};{b3175e9a-2d5e-4729-b51e-9895aa9ffa4b};1000;NP-BAR22-3000;231
{b06db6ee-c2a0-412e-ad31-3aafd35945f9};{c1396381-4ea3-4af3-8c68-59ce06a2e389};1330;NP-BAR22-3000;232
{f5c27a12-1745-4b11-9ba9-62265a127ee6};{d1f3d5d0-80fa-411a-80ff-7639cafaa4b9};3190;NP-T;223
{f5c27a12-1745-4b11-9ba9-62265a127ee6};{3e773984-a920-4b23-8fbd-3ec69461fff0};1325;NP-T;230
{f5c27a12-1745-4b11-9ba9-62265a127ee6};{542efb8c-e8e1-40bc-b15b-074b035daabc};1275;NP-T;231
{eb1eb53d-b82b-4895-a9e5-9ee20b62791c};{3ca02769-645d-4e3b-bbc0-ed89f9e07135};1647;NP-CLB;223
{338f577a-caad-43ae-86d4-cba04982b95b};{ed018229-d106-460f-9677-e8303e2bc883};1232;NP-CZ;230
{338f577a-caad-43ae-86d4-cba04982b95b};{9b939a3c-c971-4869-bd62-42684168a439};1557;NP-CZ;232
{ad42fff2-dc15-414b-a89e-c783fc944d3b};{639a73ec-296d-4741-892b-43e60b9a6ab1};1647;NP-CL;223
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};{b38ec6f5-367a-4e6d-aa93-e41dcde391d3};3215;NP-TF;223
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};{10a881bb-2aad-43fb-a4a2-1beb2e5c9da7};1350;NP-TF;230
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};{89959e84-52c0-418c-8df7-f645876c74ac};1300;NP-TF;231
{6b0da326-f20f-4d41-9094-1da8884ef200};{db29e072-8249-46eb-84dc-2b2d2cad95ef};1647;NP-CLT;223
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};{62f8cbd6-0f8d-4f71-8b3c-1227c632a332};1244;NP-ROLL70-5000;230
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};{f7e2e97e-1c3e-426e-81f7-9cfc11603f97};1569;NP-ROLL70-5000;232
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};{bf58eace-2660-4d33-9150-851f9b521479};45;NP-BAR22-3000;223
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};{f25dc701-6e2f-4d9b-82f9-148be0efaf28};100;NP-BAR22-3000;231
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};{304efef4-2957-4852-bf7c-e5e7ea422074};145;NP-BAR22-3000;232
{bb3844bb-5ae0-4628-9cb8-74951aa5d4ac};{9233c42d-890e-4a79-8ba0-2533dba33ba4};2462;NP-CLB;230
{9b918cd0-66e2-4699-9655-975da72f3d3a};{2c53b4cf-4e8b-48d4-9a80-761343998432};2462;NP-CL;230
{9b918cd0-66e2-4699-9655-975da72f3d3a};{0f69cf72-a4df-4637-83e1-90b71b6ed55f};2462;NP-CL;231
{f7bac7d5-a013-412a-848b-4fa814acd8cb};{7946fd3a-423f-438f-8fd6-954d9b91ae88};2462;NP-CL;232
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};{f750a616-8d55-420e-ba1a-21a285c580d8};2462;NP-CLT;230
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};{c02688ac-98e6-40b1-a91b-e8eb99bb415b};2462;NP-CLT;231
{bacf5b7a-a04c-4b30-869b-7589d44bf79b};{fc214878-d491-4418-9e28-b05aec2f8ca9};2462;NP-CLT;232
{a95ebe24-f835-461e-9518-fde4dd4af4be};{23ee5ca3-d770-465c-a36d-c9bd957cbb54};2462;NP-CLB;231
{a95ebe24-f835-461e-9518-fde4dd4af4be};{9e1ad280-65e8-44d3-b046-fb8a2dde1e6e};2462;NP-CLB;232
