#VERSION 2
#CUTPLANS
{18c2103b-d951-47c1-87df-3b3c0ce0b420};25;NOT_STARTED;Rod-A;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;2;;RSM-341;2400
{bb42f2a8-bf6c-4007-a62f-3ba0ff239e57};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{bb42f2a8-bf6c-4007-a62f-3ba0ff239e57};2;P;3739;MAT-CK-365;{b03d2779-3bd1-4f4b-adf4-5780b7afe500};139
{bb42f2a8-bf6c-4007-a62f-3ba0ff239e57};3;K;2;KERF;{b03d2779-3bd1-4f4b-adf4-5780b7afe500};139
{1a46f2e8-c030-44b6-9a9e-cd1cd026046b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1a46f2e8-c030-44b6-9a9e-cd1cd026046b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1a46f2e8-c030-44b6-9a9e-cd1cd026046b};2;P;3820;MAT-CK-368;{5a36f79e-830e-4f6c-9c7d-b252bcf0d532};127
{1a46f2e8-c030-44b6-9a9e-cd1cd026046b};3;K;3.2;KERF;{5a36f79e-830e-4f6c-9c7d-b252bcf0d532};127
{f4083962-a79f-415e-be1e-b8a049bdbc1f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f4083962-a79f-415e-be1e-b8a049bdbc1f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f4083962-a79f-415e-be1e-b8a049bdbc1f};2;P;3727;MAT-CK-371;{a1c7b9a9-d866-49ae-8239-2fbda27dcd10};127
{f4083962-a79f-415e-be1e-b8a049bdbc1f};3;K;3.2;KERF;{a1c7b9a9-d866-49ae-8239-2fbda27dcd10};127
{8ead5da3-d3b0-4646-b73b-713fd94a3e71};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8ead5da3-d3b0-4646-b73b-713fd94a3e71};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8ead5da3-d3b0-4646-b73b-713fd94a3e71};2;P;3727;MAT-CK-373;{613f76fc-d48b-4870-b611-5c770800e454};139
{8ead5da3-d3b0-4646-b73b-713fd94a3e71};3;K;3.2;KERF;{613f76fc-d48b-4870-b611-5c770800e454};139
{656cc22d-9f4c-449f-b45e-d84b9aaeb457};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{656cc22d-9f4c-449f-b45e-d84b9aaeb457};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{656cc22d-9f4c-449f-b45e-d84b9aaeb457};2;P;2400;MAT-CK-376;{455c7bbf-eb0d-48d8-8f67-91ecf11f5e31};133
{656cc22d-9f4c-449f-b45e-d84b9aaeb457};3;K;2;KERF;{455c7bbf-eb0d-48d8-8f67-91ecf11f5e31};133
{7db1e295-1ec8-452b-9503-c0cd33cf0210};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7db1e295-1ec8-452b-9503-c0cd33cf0210};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7db1e295-1ec8-452b-9503-c0cd33cf0210};2;P;2515;MAT-CK-379;{b35e4504-70f0-4876-b2c4-f82a53963cf1};133
{7db1e295-1ec8-452b-9503-c0cd33cf0210};3;K;3.2;KERF;{b35e4504-70f0-4876-b2c4-f82a53963cf1};133
{e8204e9c-6168-4662-bf14-b7079096aada};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{e8204e9c-6168-4662-bf14-b7079096aada};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e8204e9c-6168-4662-bf14-b7079096aada};2;P;2497;MAT-CK-382;{aaba1dfd-4492-4921-a111-7e2aaa18caa5};139
{e8204e9c-6168-4662-bf14-b7079096aada};3;K;3.2;KERF;{aaba1dfd-4492-4921-a111-7e2aaa18caa5};139
{abca0af7-4491-4c48-a164-2ee8db291c4d};0;P;2448;MAT-CK-384;{109b175c-e9b9-477a-89a2-886c658e81df};133
{abca0af7-4491-4c48-a164-2ee8db291c4d};1;K;3.2;KERF;{109b175c-e9b9-477a-89a2-886c658e81df};133
{e54d7a1a-f9f1-4061-8f5e-6100e68f4318};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{e54d7a1a-f9f1-4061-8f5e-6100e68f4318};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{e54d7a1a-f9f1-4061-8f5e-6100e68f4318};2;P;3675;MAT-CK-387;{e1dc620a-d889-4e82-bc10-a3115efde2aa};139
{e54d7a1a-f9f1-4061-8f5e-6100e68f4318};3;K;2;KERF;{e1dc620a-d889-4e82-bc10-a3115efde2aa};139
{9bb5d51c-8815-4dee-b541-82d2633a357f};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{9bb5d51c-8815-4dee-b541-82d2633a357f};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{9bb5d51c-8815-4dee-b541-82d2633a357f};2;P;2464;MAT-CK-390;{ac087835-0f53-478f-b966-55f17ba3b580};133
{9bb5d51c-8815-4dee-b541-82d2633a357f};3;K;2;KERF;{ac087835-0f53-478f-b966-55f17ba3b580};133
{b6ae3853-afb1-48e1-8f35-b983bf32f547};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b6ae3853-afb1-48e1-8f35-b983bf32f547};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b6ae3853-afb1-48e1-8f35-b983bf32f547};2;P;3820;MAT-CK-393;{30d48ddc-331c-4788-b57e-45421ffef513};139
{b6ae3853-afb1-48e1-8f35-b983bf32f547};3;K;3.2;KERF;{30d48ddc-331c-4788-b57e-45421ffef513};139
{2af6ce72-a5a8-45ac-b5f0-bda1461b3344};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2af6ce72-a5a8-45ac-b5f0-bda1461b3344};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2af6ce72-a5a8-45ac-b5f0-bda1461b3344};2;P;2445;MAT-CK-396;{708e6b3a-dc6c-4e4f-a979-5f7fb28b0f3b};133
{2af6ce72-a5a8-45ac-b5f0-bda1461b3344};3;K;3.2;KERF;{708e6b3a-dc6c-4e4f-a979-5f7fb28b0f3b};133
#PIECES
{18c2103b-d951-47c1-87df-3b3c0ce0b420};{6e2f177c-c4d8-4672-93a3-366e4900df16};2295;NP-TF-7016;148
