#VERSION 2
#CUTPLANS
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};7;K;3.2;KERF;{bb4905f2-68f9-4f8c-bbb1-dd1b49d80e7a};293
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};8;P;1095;MAT-S-705;{6a632c7e-57cd-42fa-9225-4d175814c7b8};294
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};9;K;3.2;KERF;{6a632c7e-57cd-42fa-9225-4d175814c7b8};294
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};2;P;889;MAT-S-708;{f270930d-319a-434c-a4e7-882c999eedbc};290
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};3;K;2;KERF;{f270930d-319a-434c-a4e7-882c999eedbc};290
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};4;P;1119;MAT-S-709;{7c3cc3eb-0482-400e-a265-071b34a8ae95};292
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};5;K;2;KERF;{7c3cc3eb-0482-400e-a265-071b34a8ae95};292
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};6;P;2359;MAT-S-710;{32e67c7d-1657-49ff-bd8a-0b7476603bf7};293
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};7;K;2;KERF;{32e67c7d-1657-49ff-bd8a-0b7476603bf7};293
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};8;P;1014;MAT-S-711;{cb4460dd-8529-46f1-8386-da2e49f2d43f};294
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};9;K;2;KERF;{cb4460dd-8529-46f1-8386-da2e49f2d43f};294
{7690434b-4ebd-455f-8d51-e4ef1d99f756};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7690434b-4ebd-455f-8d51-e4ef1d99f756};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7690434b-4ebd-455f-8d51-e4ef1d99f756};2;P;877;MAT-S-714;{34cb3608-41df-4a7c-aab0-30991e6d031b};290
{7690434b-4ebd-455f-8d51-e4ef1d99f756};3;K;3.2;KERF;{34cb3608-41df-4a7c-aab0-30991e6d031b};290
{7690434b-4ebd-455f-8d51-e4ef1d99f756};4;P;2312;MAT-S-715;{e945d6e7-9b13-4129-b7f7-581e4f2fadfa};291
{7690434b-4ebd-455f-8d51-e4ef1d99f756};5;K;3.2;KERF;{e945d6e7-9b13-4129-b7f7-581e4f2fadfa};291
{7690434b-4ebd-455f-8d51-e4ef1d99f756};6;P;3657;MAT-S-716;{a4c5adb0-ddb3-4c5a-bebe-38c514194c13};298
{7690434b-4ebd-455f-8d51-e4ef1d99f756};7;K;3.2;KERF;{a4c5adb0-ddb3-4c5a-bebe-38c514194c13};298
{174af7ca-5bce-41e0-9979-8d814800e411};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{174af7ca-5bce-41e0-9979-8d814800e411};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{174af7ca-5bce-41e0-9979-8d814800e411};2;P;1925;MAT-S-719;{a07f3bd7-685b-4810-8806-9cff81b77b2b};297
{174af7ca-5bce-41e0-9979-8d814800e411};3;K;3.2;KERF;{a07f3bd7-685b-4810-8806-9cff81b77b2b};297
{174af7ca-5bce-41e0-9979-8d814800e411};4;P;3775;MAT-S-720;{3921ff40-9a6c-4834-b07c-221a5c0aaee3};298
{174af7ca-5bce-41e0-9979-8d814800e411};5;K;3.2;KERF;{3921ff40-9a6c-4834-b07c-221a5c0aaee3};298
