#VERSION 2
#CUTPLANS
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};8;P;1120;MAT-S-561;{59f95001-4e28-476f-b1c1-fac911df8ccb};294
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};9;K;3.2;KERF;{59f95001-4e28-476f-b1c1-fac911df8ccb};294
{3e88de6a-ff57-4932-bbde-ebad27f62996};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3e88de6a-ff57-4932-bbde-ebad27f62996};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3e88de6a-ff57-4932-bbde-ebad27f62996};2;P;889;MAT-S-564;{0f8b077c-3eb6-4375-8549-df393fe43e1d};290
{3e88de6a-ff57-4932-bbde-ebad27f62996};3;K;2;KERF;{0f8b077c-3eb6-4375-8549-df393fe43e1d};290
{3e88de6a-ff57-4932-bbde-ebad27f62996};4;P;1119;MAT-S-565;{20535a00-aee6-40bd-b1b3-160a48135dcf};292
{3e88de6a-ff57-4932-bbde-ebad27f62996};5;K;2;KERF;{20535a00-aee6-40bd-b1b3-160a48135dcf};292
{3e88de6a-ff57-4932-bbde-ebad27f62996};6;P;2359;MAT-S-566;{d0993c40-3204-4bf4-831b-731d2ad4cb5d};293
{3e88de6a-ff57-4932-bbde-ebad27f62996};7;K;2;KERF;{d0993c40-3204-4bf4-831b-731d2ad4cb5d};293
{3e88de6a-ff57-4932-bbde-ebad27f62996};8;P;1014;MAT-S-567;{432e0929-2e7c-4ce8-9363-4f033fb0f15e};294
{3e88de6a-ff57-4932-bbde-ebad27f62996};9;K;2;KERF;{432e0929-2e7c-4ce8-9363-4f033fb0f15e};294
{cc81c104-55d4-4415-9274-f431a997cde8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{cc81c104-55d4-4415-9274-f431a997cde8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{cc81c104-55d4-4415-9274-f431a997cde8};2;P;877;MAT-S-570;{3b7bee12-721c-41ca-a613-049cf340545c};290
{cc81c104-55d4-4415-9274-f431a997cde8};3;K;3.2;KERF;{3b7bee12-721c-41ca-a613-049cf340545c};290
{cc81c104-55d4-4415-9274-f431a997cde8};4;P;2312;MAT-S-571;{6926656f-8c77-4921-b0b4-24380e364539};291
{cc81c104-55d4-4415-9274-f431a997cde8};5;K;3.2;KERF;{6926656f-8c77-4921-b0b4-24380e364539};291
{cc81c104-55d4-4415-9274-f431a997cde8};6;P;3657;MAT-S-572;{b319fb46-c726-4a76-9b43-e9982cf6c1d6};298
{cc81c104-55d4-4415-9274-f431a997cde8};7;K;3.2;KERF;{b319fb46-c726-4a76-9b43-e9982cf6c1d6};298
{5db947ca-071c-4ce9-b0cf-da4321e561a9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5db947ca-071c-4ce9-b0cf-da4321e561a9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5db947ca-071c-4ce9-b0cf-da4321e561a9};2;P;1900;MAT-S-575;{dcfc515e-4785-4012-9381-deb959ac3ea3};297
{5db947ca-071c-4ce9-b0cf-da4321e561a9};3;K;3.2;KERF;{dcfc515e-4785-4012-9381-deb959ac3ea3};297
{5db947ca-071c-4ce9-b0cf-da4321e561a9};4;P;3750;MAT-S-576;{96142dd7-0193-4650-9bf1-247ea08976a8};298
{5db947ca-071c-4ce9-b0cf-da4321e561a9};5;K;3.2;KERF;{96142dd7-0193-4650-9bf1-247ea08976a8};298
