#VERSION 2
#CUTPLANS
{06f2f4ec-e812-4a7b-921c-9031517fd566};47;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;39163732;;RSM-561;1305
{ec142f58-5c99-4a84-97bc-b6255b240102};2;P;2770;MAT-P-120;{46226d5f-42e7-462a-af11-fab695f79a6d};209
{ec142f58-5c99-4a84-97bc-b6255b240102};3;K;2;KERF;{46226d5f-42e7-462a-af11-fab695f79a6d};209
{6bd1b0e9-6d95-4dc9-9ccc-97bd42b4a442};0;P;1510;MAT-P-122;{0ca44d37-49b7-4977-9ff1-7be6e9c40c36};206
{6bd1b0e9-6d95-4dc9-9ccc-97bd42b4a442};1;K;3.2;KERF;{0ca44d37-49b7-4977-9ff1-7be6e9c40c36};206
{a700079b-3355-4ccc-87a2-54dbf5a2aaaa};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a700079b-3355-4ccc-87a2-54dbf5a2aaaa};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a700079b-3355-4ccc-87a2-54dbf5a2aaaa};2;P;1475;MAT-P-125;{9b5d4ac6-f5de-4226-9f49-393be5db98ba};206
{a700079b-3355-4ccc-87a2-54dbf5a2aaaa};3;K;3.2;KERF;{9b5d4ac6-f5de-4226-9f49-393be5db98ba};206
{0ff9fe2c-8bd5-4f25-98d2-e348ffc62e1b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0ff9fe2c-8bd5-4f25-98d2-e348ffc62e1b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0ff9fe2c-8bd5-4f25-98d2-e348ffc62e1b};2;P;2867;MAT-P-128;{953b4456-086a-469b-b4c7-cb4e309cb61b};209
{0ff9fe2c-8bd5-4f25-98d2-e348ffc62e1b};3;K;3.2;KERF;{953b4456-086a-469b-b4c7-cb4e309cb61b};209
{d3d57835-5ee3-4d66-b269-013cafcbf823};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{d3d57835-5ee3-4d66-b269-013cafcbf823};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{d3d57835-5ee3-4d66-b269-013cafcbf823};2;P;2443;MAT-P-131;{be9865be-559b-4dba-a76a-cb9a900b4213};192
{d3d57835-5ee3-4d66-b269-013cafcbf823};3;K;2;KERF;{be9865be-559b-4dba-a76a-cb9a900b4213};192
{e6c0ee41-bedb-4b0f-bd94-f0eef624966f};0;P;2460;MAT-P-133;{55fc8203-6c6f-4d34-a843-a92549cdb010};192
{e6c0ee41-bedb-4b0f-bd94-f0eef624966f};1;K;3.2;KERF;{55fc8203-6c6f-4d34-a843-a92549cdb010};192
