#VERSION 2
#CUTPLANS
{05e16243-c5ce-47c0-9353-2c5f41016fe5};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{05e16243-c5ce-47c0-9353-2c5f41016fe5};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{05e16243-c5ce-47c0-9353-2c5f41016fe5};2;P;3109;MAT-CM-111;{47497eb4-4ad2-4819-be60-478fcec87556};223
{05e16243-c5ce-47c0-9353-2c5f41016fe5};3;K;2;KERF;{47497eb4-4ad2-4819-be60-478fcec87556};223
{82beaebf-e674-4518-8ef6-337589f7ea1d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{82beaebf-e674-4518-8ef6-337589f7ea1d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{82beaebf-e674-4518-8ef6-337589f7ea1d};2;P;1675;MAT-CM-114;{f5dc69e8-d929-4d3a-8c32-e17e1082169d};232
{82beaebf-e674-4518-8ef6-337589f7ea1d};3;K;3.2;KERF;{f5dc69e8-d929-4d3a-8c32-e17e1082169d};232
{5efa4593-3c76-42d8-b1ef-c5ef67bee9e7};0;P;1180;MAT-CM-116;{26ac6991-a24e-448b-8643-3609ebd0db90};230
{5efa4593-3c76-42d8-b1ef-c5ef67bee9e7};1;K;2;KERF;{26ac6991-a24e-448b-8643-3609ebd0db90};230
#PIECES
{c14996a3-5e88-4b74-977f-8ae69cb841fd};{20a72bf5-b686-4589-a2e9-73dad1abdf6e};3000;NP-BAR22-3000;223
{38b47c53-f5af-4082-940e-e765928e078c};{8aab2e3b-8892-4083-9c27-5e260859717a};1000;NP-BAR22-3000;231
{22d567b5-3025-495d-8f68-4ae202d677fb};{a7cf2f26-ee90-4a6b-a9d4-22b3878a5cfc};1330;NP-BAR22-3000;232
{66aeff05-edd4-4c38-b5f8-58f08f8d0aa8};{6ec56444-6f0c-4af8-9bb1-69d2fbc8c82a};1647;NP-CLB;223
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};{9e20e12e-1bbc-43b9-96d6-0ca532b9a0b7};3190;NP-T;223
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};{14a6eb8c-cfbf-4ef6-8904-1a4643a5795e};1325;NP-T;230
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};{8a288736-f692-4cc9-a893-07ad4df20ed9};1275;NP-T;231
{0d3a33fb-40ce-4258-aa95-da71c357ec00};{5169348f-876d-4f5c-a751-957b006cb3f8};1232;NP-CZ;230
{0d3a33fb-40ce-4258-aa95-da71c357ec00};{e5689085-cad1-4926-8f2d-8f15b08711d3};1557;NP-CZ;232
{30f789fc-4b8e-446c-a562-15e78463f430};{ecd12051-4c2b-4e78-b0b0-4ae5fc1caedb};1647;NP-CLT;223
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};{18c70fcf-dab0-4176-b4ff-1d7bba81ffd9};1244;NP-ROLL70-5000;230
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};{b31a102a-00f4-4410-b84a-dad932a3b128};1569;NP-ROLL70-5000;232
{ec88148f-49e7-421c-9e58-444304776398};{2bef52fe-f99d-4a04-bf23-65d3a39bc0b4};3215;NP-TF;223
{ec88148f-49e7-421c-9e58-444304776398};{0bf4d5e2-ea8d-4b8c-b341-7d3c4c1f08f3};1350;NP-TF;230
{ec88148f-49e7-421c-9e58-444304776398};{52c578ed-6f4f-4ebd-8d4f-14fd6c0718fc};1300;NP-TF;231
{74b60e79-c364-493a-b506-86be59ddfdf8};{3b5a7fec-4ba5-44fd-a763-ce11936482d3};1647;NP-CL;223
{ea639618-fa72-4a41-a696-74040f9c6dd0};{4028f343-8d28-44b9-8071-ecc23b6d6e91};45;NP-BAR22-3000;223
{ea639618-fa72-4a41-a696-74040f9c6dd0};{dc18bb3b-b782-4374-8d73-198fe0c0a24c};100;NP-BAR22-3000;231
{ea639618-fa72-4a41-a696-74040f9c6dd0};{988cd8e8-c598-4848-ac2a-fd8558ccd36f};145;NP-BAR22-3000;232
{db26de2e-ad04-4759-a20f-fe34b0052dd8};{2c1a7730-a476-4973-ad2d-e95b8ff1eecc};2462;NP-CLB;230
{db26de2e-ad04-4759-a20f-fe34b0052dd8};{d23fde6b-1e70-45ef-a1ce-fa00749c73a0};2462;NP-CLB;231
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};{052054de-4837-4786-8a26-c940d9874b32};2462;NP-CLT;230
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};{9dc5ef27-21f4-452d-8d04-022fcb9aae3a};2462;NP-CLT;231
{8c59833c-b45a-42d1-8a6d-51b1c8291bbd};{5ceed3ad-76d5-4497-b117-76d352378afd};2462;NP-CLT;232
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};{c0cc6405-8f4c-45f5-aa91-47f62c1f0821};2462;NP-CL;230
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};{eed20836-c89c-4b3c-a031-f1e3a3e0ef17};2462;NP-CL;231
{ded7d963-f144-41dc-8a2d-503b5e9fb9b4};{b9092dc6-7680-4c81-aae6-ae48e6fa97db};2462;NP-CL;232
{7159241d-7fbd-4817-865f-358f6b541f9a};{f06a8788-d6e5-4cdc-8826-24e1641d8b81};1182;NP-CZ;231
{de6bbe98-e5e9-430b-974d-0df9533fdd26};{8c5c0ee4-8612-43d5-a807-01682bc71a10};1194;NP-ROLL70-5000;231
{04eeb4a6-19b1-4e4b-90c8-01f0b34a9017};{cf983a79-72dc-4cfa-b3d2-613c17d99607};2462;NP-CLB;232
{f04a9291-9eef-490f-af91-f1f69abdefa6};{30dd202c-b052-4d99-bef3-6319e2eabac2};1650;NP-T;232
{e714429f-1e9c-4ade-970f-be7b87449a7f};{a64105ec-00a7-49f5-90b8-7bcb7506014d};3097;NP-CZ;223
{05e16243-c5ce-47c0-9353-2c5f41016fe5};{47497eb4-4ad2-4819-be60-478fcec87556};3109;NP-ROLL70-5000;223
{82beaebf-e674-4518-8ef6-337589f7ea1d};{f5dc69e8-d929-4d3a-8c32-e17e1082169d};1675;NP-TF;232
{5efa4593-3c76-42d8-b1ef-c5ef67bee9e7};{26ac6991-a24e-448b-8643-3609ebd0db90};1180;NP-BAR22-3000;230
#LEFTOVERS
{c14996a3-5e88-4b74-977f-8ae69cb841fd};selejt;0
{38b47c53-f5af-4082-940e-e765928e078c};selejt;0
{22d567b5-3025-495d-8f68-4ae202d677fb};selejt;0
{66aeff05-edd4-4c38-b5f8-58f08f8d0aa8};selejt;124.8
{98de0baf-fb97-4d77-a4b8-f1e7d6830a5d};selejt;182.2
{0d3a33fb-40ce-4258-aa95-da71c357ec00};RST-J-142;1104.6
{30f789fc-4b8e-446c-a562-15e78463f430};selejt;99.8
{06a6c0b8-02a5-47a2-b6e2-a514ff5d5587};RST-J-143;833
{ec88148f-49e7-421c-9e58-444304776398};selejt;107.2
{74b60e79-c364-493a-b506-86be59ddfdf8};RST-J-144;849.8
{ea639618-fa72-4a41-a696-74040f9c6dd0};RST-J-145;754
{db26de2e-ad04-4759-a20f-fe34b0052dd8};RST-J-146;1066.4
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};RST-J-147;2051.4
{8c59833c-b45a-42d1-8a6d-51b1c8291bbd};RST-J-148;4516.6
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};RST-J-149;2051.4
{ded7d963-f144-41dc-8a2d-503b5e9fb9b4};RST-J-150;4516.6
{7159241d-7fbd-4817-865f-358f6b541f9a};selejt;589.8
{de6bbe98-e5e9-430b-974d-0df9533fdd26};RST-J-151;824
{04eeb4a6-19b1-4e4b-90c8-01f0b34a9017};RST-J-152;3531.6
{f04a9291-9eef-490f-af91-f1f69abdefa6};RST-J-153;4328.6
{e714429f-1e9c-4ade-970f-be7b87449a7f};RST-J-154;3881.6
{05e16243-c5ce-47c0-9353-2c5f41016fe5};RST-J-155;1887
{82beaebf-e674-4518-8ef6-337589f7ea1d};RST-J-156;4303.6
{5efa4593-3c76-42d8-b1ef-c5ef67bee9e7};selejt;3
