#VERSION 2
#CUTPLANS
{f0c3b9ea-5f41-4e05-9990-0c89aa70887c};1;K;2;KERF;{e1374071-77c2-4ac0-94e9-fe6194830272};302
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};2;P;1495;MAT-U-480;{dc963a7f-cfcf-4fb9-8798-ddfed85c2660};301
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};3;K;3.2;KERF;{dc963a7f-cfcf-4fb9-8798-ddfed85c2660};301
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};4;P;2615;MAT-U-481;{0845dc6c-fd84-4c82-b1c8-2845daefe7a1};304
{1ea74d74-8eda-477b-9f3b-52cff9c6718a};5;K;3.2;KERF;{0845dc6c-fd84-4c82-b1c8-2845daefe7a1};304
{cdb21400-6f0f-4436-8d7f-4ce852a8ff2a};0;P;2497;MAT-U-483;{98cdf314-fea6-478a-b474-4acd16dcfa42};304
{cdb21400-6f0f-4436-8d7f-4ce852a8ff2a};1;K;3.2;KERF;{98cdf314-fea6-478a-b474-4acd16dcfa42};304
{4c1c7711-5169-4d27-ae99-a798624e50d5};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{4c1c7711-5169-4d27-ae99-a798624e50d5};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{4c1c7711-5169-4d27-ae99-a798624e50d5};2;P;1915;MAT-U-486;{ffa973b9-499b-4ad9-8bf4-27c0cfb6ca9a};302
{4c1c7711-5169-4d27-ae99-a798624e50d5};3;K;2;KERF;{ffa973b9-499b-4ad9-8bf4-27c0cfb6ca9a};302
{4c1c7711-5169-4d27-ae99-a798624e50d5};4;P;1965;MAT-U-487;{3b3f7282-521b-402c-96e4-6964ee03ea87};303
{4c1c7711-5169-4d27-ae99-a798624e50d5};5;K;2;KERF;{3b3f7282-521b-402c-96e4-6964ee03ea87};303
{8641df30-2542-4b7f-9261-6d51b9249689};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
