#VERSION 2
#CUTPLANS
{11f44652-7415-4b40-9770-1dce877d1877};{30efa977-71e1-4672-a7cf-45fd9f9e24ba};1557;NP-CZ;232
{03d31a3b-062d-45df-8b92-0422e7023bd8};{246b1455-f3b5-4cf5-929f-c66fab8742d8};45;NP-BAR22-3000;223
{03d31a3b-062d-45df-8b92-0422e7023bd8};{0088736e-c150-45ab-8cc3-10c11630c9dc};100;NP-BAR22-3000;231
{03d31a3b-062d-45df-8b92-0422e7023bd8};{194ff9e7-f3ff-4c29-ad5c-3a9187f2e9b0};145;NP-BAR22-3000;232
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};{95fa028c-cc08-4790-8806-cf4be3c03216};3190;NP-T;223
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};{cba2c8d4-1baf-4f13-ba03-45c0330dc33f};1325;NP-T;230
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};{3a50e056-7607-42d4-a74e-47205f365468};1275;NP-T;231
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};{ce0783b7-a6a0-4fa7-8979-56925e0c2f9f};1244;NP-ROLL70-5000;230
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};{ae213235-13ff-418e-9cd8-ec8531096c98};1569;NP-ROLL70-5000;232
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};{2fb96c0a-f5a1-45e2-b5ab-f3a1aa0b2199};1647;NP-CL2+CLT2+CLB2;223
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};{2c7dc81e-808e-48c1-b8c9-ad8b548416e5};2462;NP-CL2+CLT2+CLB2;230
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};{4a5ac127-1963-4833-8151-12507916c584};2462;NP-CL2+CLT2+CLB2;231
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};{cd3ae364-a266-480b-ba0b-4ce64da7d891};3097;NP-CZ;223
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};{f0491a39-7262-43a3-b700-3888b25f36d0};1182;NP-CZ;231
{66b0c1d8-852f-4701-80a7-cbef669ac26f};{cd18e1ca-c3ff-47a4-9e5c-32f621154a1d};1194;NP-ROLL70-5000;231
{8b8258b8-9b87-40b7-bb86-f6b296f7db2e};{283bb785-2144-4b5d-bd82-fe703ae4b879};1675;NP-TF;232
{065b4d05-512d-4dff-ad29-f59dbf411b6f};{6474d07a-3ba9-4b4f-8b89-aa92543611a9};1180;NP-BAR22-3000;230
{f7ebc4af-f7d3-4713-87ac-3483b4a13922};{c845c0b6-1332-4405-8afe-4acc933025e0};1650;NP-T;232
{99ec6aab-9db3-4ad6-b65a-f17f5de12bde};{5de94469-5d23-4bf5-a0ec-d19699f07336};3109;NP-ROLL70-5000;223
