#VERSION 2
#CUTPLANS
{c80223f0-4380-473f-ac0a-825c37a27b8e};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-877;1;;RSM-877;4524
{9b937c0e-9cc8-46e6-8497-bf62c8ea684b};1;NOT_STARTED;Rod-B;SR-Z+P;CM2;3.2;STOCK;MAT-CR-224;1;;MAT-CR-224;6000
{07f308e5-57e7-4f28-8cad-0ffac53832d4};2;NOT_STARTED;Rod-C;TE-H-32;CM2;3.2;REUSABLE;RSM-172;1;;RSM-172;3500
{d5532d27-61af-4281-bd16-f29e7d9456e9};0;P;894;MAT-CR-247;{a2b48203-cf7e-4d8a-9cd5-363b62f0e75b};630 2/2
{d5532d27-61af-4281-bd16-f29e7d9456e9};1;K;3.2;KERF;{a2b48203-cf7e-4d8a-9cd5-363b62f0e75b};630 2/2
{d3857740-5c3b-4421-be9d-c21308b7893b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d3857740-5c3b-4421-be9d-c21308b7893b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d3857740-5c3b-4421-be9d-c21308b7893b};2;P;2330;MAT-CR-250;{ac30b626-348b-4a76-8d80-8c3789b1a6a1};631
{d3857740-5c3b-4421-be9d-c21308b7893b};3;K;3.2;KERF;{ac30b626-348b-4a76-8d80-8c3789b1a6a1};631
{d3857740-5c3b-4421-be9d-c21308b7893b};4;P;1560;MAT-CR-251;{bcef2844-e93a-42b4-8cb6-9cee69b8fbe4};639
{d3857740-5c3b-4421-be9d-c21308b7893b};5;K;3.2;KERF;{bcef2844-e93a-42b4-8cb6-9cee69b8fbe4};639
{d3857740-5c3b-4421-be9d-c21308b7893b};6;P;1580;MAT-CR-252;{0b410646-b54d-492c-80e8-5a52ec3e8c57};640
{d3857740-5c3b-4421-be9d-c21308b7893b};7;K;3.2;KERF;{0b410646-b54d-492c-80e8-5a52ec3e8c57};640
{347b48db-a116-41d7-9224-4ff9c42db57f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{347b48db-a116-41d7-9224-4ff9c42db57f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{347b48db-a116-41d7-9224-4ff9c42db57f};2;P;877;MAT-CR-255;{3b20ce39-edb8-4737-894b-d236a2999493};630 2/2
{347b48db-a116-41d7-9224-4ff9c42db57f};3;K;3.2;KERF;{3b20ce39-edb8-4737-894b-d236a2999493};630 2/2
{347b48db-a116-41d7-9224-4ff9c42db57f};4;P;2327;MAT-CR-256;{cd1d384a-8fc4-4f12-a384-c16c28020cb9};631
{347b48db-a116-41d7-9224-4ff9c42db57f};5;K;3.2;KERF;{cd1d384a-8fc4-4f12-a384-c16c28020cb9};631
{347b48db-a116-41d7-9224-4ff9c42db57f};6;P;2087;MAT-CR-257;{444236d8-66c6-4d05-a76d-3a2e3e5ecee9};637
{347b48db-a116-41d7-9224-4ff9c42db57f};7;K;3.2;KERF;{444236d8-66c6-4d05-a76d-3a2e3e5ecee9};637
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};0;T;20;TECH;{00000000-0000-0000-0000-000000000000};
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};2;P;2344;MAT-CR-260;{821d4b08-78ba-4ad2-abbd-5a1ba03047f6};631
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};3;K;3.2;KERF;{821d4b08-78ba-4ad2-abbd-5a1ba03047f6};631
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};4;P;1274;MAT-CR-261;{14fa934a-1643-4a87-9774-0dcada9fa2d3};635
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};5;K;3.2;KERF;{14fa934a-1643-4a87-9774-0dcada9fa2d3};635
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};6;P;2104;MAT-CR-262;{5897dfb0-6e8b-47e6-97c2-9fa59a19d853};637
{a83e4874-c8a7-4a42-b6f2-67ee730596f5};7;K;3.2;KERF;{5897dfb0-6e8b-47e6-97c2-9fa59a19d853};637
{b3f88e9a-aa56-4e7e-adcd-de017f37e416};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b3f88e9a-aa56-4e7e-adcd-de017f37e416};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b3f88e9a-aa56-4e7e-adcd-de017f37e416};2;P;2090;MAT-CR-265;{cec99744-bed6-4ee4-a040-e93c91a61790};637
{b3f88e9a-aa56-4e7e-adcd-de017f37e416};3;K;3.2;KERF;{cec99744-bed6-4ee4-a040-e93c91a61790};637
{ab58f609-3c2b-43f4-a685-88a252833fab};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ab58f609-3c2b-43f4-a685-88a252833fab};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ab58f609-3c2b-43f4-a685-88a252833fab};2;P;1557;MAT-CR-268;{b776502c-1feb-4eab-8667-253792127909};639
{ab58f609-3c2b-43f4-a685-88a252833fab};3;K;3.2;KERF;{b776502c-1feb-4eab-8667-253792127909};639
#PIECES
{c80223f0-4380-473f-ac0a-825c37a27b8e};{fda44f35-89df-46a7-a8cc-2315b763e53f};864;SR-T;632
{c80223f0-4380-473f-ac0a-825c37a27b8e};{e2dde971-25df-4227-ba7e-6043400eafe4};974;SR-T;636
{c80223f0-4380-473f-ac0a-825c37a27b8e};{f148d3fc-a090-4aad-a861-40018cb014af};974;SR-T;638
{c80223f0-4380-473f-ac0a-825c37a27b8e};{3efbb885-1783-400d-b600-e36367b5242f};1574;SR-T;639
{9b937c0e-9cc8-46e6-8497-bf62c8ea684b};{6f08a398-3067-4a85-b902-1a8a0a8cb8db};880;SR-Z+P;630 1/2
{9b937c0e-9cc8-46e6-8497-bf62c8ea684b};{350e9504-3a72-4c32-b772-8509b6b3cc43};880;SR-Z+P;630 2/2
{9b937c0e-9cc8-46e6-8497-bf62c8ea684b};{97b1a85d-092c-4ee1-8ab3-bc99936aa313};850;SR-Z+P;632
{9b937c0e-9cc8-46e6-8497-bf62c8ea684b};{d6f00121-6e37-418b-b94a-a9e04142bc6f};1260;SR-Z+P;635
{9b937c0e-9cc8-46e6-8497-bf62c8ea684b};{7cf123c5-dd15-46ba-9b20-d65f96207730};960;SR-Z+P;636
