#VERSION 2
#CUTPLANS
{ca6f0648-676c-4269-8542-6b81609a30cb};5;K;3.2;KERF;{6ddb73ef-fc97-43ec-a3f6-39d3ae773a4f};231
{7176c77b-4c65-4a63-ae26-a0c3de4f0b5c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7176c77b-4c65-4a63-ae26-a0c3de4f0b5c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7176c77b-4c65-4a63-ae26-a0c3de4f0b5c};2;P;2462;MAT-CM-947;{e00b4f68-9287-40ab-9112-56e250c332ee};232
{7176c77b-4c65-4a63-ae26-a0c3de4f0b5c};3;K;3.2;KERF;{e00b4f68-9287-40ab-9112-56e250c332ee};232
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};2;P;2462;MAT-CM-950;{7aa3ead0-387f-4884-bc77-adf4a5dee86e};231
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};3;K;3.2;KERF;{7aa3ead0-387f-4884-bc77-adf4a5dee86e};231
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};4;P;2462;MAT-CM-951;{e2229063-2a10-43a9-8bf8-c5aa755e664e};232
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};5;K;3.2;KERF;{e2229063-2a10-43a9-8bf8-c5aa755e664e};232
{128bf27e-e405-4662-8ade-1efd52b430d2};0;P;1194;MAT-CM-953;{1a45e665-30a2-4a06-9ffa-740684ff7342};231
{128bf27e-e405-4662-8ade-1efd52b430d2};1;K;2;KERF;{1a45e665-30a2-4a06-9ffa-740684ff7342};231
{a0d34567-93a9-440c-adae-a02cd9a6c73a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a0d34567-93a9-440c-adae-a02cd9a6c73a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a0d34567-93a9-440c-adae-a02cd9a6c73a};2;P;3097;MAT-CM-956;{1635a1b8-9807-4978-af1a-c57733cd7720};223
{a0d34567-93a9-440c-adae-a02cd9a6c73a};3;K;3.2;KERF;{1635a1b8-9807-4978-af1a-c57733cd7720};223
{a0d34567-93a9-440c-adae-a02cd9a6c73a};4;P;1182;MAT-CM-957;{3235c81c-8390-4776-8984-184a43d02c37};231
{a0d34567-93a9-440c-adae-a02cd9a6c73a};5;K;3.2;KERF;{3235c81c-8390-4776-8984-184a43d02c37};231
{117168d3-daf5-4fd7-82fb-810533bf2ff9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{117168d3-daf5-4fd7-82fb-810533bf2ff9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{117168d3-daf5-4fd7-82fb-810533bf2ff9};2;P;1675;MAT-CM-960;{7c8c4bfc-c935-4c04-863d-4c84577f9d5a};232
{117168d3-daf5-4fd7-82fb-810533bf2ff9};3;K;3.2;KERF;{7c8c4bfc-c935-4c04-863d-4c84577f9d5a};232
{69afe432-5fdb-4b5d-98a1-105cc2c1ab38};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{69afe432-5fdb-4b5d-98a1-105cc2c1ab38};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{69afe432-5fdb-4b5d-98a1-105cc2c1ab38};2;P;1650;MAT-CM-963;{af13d3e8-4f97-4be2-a75d-814d7cdb891e};232
{69afe432-5fdb-4b5d-98a1-105cc2c1ab38};3;K;3.2;KERF;{af13d3e8-4f97-4be2-a75d-814d7cdb891e};232
{e820a256-16f9-4f27-aa67-4d3adfeed567};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{e820a256-16f9-4f27-aa67-4d3adfeed567};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{e820a256-16f9-4f27-aa67-4d3adfeed567};2;P;3109;MAT-CM-966;{2e894ab0-c19f-4272-bfab-0d057357cd4d};223
{e820a256-16f9-4f27-aa67-4d3adfeed567};3;K;2;KERF;{2e894ab0-c19f-4272-bfab-0d057357cd4d};223
{6516064d-a66a-4d85-ab05-6603e7772529};0;P;1180;MAT-CM-968;{b226009f-6eb1-4a84-b41a-60c64b520926};230
{6516064d-a66a-4d85-ab05-6603e7772529};1;K;2;KERF;{b226009f-6eb1-4a84-b41a-60c64b520926};230
#PIECES
{098328c5-4e23-4d5c-bc03-8d0ded0cad23};{228b23c3-891d-4d72-ade5-d8753d2978d5};3000;NP-BAR22-3000;223
{acfdb782-2ef7-4b50-99a4-de5fff23eed7};{2c09d0ee-973f-4c97-9aed-4c81887e4261};1000;NP-BAR22-3000;231
{6628fd9c-d066-477b-b0cd-9444a12cb2ca};{367255b0-7870-43e8-9e32-7534045beec3};1330;NP-BAR22-3000;232
{eedd49bf-e62c-47df-aca1-240533d05093};{cc460ef3-8c77-4c34-8619-54945d627f61};1647;NP-CLB;223
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};{58deb0c8-b29d-489c-aa54-e2103bc4beea};3215;NP-TF;223
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};{ea3a08fd-3768-4a86-a44d-43a4cc784a28};1350;NP-TF;230
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};{8ee571f6-e9ed-4180-a7c3-2bf1a8e74dbe};1300;NP-TF;231
{71e34fc5-2255-487b-9d43-cf3dbebfebef};{1a834d38-03c7-4b29-90d9-cdb07536c14e};1647;NP-CL;223
{2654f9db-aca4-4594-9ee8-b287b79f3e80};{ce8ac36f-be60-4f1e-8bd5-1b95d06cb485};3190;NP-T;223
{2654f9db-aca4-4594-9ee8-b287b79f3e80};{1c41bb70-708f-45a9-a31c-80bf4bf10ecf};1325;NP-T;230
{2654f9db-aca4-4594-9ee8-b287b79f3e80};{c7c22299-e19c-4ca4-9347-732cab5e7e07};1275;NP-T;231
{df2d3c6a-804b-48a1-b174-4fb6367261e8};{a121e2dd-e920-456e-bb7c-5c6896441cc6};1244;NP-ROLL70-5000;230
{df2d3c6a-804b-48a1-b174-4fb6367261e8};{33793969-e788-4432-ab1e-a39498299e2c};1569;NP-ROLL70-5000;232
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};{c439b71b-601e-47c8-9c6c-dd2a2e542cec};1232;NP-CZ;230
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};{b82498e3-38fb-4f55-8525-d09b042f8a93};1557;NP-CZ;232
{116604ed-248b-4c21-9f02-e42022b1cbbd};{2f3afc4d-4abf-4fb8-95d4-6c2e4037b34d};45;NP-BAR22-3000;223
{116604ed-248b-4c21-9f02-e42022b1cbbd};{e82061ec-b840-4f68-9312-36299d74b589};100;NP-BAR22-3000;231
{116604ed-248b-4c21-9f02-e42022b1cbbd};{7acad410-cc24-4ac7-9cb4-dfead77cbd1f};145;NP-BAR22-3000;232
{ec20c857-d199-43c2-9b25-78e2fb7df0f7};{98855523-b58c-4e89-b76f-268914a34834};1647;NP-CLT;223
{7a3de7ae-f30f-44e3-87eb-b807e0f5e6ca};{beb7b188-5a8e-4887-9c0c-faac4e406c0e};2462;NP-CLB;230
{da9f59f3-7511-47c9-93f5-366b6be10559};{27caa2e7-5b40-46db-a837-5e5df9801077};2462;NP-CL;230
{da9f59f3-7511-47c9-93f5-366b6be10559};{041395e9-1e7d-4ecd-8a63-319dae697e01};2462;NP-CL;231
{6d2191d0-46b5-4254-80b1-9188dd41951a};{29164a83-fb73-4fd8-a2af-d88082fb7ee8};2462;NP-CL;232
