materialBarCode;availableLength_mm;source;optimizationId;barcode;storageBarcode;createdAt;lastSeenAt;status;notFoundCount
NP-CLBR;1125;Manual;;RSM-271;CM2WH;2026-06-29T11:26:57;2026-06-29T11:26:57;unknown;0
NP-TF-7016;2250;Manual;;RSM-282;CM2WH;2026-06-30T10:24:22;2026-06-30T10:24:22;unknown;0
NP-T-7016;2100;Manual;;RSM-284;CM2WH;2026-06-30T10:24:48;2026-07-24T13:25:58;unknown;0
NP-T-7016;2100;Manual;;RSM-285;CM2WH;2026-06-30T10:25:03;2026-06-30T10:25:03;unknown;0
NP-TF-7016;2075;Manual;;RSM-286;CM2WH;2026-06-30T10:25:42;2026-07-24T13:26:01;unknown;0
NP-TF-7016;1775;Manual;;RSM-287;CM2WH;2026-06-30T10:25:51;2026-06-30T10:25:51;unknown;0
NP-ROLL78-6000;3180;Manual;;RSM-288;CM1WH;2026-07-01T06:56:58;2026-07-01T06:56:58;unknown;0
NP-ROLL78-6000;2725;Manual;;RSM-289;CM1WH;2026-07-01T06:57:14;2026-07-01T06:57:14;unknown;0
NP-ROLL78-6000;3240;Manual;;RSM-290;CM1WH;2026-07-01T06:57:21;2026-07-01T06:57:21;unknown;0
NP-ROLL78-7000;3090;Manual;;RSM-291;CM1WH;2026-07-01T08:02:48;2026-07-24T15:42:13;unknown;0
NP-ROLL78-7000;3320;Manual;;RSM-292;CM1WH;2026-07-01T08:03:12;2026-07-01T08:03:12;unknown;0
NP-ROLL78-7000;3387;Manual;;RSM-293;CM1WH;2026-07-01T09:12:40;2026-07-01T09:12:40;unknown;0
NP-ROLL78-7000;3240;Manual;;RSM-294;CM1WH;2026-07-01T09:13:59;2026-07-01T09:13:59;unknown;0
NP-ROLL78-7000;3230;Manual;;RSM-295;CM1WH;2026-07-01T09:12:52;2026-07-24T15:42:04;unknown;0
NP-ROLL78-7000;3200;Manual;;RSM-296;CM1WH;2026-07-01T09:12:59;2026-07-01T09:12:59;unknown;0
NP-ROLL78-7000;3415;Manual;;RSM-297;CM1WH;2026-07-01T09:13:05;2026-07-01T09:13:05;unknown;0
NP-ROLL78-7000;3230;Manual;;RSM-298;CM1WH;2026-07-01T09:13:11;2026-07-01T09:13:11;unknown;0
NP-ROLL78-7000;3110;Manual;;RSM-299;CM1WH;2026-07-01T09:13:27;2026-07-01T09:13:27;unknown;0
NP-CL-7016;2050;Manual;;RSM-301;CM2WH;2026-07-01T09:35:53;2026-07-01T09:35:53;unknown;0
